map_family,agents,nominal_budget_ms,paired_rows,both_success_rows,static_flow_success_rate,additive_success_rate,success_gain_count_static_over_additive,success_regression_count_static_vs_additive,mean_ratio_static_flow,mean_ratio_additive,absolute_delta_static_minus_additive,relative_improvement_pct,median_delta,bootstrap_CI_95_low,bootstrap_CI_95_high,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
random,50,2000,4592,3879,0.857796167247,0.936628919861,60,422,1.14898798685,1.24914363625,-0.100155649401,8.01794497394,-0.09767441861,-0.101413283953,-0.0987064850101,False,False,False,False,False
random,100,2000,2135,1201,0.579859484778,0.570960187354,37,18,1.26129692153,1.3814202731,-0.120123351569,8.69564128377,-0.11658767773,-0.123682990199,-0.117022397953,False,False,False,False,False
maze,50,2000,1504,1453,0.976728723404,0.966090425532,16,0,1.19941553584,1.27060617753,-0.0711906416926,5.60288805052,-0.06677181913,-0.0736005831841,-0.0686613122736,False,False,False,False,False
maze,100,2000,1317,721,0.577069096431,0.566438876234,39,25,1.31771348276,1.40928182149,-0.0915683387257,6.49751790832,-0.09035863997,-0.0954558722603,-0.0872495192455,False,False,False,False,False
warehouse,50,2000,127,21,0.165354330709,0.165354330709,0,0,1.0972026471,1.11436553254,-0.0171628854348,1.54014862618,-0.02696420269,-0.0267639069824,-0.0047163447181,False,False,False,False,False
warehouse,100,1000,60,18,0.3,0.3,0,0,1.17978957305,1.24039131177,-0.060601738725,4.88569519513,-0.054472439995,-0.0790610613994,-0.0421581898367,False,False,False,False,False
warehouse,100,2000,60,17,0.283333333333,0.283333333333,0,0,1.18243151295,1.22850137085,-0.0460698579006,3.75008599853,-0.03115044247,-0.0696602447918,-0.0265986266729,False,False,False,False,False
warehouse,100,500,60,18,0.3,0.3,0,0,1.17495749792,1.23564184829,-0.0606843503733,4.9111601759,-0.055508432575,-0.0801909969,-0.0427658329056,False,False,False,False,False
warehouse,50,1000,60,21,0.35,0.35,0,0,1.09276714682,1.11366856284,-0.0209014160205,1.87680758149,-0.02784536362,-0.0317168416014,-0.00866224698333,False,False,False,False,False
warehouse,50,500,60,20,0.333333333333,0.333333333333,0,0,1.0951601454,1.11319293428,-0.0180327888785,1.61991585867,-0.027404783155,-0.029950076571,-0.00476144846,False,False,False,False,False
