model,risk_bucket_low,risk_bucket_high,rows,mean_predicted_avoidable_risk,actual_avoidable_risk_rate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g524_best_agent_density_reproduced,0,0.05,72,0.006498691990327512,0.09722222222222222,False,False,False,False,False
g524_best_agent_density_reproduced,0.05,0.15,0,inf,inf,False,False,False,False,False
g524_best_agent_density_reproduced,0.15,0.35,0,inf,inf,False,False,False,False,False
g524_best_agent_density_reproduced,0.35,1.01,0,inf,inf,False,False,False,False,False
region_prior_reproduced,0,0.05,72,0.0075520593447658034,0.06944444444444445,False,False,False,False,False
region_prior_reproduced,0.05,0.15,0,inf,inf,False,False,False,False,False
region_prior_reproduced,0.15,0.35,0,inf,inf,False,False,False,False,False
region_prior_reproduced,0.35,1.01,0,inf,inf,False,False,False,False,False
blocked_reason_only_model,0,0.05,72,0.007388869149596304,0.041666666666666664,False,False,False,False,False
blocked_reason_only_model,0.05,0.15,0,inf,inf,False,False,False,False,False
blocked_reason_only_model,0.15,0.35,0,inf,inf,False,False,False,False,False
blocked_reason_only_model,0.35,1.01,0,inf,inf,False,False,False,False,False
competing_rank_only_model,0,0.05,72,0.007306525428713585,0.09722222222222222,False,False,False,False,False
competing_rank_only_model,0.05,0.15,0,inf,inf,False,False,False,False,False
competing_rank_only_model,0.15,0.35,0,inf,inf,False,False,False,False,False
competing_rank_only_model,0.35,1.01,0,inf,inf,False,False,False,False,False
candidate_specific_rank_effect_model,0,0.05,72,0.0044282394975649324,0.06944444444444445,False,False,False,False,False
candidate_specific_rank_effect_model,0.05,0.15,0,inf,inf,False,False,False,False,False
candidate_specific_rank_effect_model,0.15,0.35,0,inf,inf,False,False,False,False,False
candidate_specific_rank_effect_model,0.35,1.01,0,inf,inf,False,False,False,False,False
goal_aware_dual_channel_rank_effect_model,0,0.05,72,0.004581512855654031,0.08333333333333333,False,False,False,False,False
goal_aware_dual_channel_rank_effect_model,0.05,0.15,0,inf,inf,False,False,False,False,False
goal_aware_dual_channel_rank_effect_model,0.15,0.35,0,inf,inf,False,False,False,False,False
goal_aware_dual_channel_rank_effect_model,0.35,1.01,0,inf,inf,False,False,False,False,False
trace_plus_rank_effect_two_head_model,0,0.05,72,0.004512231052911876,0.08333333333333333,False,False,False,False,False
trace_plus_rank_effect_two_head_model,0.05,0.15,0,inf,inf,False,False,False,False,False
trace_plus_rank_effect_two_head_model,0.15,0.35,0,inf,inf,False,False,False,False,False
trace_plus_rank_effect_two_head_model,0.35,1.01,0,inf,inf,False,False,False,False,False
region_then_rank_effect_candidate_ranker,0,0.05,72,0.005147640691981901,0.06944444444444445,False,False,False,False,False
region_then_rank_effect_candidate_ranker,0.05,0.15,0,inf,inf,False,False,False,False,False
region_then_rank_effect_candidate_ranker,0.15,0.35,0,inf,inf,False,False,False,False,False
region_then_rank_effect_candidate_ranker,0.35,1.01,0,inf,inf,False,False,False,False,False
budget_aware_rank_effect_ranker,0,0.05,72,0.004501187400025405,0.08333333333333333,False,False,False,False,False
budget_aware_rank_effect_ranker,0.05,0.15,0,inf,inf,False,False,False,False,False
budget_aware_rank_effect_ranker,0.15,0.35,0,inf,inf,False,False,False,False,False
budget_aware_rank_effect_ranker,0.35,1.01,0,inf,inf,False,False,False,False,False
static_recovery_rank_effect_specialist,0,0.05,72,0.007849257991652607,0.06944444444444445,False,False,False,False,False
static_recovery_rank_effect_specialist,0.05,0.15,0,inf,inf,False,False,False,False,False
static_recovery_rank_effect_specialist,0.15,0.35,0,inf,inf,False,False,False,False,False
static_recovery_rank_effect_specialist,0.35,1.01,0,inf,inf,False,False,False,False,False
candidate_induced_failure_rank_effect_specialist,0,0.05,72,0.007066604246933951,0.06944444444444445,False,False,False,False,False
candidate_induced_failure_rank_effect_specialist,0.05,0.15,0,inf,inf,False,False,False,False,False
candidate_induced_failure_rank_effect_specialist,0.15,0.35,0,inf,inf,False,False,False,False,False
candidate_induced_failure_rank_effect_specialist,0.35,1.01,0,inf,inf,False,False,False,False,False
map_family_specialist_rank_effect_mixture,0,0.05,72,0.007432634470569226,0.08333333333333333,False,False,False,False,False
map_family_specialist_rank_effect_mixture,0.05,0.15,0,inf,inf,False,False,False,False,False
map_family_specialist_rank_effect_mixture,0.15,0.35,0,inf,inf,False,False,False,False,False
map_family_specialist_rank_effect_mixture,0.35,1.01,0,inf,inf,False,False,False,False,False
agent_density_specialist_rank_effect_mixture,0,0.05,72,0.0063285955894454215,0.08333333333333333,False,False,False,False,False
agent_density_specialist_rank_effect_mixture,0.05,0.15,0,inf,inf,False,False,False,False,False
agent_density_specialist_rank_effect_mixture,0.15,0.35,0,inf,inf,False,False,False,False,False
agent_density_specialist_rank_effect_mixture,0.35,1.01,0,inf,inf,False,False,False,False,False
param_only_control,0,0.05,72,0.004089498668778715,0.06944444444444445,False,False,False,False,False
param_only_control,0.05,0.15,0,inf,inf,False,False,False,False,False
param_only_control,0.15,0.35,0,inf,inf,False,False,False,False,False
param_only_control,0.35,1.01,0,inf,inf,False,False,False,False,False
trace_without_rank_effect_ablation,0,0.05,72,0.007403919196669578,0.06944444444444445,False,False,False,False,False
trace_without_rank_effect_ablation,0.05,0.15,0,inf,inf,False,False,False,False,False
trace_without_rank_effect_ablation,0.15,0.35,0,inf,inf,False,False,False,False,False
trace_without_rank_effect_ablation,0.35,1.01,0,inf,inf,False,False,False,False,False
rank_effect_without_trace_ablation,0,0.05,72,0.004376315387992956,0.08333333333333333,False,False,False,False,False
rank_effect_without_trace_ablation,0.05,0.15,0,inf,inf,False,False,False,False,False
rank_effect_without_trace_ablation,0.15,0.35,0,inf,inf,False,False,False,False,False
rank_effect_without_trace_ablation,0.35,1.01,0,inf,inf,False,False,False,False,False
source_blind_control,0,0.05,72,0.007223299279092839,0.06944444444444445,False,False,False,False,False
source_blind_control,0.05,0.15,0,inf,inf,False,False,False,False,False
source_blind_control,0.15,0.35,0,inf,inf,False,False,False,False,False
source_blind_control,0.35,1.01,0,inf,inf,False,False,False,False,False
region_label_shuffled_control,0,0.05,72,0.007324070429498879,0.06944444444444445,False,False,False,False,False
region_label_shuffled_control,0.05,0.15,0,inf,inf,False,False,False,False,False
region_label_shuffled_control,0.15,0.35,0,inf,inf,False,False,False,False,False
region_label_shuffled_control,0.35,1.01,0,inf,inf,False,False,False,False,False
candidate_label_shuffled_control,0,0.05,72,0.006631718459199872,0.06944444444444445,False,False,False,False,False
candidate_label_shuffled_control,0.05,0.15,0,inf,inf,False,False,False,False,False
candidate_label_shuffled_control,0.15,0.35,0,inf,inf,False,False,False,False,False
candidate_label_shuffled_control,0.35,1.01,0,inf,inf,False,False,False,False,False
blocked_reason_shuffled_control,0,0.05,72,0.007128809758064365,0.08333333333333333,False,False,False,False,False
blocked_reason_shuffled_control,0.05,0.15,0,inf,inf,False,False,False,False,False
blocked_reason_shuffled_control,0.15,0.35,0,inf,inf,False,False,False,False,False
blocked_reason_shuffled_control,0.35,1.01,0,inf,inf,False,False,False,False,False
random_feature_control,0,0.05,72,0.007355277156130626,0.05555555555555555,False,False,False,False,False
random_feature_control,0.05,0.15,0,inf,inf,False,False,False,False,False
random_feature_control,0.15,0.35,0,inf,inf,False,False,False,False,False
random_feature_control,0.35,1.01,0,inf,inf,False,False,False,False,False
oracle_upper_bound_diagnostic_not_for_promotion,0,0.05,72,0.008090095192583985,0.09722222222222222,False,False,False,False,False
oracle_upper_bound_diagnostic_not_for_promotion,0.05,0.15,0,inf,inf,False,False,False,False,False
oracle_upper_bound_diagnostic_not_for_promotion,0.15,0.35,0,inf,inf,False,False,False,False,False
oracle_upper_bound_diagnostic_not_for_promotion,0.35,1.01,0,inf,inf,False,False,False,False,False
