row_index,observed_regression,predicted_regression_risk,observed_quality_delta,predicted_quality_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
523863,0,5.13848499395e-06,-0.0112634673715,0.0105277970433,False,False,False,False,False
529304,0,5.9109038375e-06,-0.0276816617697,0.0273874104023,False,False,False,False,False
657200,0,1.72251639015e-05,0.0517784766853,0.0123781561852,False,False,False,False,False
602872,0,5.1128477935e-05,0.00734363123775,0.0199510157108,False,False,False,False,False
839449,0,2.484403376e-05,-0.0205549839884,0.00123530626297,False,False,False,False,False
148117,0,1.4406498849e-05,0.00881834235042,0.00103094428778,False,False,False,False,False
707542,0,1.73711414391e-05,-0.00657298276201,0.0227700322866,False,False,False,False,False
29138,0,3.95233792005e-06,-0.011864406988,-0.00150413811207,False,False,False,False,False
799833,0,0.00884663593024,0,0.0100970864296,False,False,False,False,False
920264,0,3.17576668749e-05,0.0227894261479,0.00160920619965,False,False,False,False,False
223213,0,0.000418573938077,0.0199818350375,0.0519971102476,False,False,False,False,False
946729,0,9.50787652982e-05,-0.00465838517994,-0.00601144507527,False,False,False,False,False
861825,0,0.00257359375246,0.00326305232011,0.0108775794506,False,False,False,False,False
560297,0,3.97966095989e-06,0.0201238393784,0.0301540717483,False,False,False,False,False
898662,0,0.0222180373967,0.0204081628472,0.0146799385548,False,False,False,False,False
709872,0,2.40640929405e-05,0.0271627474576,0.0163728147745,False,False,False,False,False
61195,0,5.54729376745e-06,0.00542986439541,-0.00614343583584,False,False,False,False,False
673509,0,3.83496353606e-06,-0.0762731209397,-0.00889669731259,False,False,False,False,False
741273,0,0.00190877821296,0,-0.0045510083437,False,False,False,False,False
287993,0,4.96628081237e-06,0.0864661633968,0.0204307287931,False,False,False,False,False
386645,0,1.03717866295e-05,0.0254123937339,0.013097256422,False,False,False,False,False
676232,0,2.50310768024e-06,-0.0561660565436,-0.00561317056417,False,False,False,False,False
682840,0,6.37536231807e-06,0.00183871819172,-0.0314726307988,False,False,False,False,False
893156,0,0.0227554868907,0.0322033911943,0.00517750531435,False,False,False,False,False
861119,0,0.000257145642536,0,0.00143291801214,False,False,False,False,False
351564,0,2.33050832321e-05,0,0.0150378122926,False,False,False,False,False
758804,0,0.0156498625875,0.0678733065724,0.0294786989689,False,False,False,False,False
134373,0,3.98201473217e-06,-0.00268096523359,-0.0067334137857,False,False,False,False,False
319542,0,6.6654101829e-06,-0.00349956261925,0.00825877487659,False,False,False,False,False
43351,0,3.96000814362e-06,-0.0210157614201,-0.00305530801415,False,False,False,False,False
