agents,contexts,iteration,map,max_oracle_gap_over_static,mean_oracle_gap_over_static,median_oracle_gap_over_static,min_oracle_gap_over_static,oracle_beats_static_contexts,oracle_beats_static_fraction
100,10,0,maze-32-32-4,0.0,-0.026812096000000007,-0.008348169585000065,-0.16635470284999987,7,0.7
50,10,0,maze-32-32-4,0.0,-0.009120019366999976,-0.00022914757499992167,-0.036138358289999895,5,0.5
100,10,0,random-32-32-20,0.0,-0.004383099327000007,0.0,-0.032316795639999896,4,0.4
50,10,0,random-32-32-20,0.0,-0.018385675417000025,-0.01631135808500006,-0.05845323741000019,9,0.9
100,10,0,warehouse-10-20-10-2-1,,,,,0,0.0
50,10,0,warehouse-10-20-10-2-1,,,,,0,0.0
