better,bootstrap_ci_high,bootstrap_ci_low,bootstrap_probability_mean_delta_lt_0,equal,fold,mean_delta_ratio_vs_ltm,median_delta_ratio_vs_ltm,ratio_worse_than_ltm_groups,rows,selected_candidate_distribution,selector_spec,selector_type,success_worse_than_ltm_groups,worse
65,-0.007976894429658347,-0.01991726359812502,1.0,40,train_1_25_validate_26_45,-0.013949188824083343,-0.00448015005999991,1,120,"{""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"": 120}","{""candidate"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75""}",support_best_static,0,15
65,-0.007976894429658347,-0.01991726359812502,1.0,40,train_1_25_validate_26_45,-0.013949188824083343,-0.00448015005999991,1,120,"{""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"": 120}","{""candidate"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75""}",risk_capped_static,0,15
65,-0.008207305995033325,-0.019766175396675002,1.0,45,train_1_25_validate_26_45,-0.014155347174674999,-0.005279456539499905,1,120,"{""repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75"": 20, ""repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5"": 20, ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"": 40, ""repair5g_dual_c_equiv_additive"": 20, ""repair5g_dual_c_equiv_c100_b100_w075_d095"": 20}","{""group_rules"": {""*|a0"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"", ""maze-32-32-4|a100"": ""repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5"", ""maze-32-32-4|a50"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"", ""random-32-32-20|a100"": ""repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75"", ""random-32-32-20|a50"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"", ""warehouse-10-20-10-2-1|a100"": ""repair5g_dual_c_equiv_additive"", ""warehouse-10-20-10-2-1|a50"": ""repair5g_dual_c_equiv_c100_b100_w075_d095""}}",map_agent_group_static_selector,0,10
27,0.00198918801872499,-0.0040444447037750065,0.734,70,train_1_25_validate_26_45,-0.0009555005268333444,0.0,2,120,"{""repair5g_dual_c_equiv_c100_b100_w075_d100"": 120}","{""candidate"": ""repair5g_dual_c_equiv_c100_b100_w075_d100""}",leave_one_group_robust_selector,0,23
65,-0.007976894429658347,-0.01991726359812502,1.0,40,train_1_25_validate_26_45,-0.013949188824083343,-0.00448015005999991,1,120,"{""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"": 120}","{""candidate"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75""}",flow_shield_family_only_selector,0,15
65,-0.008207305995033325,-0.019766175396675002,1.0,45,train_1_25_validate_26_45,-0.014155347174674999,-0.005279456539499905,1,120,"{""repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75"": 20, ""repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5"": 20, ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"": 40, ""repair5g_dual_c_equiv_additive"": 40}","{""group_rules"": {""*|a0"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"", ""maze-32-32-4|a100"": ""repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5"", ""maze-32-32-4|a50"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"", ""random-32-32-20|a100"": ""repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75"", ""random-32-32-20|a50"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"", ""warehouse-10-20-10-2-1|a100"": ""repair5g_dual_c_equiv_additive"", ""warehouse-10-20-10-2-1|a50"": ""repair5g_dual_c_equiv_additive""}, ""margin"": 0.003}",margin_selector_with_additive_fallback,0,10
65,-0.007294517551224997,-0.019358171133483336,1.0,44,train_1_25_validate_26_45,-0.013552937536175,-0.005279456539499905,2,120,"{""repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75"": 20, ""repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5"": 20, ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"": 40, ""repair5g_dual_c_equiv_c100_b100_w075_d100"": 40}","{""c_equiv_fallback"": ""repair5g_dual_c_equiv_c100_b100_w075_d100"", ""group_rules"": {""*|a0"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"", ""maze-32-32-4|a100"": ""repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5"", ""maze-32-32-4|a50"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"", ""random-32-32-20|a100"": ""repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75"", ""random-32-32-20|a50"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"", ""warehouse-10-20-10-2-1|a100"": ""repair5g_dual_c_equiv_c100_b100_w075_d100"", ""warehouse-10-20-10-2-1|a50"": ""repair5g_dual_c_equiv_c100_b100_w075_d100""}}",c_equiv_fallback_selector,0,11
32,-0.00552845153173334,-0.02180245307088333,0.9995,21,train_1_20_26_35_validate_36_45,-0.013584463277216676,-0.00448015005999991,1,60,"{""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"": 60}","{""candidate"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75""}",support_best_static,0,7
32,-0.00552845153173334,-0.02180245307088333,0.9995,21,train_1_20_26_35_validate_36_45,-0.013584463277216676,-0.00448015005999991,1,60,"{""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"": 60}","{""candidate"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75""}",risk_capped_static,0,7
31,-0.009091762084050001,-0.021401407857849993,1.0,24,train_1_20_26_35_validate_36_45,-0.014944989471550003,-0.003777808614999989,0,60,"{""repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p5"": 10, ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"": 30, ""repair5g_dual_c_equiv_additive"": 10, ""repair5g_dual_c_equiv_c100_b100_w075_d095"": 10}","{""group_rules"": {""*|a0"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"", ""maze-32-32-4|a100"": ""repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p5"", ""maze-32-32-4|a50"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"", ""random-32-32-20|a100"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"", ""random-32-32-20|a50"": ""repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75"", ""warehouse-10-20-10-2-1|a100"": ""repair5g_dual_c_equiv_additive"", ""warehouse-10-20-10-2-1|a50"": ""repair5g_dual_c_equiv_c100_b100_w075_d095""}}",map_agent_group_static_selector,0,5
