row_type,model,eval_scope,fold_id,context_budget_pairs,top1_safe_oracle_capture_rate,top3_safe_oracle_capture_rate,top5_safe_oracle_capture_rate,region_top1_capture_rate,region_top2_capture_rate,safe_policy_sim_utility,candidate_induced_no_solution_count,static_recovery_capture_count,avoidable_risk_ece,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
model_aggregate,g524_best_agent_density_reproduced,seed_oof,all,72,0.013888888888888888,0.06944444444444445,0.1111111111111111,0.18055555555555555,0.3611111111111111,0.04117165060957448,7,1,0.09072353023189471,False,False,False,False,False
model_aggregate,g524_best_agent_density_reproduced,leave_one_map_family,maze,24,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.03276803691454546,2,0,0.07386895262809529,False,False,False,False,False
model_aggregate,g524_best_agent_density_reproduced,leave_one_map_family,random,24,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.04999148423416666,0,0,0.009352013036989135,False,False,False,False,False
model_aggregate,g524_best_agent_density_reproduced,leave_one_map_family,warehouse,24,0.041666666666666664,0.125,0.25,0.2916666666666667,0.5833333333333334,0.01437514491,5,1,0.20765365110457798,False,False,False,False,False
model_aggregate,g524_best_agent_density_reproduced,budget_holdout,budget_1000,36,0.027777777777777776,0.08333333333333333,0.1388888888888889,0.2222222222222222,0.3888888888888889,0.04175418334217391,1,0,0.021279085787450268,False,False,False,False,False
model_aggregate,g524_best_agent_density_reproduced,budget_holdout,budget_2000,36,0.0,0.05555555555555555,0.08333333333333333,0.1388888888888889,0.3333333333333333,0.040613390074166665,6,1,0.16016797467633914,False,False,False,False,False
model_aggregate,region_prior_reproduced,seed_oof,all,72,0.0,0.027777777777777776,0.05555555555555555,0.09722222222222222,0.3333333333333333,0.054286537953877535,5,1,0.06189238509967864,False,False,False,False,False
model_aggregate,region_prior_reproduced,leave_one_map_family,maze,24,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.039864024416666664,0,0,0.011376840233242128,False,False,False,False,False
model_aggregate,region_prior_reproduced,leave_one_map_family,random,24,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07080055641416666,0,0,0.010420494767010619,False,False,False,False,False
model_aggregate,region_prior_reproduced,leave_one_map_family,warehouse,24,0.0,0.0,0.0,0.125,0.8333333333333334,0.0040904198,5,1,0.20747449029928866,False,False,False,False,False
model_aggregate,region_prior_reproduced,budget_holdout,budget_1000,36,0.0,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.3888888888888889,0.05533229041541667,0,0,0.007552059344765815,False,False,False,False,False
model_aggregate,region_prior_reproduced,budget_holdout,budget_2000,36,0.0,0.027777777777777776,0.05555555555555555,0.1388888888888889,0.2777777777777778,0.053282615590800005,5,1,0.13133682954412307,False,False,False,False,False
model_aggregate,blocked_reason_only_model,seed_oof,all,72,0.0,0.041666666666666664,0.06944444444444445,0.1527777777777778,0.2916666666666667,0.05491115858411765,3,3,0.03427779751707036,False,False,False,False,False
model_aggregate,blocked_reason_only_model,leave_one_map_family,maze,24,0.0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.04326365365416666,0,0,0.011222019524203063,False,False,False,False,False
model_aggregate,blocked_reason_only_model,leave_one_map_family,random,24,0.0,0.08333333333333333,0.08333333333333333,0.25,0.3333333333333333,0.06820590180833334,0,0,0.01015852006751359,False,False,False,False,False
model_aggregate,blocked_reason_only_model,leave_one_map_family,warehouse,24,0.0,0.041666666666666664,0.041666666666666664,0.125,0.375,0.04173325223,3,3,0.12421393214292774,False,False,False,False,False
model_aggregate,blocked_reason_only_model,budget_holdout,budget_1000,36,0.0,0.027777777777777776,0.05555555555555555,0.1111111111111111,0.2777777777777778,0.05573477773125001,0,0,0.007388869149596306,False,False,False,False,False
model_aggregate,blocked_reason_only_model,budget_holdout,budget_2000,36,0.0,0.05555555555555555,0.08333333333333333,0.19444444444444445,0.3055555555555556,0.05417905267555557,3,3,0.07594446418373703,False,False,False,False,False
model_aggregate,competing_rank_only_model,seed_oof,all,72,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.20833333333333334,0.5694444444444444,0.046789783380000005,7,1,0.08991569679350864,False,False,False,False,False
model_aggregate,competing_rank_only_model,leave_one_map_family,maze,24,0.0,0.08333333333333333,0.08333333333333333,0.25,0.6666666666666666,0.04406310998999999,2,0,0.07165841230201689,False,False,False,False,False
model_aggregate,competing_rank_only_model,leave_one_map_family,random,24,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.04927433036166665,0,0,0.009538247956546866,False,False,False,False,False
model_aggregate,competing_rank_only_model,leave_one_map_family,warehouse,24,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.7083333333333334,0.0471474704,5,1,0.2076269260350559,False,False,False,False,False
model_aggregate,competing_rank_only_model,budget_holdout,budget_1000,36,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.04678200757521739,1,0,0.02047125234906419,False,False,False,False,False
model_aggregate,competing_rank_only_model,budget_holdout,budget_2000,36,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.19444444444444445,0.5833333333333334,0.046797235192916654,6,1,0.15936014123795306,False,False,False,False,False
model_aggregate,candidate_specific_rank_effect_model,seed_oof,all,72,0.08333333333333333,0.2222222222222222,0.3055555555555556,0.4583333333333333,0.6388888888888888,0.02529353290000001,5,3,0.06501620494687951,False,False,False,False,False
model_aggregate,candidate_specific_rank_effect_model,leave_one_map_family,maze,24,0.08333333333333333,0.25,0.3333333333333333,0.6666666666666666,0.75,0.036998489717826086,1,0,0.03485912434948513,False,False,False,False,False
model_aggregate,candidate_specific_rank_effect_model,leave_one_map_family,random,24,0.16666666666666666,0.4166666666666667,0.5833333333333334,0.5,0.5833333333333334,0.016452118098333333,0,0,0.006002194123789175,False,False,False,False,False
model_aggregate,candidate_specific_rank_effect_model,leave_one_map_family,warehouse,24,0.0,0.0,0.0,0.20833333333333334,0.5833333333333334,-0.003216492885,4,3,0.16619168461494258,False,False,False,False,False
model_aggregate,candidate_specific_rank_effect_model,budget_holdout,budget_1000,36,0.08333333333333333,0.2222222222222222,0.3055555555555556,0.4444444444444444,0.6388888888888888,0.0267851623421739,1,0,0.02334953828021285,False,False,False,False,False
model_aggregate,candidate_specific_rank_effect_model,budget_holdout,budget_2000,36,0.08333333333333333,0.2222222222222222,0.3055555555555556,0.4722222222222222,0.6388888888888888,0.023974014547307687,4,3,0.10668287161354617,False,False,False,False,False
model_aggregate,goal_aware_dual_channel_rank_effect_model,seed_oof,all,72,0.08333333333333333,0.19444444444444445,0.3333333333333333,0.4861111111111111,0.6666666666666666,0.023795304622916662,6,1,0.0787518204776793,False,False,False,False,False
model_aggregate,goal_aware_dual_channel_rank_effect_model,leave_one_map_family,maze,24,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.0337502968473913,1,0,0.03485667304552768,False,False,False,False,False
model_aggregate,goal_aware_dual_channel_rank_effect_model,leave_one_map_family,random,24,0.16666666666666666,0.25,0.5833333333333334,0.5,0.5833333333333334,0.01650763059916667,0,0,0.00637743342091577,False,False,False,False,False
model_aggregate,goal_aware_dual_channel_rank_effect_model,leave_one_map_family,warehouse,24,0.0,0.0,0.08333333333333333,0.2916666666666667,0.5833333333333334,-0.03026533997,5,1,0.207776221808426,False,False,False,False,False
model_aggregate,goal_aware_dual_channel_rank_effect_model,budget_holdout,budget_1000,36,0.08333333333333333,0.19444444444444445,0.3333333333333333,0.4722222222222222,0.6666666666666666,0.025190028950869563,1,0,0.023196264922123747,False,False,False,False,False
model_aggregate,goal_aware_dual_channel_rank_effect_model,budget_holdout,budget_2000,36,0.08333333333333333,0.19444444444444445,0.3333333333333333,0.5,0.6666666666666666,0.0225121582412,5,1,0.13430737603323487,False,False,False,False,False
model_aggregate,trace_plus_rank_effect_two_head_model,seed_oof,all,72,0.08333333333333333,0.3055555555555556,0.3888888888888889,0.5,0.7083333333333334,0.023052887525833326,6,1,0.07882110228042145,False,False,False,False,False
model_aggregate,trace_plus_rank_effect_two_head_model,leave_one_map_family,maze,24,0.08333333333333333,0.25,0.4166666666666667,0.75,0.9166666666666666,0.03328944376652174,1,0,0.03503739241100158,False,False,False,False,False
model_aggregate,trace_plus_rank_effect_two_head_model,leave_one_map_family,random,24,0.16666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.015809942022500006,0,0,0.006364510386045136,False,False,False,False,False
model_aggregate,trace_plus_rank_effect_two_head_model,leave_one_map_family,warehouse,24,0.0,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.5416666666666666,-0.03855721393,5,1,0.20779042481630794,False,False,False,False,False
model_aggregate,trace_plus_rank_effect_two_head_model,budget_holdout,budget_1000,36,0.08333333333333333,0.3055555555555556,0.3611111111111111,0.4722222222222222,0.75,0.02459559097913044,1,0,0.0232655467248659,False,False,False,False,False
model_aggregate,trace_plus_rank_effect_two_head_model,budget_holdout,budget_2000,36,0.08333333333333333,0.3055555555555556,0.4166666666666667,0.5277777777777778,0.6666666666666666,0.021633600348800002,5,1,0.13437665783597702,False,False,False,False,False
model_aggregate,region_then_rank_effect_candidate_ranker,seed_oof,all,72,0.05555555555555555,0.06944444444444445,0.06944444444444445,0.09722222222222222,0.3333333333333333,0.03300801392244898,5,1,0.06429680375246255,False,False,False,False,False
model_aggregate,region_then_rank_effect_candidate_ranker,leave_one_map_family,maze,24,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.03743318117666667,0,0,0.007863578378781167,False,False,False,False,False
model_aggregate,region_then_rank_effect_candidate_ranker,leave_one_map_family,random,24,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.02799370264833333,0,0,0.006915028498002584,False,False,False,False,False
model_aggregate,region_then_rank_effect_candidate_ranker,leave_one_map_family,warehouse,24,0.0,0.041666666666666664,0.041666666666666664,0.125,0.8333333333333334,0.0471474704,5,1,0.20766901813417138,False,False,False,False,False
model_aggregate,region_then_rank_effect_candidate_ranker,budget_holdout,budget_1000,36,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.3888888888888889,0.032713441912499995,0,0,0.005147640691981903,False,False,False,False,False
model_aggregate,region_then_rank_effect_candidate_ranker,budget_holdout,budget_2000,36,0.05555555555555555,0.08333333333333333,0.08333333333333333,0.1388888888888889,0.2777777777777778,0.033290803051999995,5,1,0.133741248196907,False,False,False,False,False
model_aggregate,budget_aware_rank_effect_ranker,seed_oof,all,72,0.0,0.19444444444444445,0.2916666666666667,0.3472222222222222,0.5972222222222222,0.03512315772520833,6,1,0.07883214593330792,False,False,False,False,False
model_aggregate,budget_aware_rank_effect_ranker,leave_one_map_family,maze,24,0.0,0.08333333333333333,0.25,0.5833333333333334,0.75,0.03942805020826088,1,0,0.034798573237835737,False,False,False,False,False
model_aggregate,budget_aware_rank_effect_ranker,leave_one_map_family,random,24,0.0,0.5,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.03379125544916667,0,0,0.006064325008544358,False,False,False,False,False
model_aggregate,budget_aware_rank_effect_ranker,leave_one_map_family,warehouse,24,0.0,0.0,0.041666666666666664,0.041666666666666664,0.375,-0.03192371476,5,1,0.20776218957063242,False,False,False,False,False
model_aggregate,budget_aware_rank_effect_ranker,budget_holdout,budget_1000,36,0.0,0.19444444444444445,0.2777777777777778,0.3333333333333333,0.6111111111111112,0.03704644903130434,1,0,0.023276590377752374,False,False,False,False,False
model_aggregate,budget_aware_rank_effect_ranker,budget_holdout,budget_2000,36,0.0,0.19444444444444445,0.3055555555555556,0.3611111111111111,0.5833333333333334,0.0333537297236,5,1,0.1343877014888635,False,False,False,False,False
model_aggregate,static_recovery_rank_effect_specialist,seed_oof,all,72,0.0,0.06944444444444445,0.1388888888888889,0.1388888888888889,0.4027777777777778,0.03864782830510205,5,1,0.06159518645279184,False,False,False,False,False
model_aggregate,static_recovery_rank_effect_specialist,leave_one_map_family,maze,24,0.0,0.0,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.03744728130916666,0,0,0.01326344735890189,False,False,False,False,False
model_aggregate,static_recovery_rank_effect_specialist,leave_one_map_family,random,24,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.042374262564166654,0,0,0.009482784623786725,False,False,False,False,False
model_aggregate,static_recovery_rank_effect_specialist,leave_one_map_family,warehouse,24,0.0,0.125,0.16666666666666666,0.16666666666666666,0.5416666666666666,-0.02197346601,5,1,0.20753179134106411,False,False,False,False,False
model_aggregate,static_recovery_rank_effect_specialist,budget_holdout,budget_1000,36,0.0,0.08333333333333333,0.16666666666666666,0.1111111111111111,0.4166666666666667,0.039910771936666666,0,0,0.007849257991652613,False,False,False,False,False
model_aggregate,static_recovery_rank_effect_specialist,budget_holdout,budget_2000,36,0.0,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.3888888888888889,0.037435402418799994,5,1,0.13103963089723628,False,False,False,False,False
model_aggregate,candidate_induced_failure_rank_effect_specialist,seed_oof,all,72,0.027777777777777776,0.027777777777777776,0.09722222222222222,0.20833333333333334,0.4583333333333333,0.036853468791632656,5,1,0.0623778401975105,False,False,False,False,False
model_aggregate,candidate_induced_failure_rank_effect_specialist,leave_one_map_family,maze,24,0.0,0.0,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.035465581884166666,0,0,0.011089781278451978,False,False,False,False,False
model_aggregate,candidate_induced_failure_rank_effect_specialist,leave_one_map_family,random,24,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.4166666666666667,0.0406924779825,0,0,0.009400796267839141,False,False,False,False,False
model_aggregate,candidate_induced_failure_rank_effect_specialist,leave_one_map_family,warehouse,24,0.0,0.0,0.041666666666666664,0.20833333333333334,0.5416666666666666,-0.02197346601,5,1,0.2076240981388226,False,False,False,False,False
model_aggregate,candidate_induced_failure_rank_effect_specialist,budget_holdout,budget_1000,36,0.027777777777777776,0.027777777777777776,0.1111111111111111,0.16666666666666666,0.4166666666666667,0.038079029933333335,0,0,0.007066604246933953,False,False,False,False,False
model_aggregate,candidate_induced_failure_rank_effect_specialist,budget_holdout,budget_2000,36,0.027777777777777776,0.027777777777777776,0.08333333333333333,0.25,0.5,0.0356769300956,5,1,0.13182228464195495,False,False,False,False,False
model_aggregate,map_family_specialist_rank_effect_mixture,seed_oof,all,72,0.0,0.027777777777777776,0.06944444444444445,0.09722222222222222,0.3333333333333333,0.053326511322916666,6,0,0.0759006988627641,False,False,False,False,False
