candidate_id,generated_theta_uid,registry_role,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,replay_phase,method,variant_id,actor_training_seed
g562_g565_fresh_solver_panel_e1_s565_332f7d02e276,b92198ddf8aeee9c5adfbeca3805ddd0d92fd2c195424d13105c76310656159d,g562_actor_generated_theta,1.243161678314209,1.156317949295044,1.3087832927703857,0.7428837418556213,0.7541761994361877,1.023308277130127,0.7010791897773743,0.9810163974761963,1.0,0.6739655137062073,0.6323959231376648,0.3451300263404846,0.9383033514022827,1.0,10.832952499389648,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_fa5dabb6ad43,5df520c5d3aee2749a865d767c14876c210a52c15e640261e79b45cb221656b2,g562_actor_generated_theta,1.2408827543258667,1.1696062088012695,1.2566455602645874,0.7441731095314026,0.7547594904899597,1.0405526161193848,0.6979354023933411,0.9805170297622681,1.0,0.6748005151748657,0.6539798378944397,0.34133005142211914,0.8839067220687866,1.0,10.818639755249023,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_07ca58f9d9fe,92eca48ace73bd396b74f9a997ec144c46b261860ac1cb7518bad5ec472e130e,g562_actor_generated_theta,1.241384506225586,1.1775751113891602,1.2601683139801025,0.7438899278640747,0.7516608834266663,1.0333304405212402,0.6998463869094849,0.9805240631103516,1.0,0.6805201172828674,0.6558994054794312,0.33846935629844666,0.8726987838745117,1.0,10.817252159118652,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_9dc01ec4e22d,619101706fcecb3f772368488613d68c85ef49ebd05a312687383d12eb4955cd,g562_actor_generated_theta,1.244031548500061,1.1538536548614502,1.3079499006271362,0.7461836934089661,0.7550294995307922,1.0190256834030151,0.7040555477142334,0.9809703826904297,1.0,0.6778770685195923,0.6350561380386353,0.34349700808525085,0.9205085635185242,1.0,10.83010196685791,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_dac16a2b83bd,de40ec2e540550167536531e43eead8701b5154923ee122ada18dd1d381aa608,g562_actor_generated_theta,1.2407549619674683,1.177372694015503,1.2592045068740845,0.7427091598510742,0.7521564960479736,1.0356414318084717,0.6990165710449219,0.9805570840835571,1.0,0.6784257888793945,0.6550847291946411,0.3393428921699524,0.8789836764335632,1.0,10.81899642944336,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_ca130b84648f,7ad6caf96a82637c20faf2a7d6f00adbb804ac19b0cffad81797891a5c7fe0bc,g562_actor_generated_theta,1.2394988536834717,1.170585036277771,1.2615480422973633,0.7403391003608704,0.7542678117752075,1.0417683124542236,0.6973412036895752,0.9807068705558777,1.0,0.6702415347099304,0.6500483155250549,0.3438347578048706,0.9073434472084045,1.0,10.82667350769043,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_f013da2ba399,706393d744140c40b458f8b2029a967e5dc3bad6dd7a1e440d663048f3a06b13,g562_actor_generated_theta,1.2414990663528442,1.1780847311019897,1.2598057985305786,0.7440980076789856,0.7516493201255798,1.032929539680481,0.699810266494751,0.9805054664611816,1.0,0.6809648871421814,0.6564188003540039,0.3381419777870178,0.8707466125488281,1.0,10.817049980163574,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_f0acfdfae245,c3e2ec972a5c8c261fc8011f92f9e34dcd3d74215596b5827c90ed2e38878c2e,g562_actor_generated_theta,1.2413629293441772,1.177377700805664,1.2582676410675049,0.7440778613090515,0.7519935369491577,1.0344009399414062,0.6991138458251953,0.9804688096046448,1.0,0.6802358031272888,0.6565556526184082,0.3384800851345062,0.87098228931427,1.0,10.816673278808594,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_9824eb7c3719,4d65b30a08957931fef5047fa726dcf036f3f8d8da0f5a31e85fdaf27bd056c3,g562_actor_generated_theta,1.239909291267395,1.1787707805633545,1.260940670967102,0.7405403852462769,0.7521094679832458,1.036840796470642,0.6982571482658386,0.9806643724441528,1.0,0.6759144067764282,0.653340220451355,0.34051474928855896,0.8911525011062622,1.0,10.823336601257324,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_3b94a46eaa66,cfb5baf327b23acf7ce069ec7aae639f28d382981010c6c27682ac3afbcb28d7,g562_actor_generated_theta,1.240156888961792,1.1800457239151,1.2646783590316772,0.7402055263519287,0.7512500882148743,1.0345700979232788,0.6992263197898865,0.9807549715042114,1.0,0.6767722964286804,0.6524848937988281,0.3400038182735443,0.8937417268753052,1.0,10.823830604553223,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_a39f1303116b,4c3d552b412401b556f647261d1c515ca007ed8ad486865183fc1ae78091bebd,g562_actor_generated_theta,1.2393442392349243,1.1709465980529785,1.2610121965408325,0.7402428984642029,0.7543547749519348,1.0417009592056274,0.6972548365592957,0.9806997776031494,1.0,0.6703237891197205,0.650297224521637,0.34368157386779785,0.906341552734375,1.0,10.826498985290527,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
