failure_mode,count_or_value,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
full_primary_gain_preserved,True,False,False,False,False,False
leakage_removed,0,False,False,False,False,False
surrogate_promising,False,False,False,False,False,False
static_recovery_rows,95,False,False,False,False,False
candidate_induced_failure_rows,42,False,False,False,False,False
