split,map,agents,seed,success,feasible,sum_of_loss_ratio,runtime_ms,ltm_iterations,committed_events,blocked_events,nonzero_ltm_edges,label_rows,label_path,label_sha256
test,maze-32-32-4,50,1,True,True,1.13056768559,3008.1472,15,87950,5496,2023,2694,artifacts/teacher/edge_labels/test/maze-32-32-4__a50__s1__82b18a204f80546f.edge_labels.jsonl,b37e89ae2371b000d455701028912f7e8a0f4db3e48f8813a7e6ccc6ff95e0ae
train,empty-32-32,50,1,True,True,1.03803888419,3009.3169,12,31750,884,3621,3968,artifacts/teacher/edge_labels/train/empty-32-32__a50__s1__2e65d920aa651d95.edge_labels.jsonl,be662617434a9c3851ff720946109260dcc5c61649630942a093d38f3ad16b90
train,random-32-32-20,50,1,True,True,1.09267431598,3131.0465,19,63950,2200,2208,2540,artifacts/teacher/edge_labels/train/random-32-32-20__a50__s1__fc1a69f0d363bf71.edge_labels.jsonl,3ec54b079062a8e1a53c0d149be4403f5d1b5cdb24fd2639e03c0a123eb1059f
train,random-64-64-20,50,1,True,True,1.0373705538,3387.6668,5,24250,221,5967,10298,artifacts/teacher/edge_labels/train/random-64-64-20__a50__s1__b65460868caf193a.edge_labels.jsonl,c04db953cfc7fafaa61b3e14088d486f7d4fa864c9442418e35e09fdae040a29
train,room-64-64-8,50,1,True,True,1.07803081045,3538.3796,5,27600,732,4298,11108,artifacts/teacher/edge_labels/train/room-64-64-8__a50__s1__c4b57a9a3c2285a6.edge_labels.jsonl,d988e957d0e06c2bccc5982dd416a0896d4346dbb30161e87a754495266767b3
train,warehouse-10-20-10-2-1,50,1,True,True,1.08573801121,3826.4768,3,22000,904,6704,17556,artifacts/teacher/edge_labels/train/warehouse-10-20-10-2-1__a50__s1__821acf64ca8a0c85.edge_labels.jsonl,7236162900198bf78737bf1f049639481151530db788aaa2ed0f267b9a964ea3
train,warehouse-10-20-10-2-2,50,1,True,True,1.00619261157,5259.0426,2,10600,28,4049,33804,artifacts/teacher/edge_labels/train/warehouse-10-20-10-2-2__a50__s1__6fb7ddf576e30c1d.edge_labels.jsonl,b509ad52e2f17decdb48562e930d31d51ee12d27b1cbb76a8c89d8b18b70b244
validation,empty-48-48,50,1,True,True,1.02937062937,3169.7579,6,16300,239,5213,9024,artifacts/teacher/edge_labels/validation/empty-48-48__a50__s1__bdb149fac843d12d.edge_labels.jsonl,4db46e10bf0fba96030c612b5f0a08a3dac416a68a18962ab48291fb8d8bdde2
