variant_id,variant_name,seed,model_path,hidden_dim,epochs_requested,epochs_run,min_epochs,early_stop_patience,best_epoch,final_train_loss,train_examples,validation_examples,scalar_only_control,uses_cross_attention,safe_subspace,field_group_trust,validation_labelv53_normalized_l1,validation_noop_deviation,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
C0,scalar_context_control,566,artifacts/models/gcst/phase5p5_repair5g566_c0_scalar_context_control_seed566.pt,96,100,38,30,10,28,0.004713185924069526,624,397,True,False,False,False,0.0009730803407919276,0.005292007652104314,False,False,False,False,False
A0,f6_lite_goal_aware_graph_actor,566,artifacts/models/gcst/phase5p5_repair5g566_a0_f6_lite_goal_aware_graph_actor_seed566.pt,96,100,72,30,10,62,0.0032475094157211385,624,397,False,False,False,False,0.0005743343994510829,0.005260401619457515,False,False,False,False,False
A1,dual_stream_c0_f0_graph_actor,566,artifacts/models/gcst/phase5p5_repair5g566_a1_dual_stream_c0_f0_graph_actor_seed566.pt,96,100,100,30,10,99,0.0032047608271032237,624,397,False,False,False,False,0.0005285474809154373,0.005178934438224478,False,False,False,False,False
A2,od_graph_cross_attention_actor,566,artifacts/models/gcst/phase5p5_repair5g566_a2_od_graph_cross_attention_actor_seed566.pt,96,100,86,30,10,76,0.0032779619826051667,624,397,False,True,False,False,0.0005253050090247028,0.00518626858473237,False,False,False,False,False
A3,safe_residual_subspace_actor,566,artifacts/models/gcst/phase5p5_repair5g566_a3_safe_residual_subspace_actor_seed566.pt,96,100,92,30,10,82,0.0050860080384434415,624,397,False,True,True,False,0.000948057806421944,0.004685227699361985,False,False,False,False,False
A4,field_group_trust_safe_subspace_actor,566,artifacts/models/gcst/phase5p5_repair5g566_a4_field_group_trust_safe_subspace_actor_seed566.pt,96,100,53,30,10,43,0.013957667976426773,624,397,False,True,True,True,0.003350968873222131,0.003064935643376046,False,False,False,False,False
C0,scalar_context_control,567,artifacts/models/gcst/phase5p5_repair5g566_c0_scalar_context_control_seed567.pt,96,100,30,30,10,20,0.004756893923816581,624,397,True,False,False,False,0.0009525845835151934,0.005246544841522121,False,False,False,False,False
A0,f6_lite_goal_aware_graph_actor,567,artifacts/models/gcst/phase5p5_repair5g566_a0_f6_lite_goal_aware_graph_actor_seed567.pt,96,100,84,30,10,74,0.003321549709280356,624,397,False,False,False,False,0.0005480999987444433,0.005217952863137315,False,False,False,False,False
A1,dual_stream_c0_f0_graph_actor,567,artifacts/models/gcst/phase5p5_repair5g566_a1_dual_stream_c0_f0_graph_actor_seed567.pt,96,100,86,30,10,76,0.0033007844803460804,624,397,False,False,False,False,0.0005314291712680776,0.00519000256600642,False,False,False,False,False
A2,od_graph_cross_attention_actor,567,artifacts/models/gcst/phase5p5_repair5g566_a2_od_graph_cross_attention_actor_seed567.pt,96,100,92,30,10,82,0.0032886873385182414,624,397,False,True,False,False,0.0005390225727733058,0.005231423359200058,False,False,False,False,False
A3,safe_residual_subspace_actor,567,artifacts/models/gcst/phase5p5_repair5g566_a3_safe_residual_subspace_actor_seed567.pt,96,100,62,30,10,52,0.005182554228947713,624,397,False,True,True,False,0.0009762623436193003,0.004690069755684744,False,False,False,False,False
A4,field_group_trust_safe_subspace_actor,567,artifacts/models/gcst/phase5p5_repair5g566_a4_field_group_trust_safe_subspace_actor_seed567.pt,96,100,46,30,10,36,0.013991497552547699,624,397,False,True,True,True,0.003355718477891866,0.0031573347470509614,False,False,False,False,False
C0,scalar_context_control,568,artifacts/models/gcst/phase5p5_repair5g566_c0_scalar_context_control_seed568.pt,96,100,39,30,10,29,0.004642679697822015,624,397,True,False,False,False,0.0009367914686521389,0.005276229036080484,False,False,False,False,False
A0,f6_lite_goal_aware_graph_actor,568,artifacts/models/gcst/phase5p5_repair5g566_a0_f6_lite_goal_aware_graph_actor_seed568.pt,96,100,66,30,10,56,0.0032624121268805214,624,397,False,False,False,False,0.0005094535453709825,0.005153720966781905,False,False,False,False,False
A1,dual_stream_c0_f0_graph_actor,568,artifacts/models/gcst/phase5p5_repair5g566_a1_dual_stream_c0_f0_graph_actor_seed568.pt,96,100,73,30,10,63,0.003262245810429494,624,397,False,False,False,False,0.0005216011665906624,0.005168406963723733,False,False,False,False,False
A2,od_graph_cross_attention_actor,568,artifacts/models/gcst/phase5p5_repair5g566_a2_od_graph_cross_attention_actor_seed568.pt,96,100,100,30,10,94,0.0032744189569105706,624,397,False,True,False,False,0.00048266371876081707,0.005156194831664564,False,False,False,False,False
A3,safe_residual_subspace_actor,568,artifacts/models/gcst/phase5p5_repair5g566_a3_safe_residual_subspace_actor_seed568.pt,96,100,48,30,10,38,0.006163634377746628,624,397,False,True,True,False,0.0012487246982180876,0.004408077022497089,False,False,False,False,False
A4,field_group_trust_safe_subspace_actor,568,artifacts/models/gcst/phase5p5_repair5g566_a4_field_group_trust_safe_subspace_actor_seed568.pt,96,100,42,30,10,32,0.013996811535878059,624,397,False,True,True,True,0.003359225617606728,0.0031006706893791256,False,False,False,False,False
