theta_id,theta_family,support_strata,safe_positive_support,hard_negative_support,hard_negative_regression_count_vs_static_flow,hard_negative_regression_count_vs_additive,fingerprint_match_rate,support_distance_threshold,utility_mean,utility_CI,forbidden_reason,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,forbidden_theta
repair5g549_theta_549000002,lambda_flow_lambda_cong_sweep,2,18,2,2,2,1,0.05,0.028126757075,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.703692592615,0.0762838474323,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000003,alpha_flow_wait_progress_sweep,2,20,2,2,2,1,0.05,0.0187342390034,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.5445501609,0.95,1,1,0.640902218196,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000004,edge_cost_clamp_sweep,2,10,2,2,2,1,0.05,0.022532460022,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.849183551633,10.1785956428,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000011,static_flow_local_perturbation_fulltheta,2,18,2,2,2,1,0.05,0.0333389977304,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.768346463307,0.95,1,0.717935764128,0.706961186078,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000016,alpha_cong_commit_nonprogress_sweep,2,16,2,2,2,1,0.05,0.0208937382916,compact_audit_not_claim,success_regression_vs_static_flow,1.25,0.843795562409,1.25,0.75,0.75,1,1,0.95,1,0.982141035718,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000017,g543_true_near_signal_neighborhood,2,8,2,2,2,1,0.05,0.030763701536,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.20767978464,0.229727940544,0.781452687095,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000018,g546_g548_safe_no_gain_neighborhood,2,12,2,2,2,1,0.05,0.02325185855,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.336436127128,0.95,1,1.09575445849,1,0.35,0.75,0.405103539793,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000019,surrogate_guided_theta_if_model_exists,2,10,2,2,2,1,0.05,0.02784866414,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.39544170912,1.25,0.75,0.75,1,1,0.95,1,0.978847342305,0.921348857302,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000024,edge_cost_clamp_sweep,2,10,4,4,4,1,0.05,0.025057064216,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.714819070362,8.18377563245,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000025,goal_projection_mode_ablation,2,12,2,2,2,1,0.05,0.023735311205,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.169181661637,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
