region_id,deployable_region_key,candidate_id,map_family,map,agents,budget_ms,iteration_bucket,support_pairs,seed_block_support,context_support,minimum_diagnostic_pairs,minimum_strong_pairs,minimum_final_pairs,minimum_final_seed_blocks,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,vs_family_static_pairs,vs_family_static_success_regression_count,vs_family_static_success_gain_count,vs_family_static_both_fail_count,vs_family_static_quality_only_pairs,vs_family_static_quality_only_mean_delta,vs_family_static_quality_only_median_delta,vs_family_static_quality_ci_low,vs_family_static_quality_ci_high,vs_family_static_mean_corrected_delta,vs_family_static_better_count,vs_family_static_equal_count,vs_family_static_worse_count,vs_family_static_safe_high_margin_count,vs_family_static_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,region_status,safe_region,useful_safe_region,zero_regression_vs_static_and_family,near_miss_reason,global_boundary_candidate
repair5g539_s1_026|maze|50|1000|final,maze|50|1000|final,repair5g539_s1_026,maze,maze-32-32-4,50,1000,final,9,1,9,20,60,80,3,9,0,0,0,9,-0.00834267375778,0,-0.00834267375778,-0.00834267375778,-0.00834267375778,4,3,2,4,0,9,0,0,0,9,-0.00518730082333,0,-0.00518730082333,-0.00518730082333,-0.00518730082333,3,6,0,3,0,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s1_026|maze|50|2000|final,maze|50|2000|final,repair5g539_s1_026,maze,maze-32-32-4,50,2000,final,10,1,10,20,60,80,3,10,0,0,0,10,-0.007508406382,0,-0.007508406382,-0.007508406382,-0.007508406382,4,4,2,4,0,10,0,0,0,10,-0.004668570741,0,-0.004668570741,-0.004668570741,-0.004668570741,3,7,0,3,0,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s2_110|maze|50|1000|final,maze|50|1000|final,repair5g539_s2_110,maze,maze-32-32-4,50,1000,final,9,1,9,20,60,80,3,9,0,0,0,9,-0.00673783387556,-0.01029336078,-0.00673783387556,-0.00673783387556,-0.00673783387556,5,3,1,5,0,9,0,0,0,9,-0.00358246094111,-0.00047824008,-0.00358246094111,-0.00358246094111,-0.00358246094111,4,4,1,4,1,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s2_110|maze|100|2000|final,maze|100|2000|final,repair5g539_s2_110,maze,maze-32-32-4,100,2000,final,9,1,9,20,60,80,3,9,0,0,0,9,-0.00645942118111,0.00295493721,-0.00645942118111,-0.00645942118111,-0.00645942118111,4,1,4,4,0,9,0,0,0,9,-0.0291693107367,-0.04044389642,-0.0291693107367,-0.0291693107367,-0.0291693107367,7,0,2,7,0,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s2_110|maze|50|2000|final,maze|50|2000|final,repair5g539_s2_110,maze,maze-32-32-4,50,2000,final,10,1,10,20,60,80,3,10,0,0,0,10,-0.006064050488,-0.00514668039,-0.006064050488,-0.006064050488,-0.006064050488,5,4,1,5,0,10,0,0,0,10,-0.003224214847,-0.00023912004,-0.003224214847,-0.003224214847,-0.003224214847,4,5,1,4,1,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s1_026|random|100|2000|final,random|100|2000|final,repair5g539_s1_026,random,random-32-32-20,100,2000,final,10,1,10,20,60,80,3,10,0,0,0,10,-0.005994831502,0,-0.005994831502,-0.005994831502,-0.005994831502,3,3,4,3,0,10,0,0,0,10,-0.010572780687,-0.00170399221,-0.010572780687,-0.010572780687,-0.010572780687,4,6,0,4,1,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s1_000|random|50|1000|final,random|50|1000|final,repair5g539_s1_000,random,random-32-32-20,50,1000,final,9,1,9,20,60,80,3,9,0,0,0,9,-0.00521423031111,0,-0.00521423031111,-0.00521423031111,-0.00521423031111,1,6,2,1,0,9,0,0,0,9,-0.00637719551556,0,-0.00637719551556,-0.00637719551556,-0.00637719551556,1,8,0,1,1,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s1_000|random|50|2000|final,random|50|2000|final,repair5g539_s1_000,random,random-32-32-20,50,2000,final,10,1,10,20,60,80,3,10,0,0,0,10,-0.00469280728,0,-0.00469280728,-0.00469280728,-0.00469280728,1,7,2,1,0,10,0,0,0,10,-0.005739475964,0,-0.005739475964,-0.005739475964,-0.005739475964,1,9,0,1,1,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s2_110|random|50|1000|final,random|50|1000|final,repair5g539_s2_110,random,random-32-32-20,50,1000,final,9,1,9,20,60,80,3,9,0,0,0,9,-0.00393157884556,0,-0.00393157884556,-0.00393157884556,-0.00393157884556,2,6,1,2,0,9,0,0,0,9,-0.00509454405,0,-0.00509454405,-0.00509454405,-0.00509454405,2,7,0,2,1,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s2_110|random|100|2000|final,random|100|2000|final,repair5g539_s2_110,random,random-32-32-20,100,2000,final,10,1,10,20,60,80,3,10,0,0,0,10,-0.003709177552,-0.00175669741,-0.003709177552,-0.003709177552,-0.003709177552,4,2,4,4,1,10,0,0,0,10,-0.008287126737,-0.00175669741,-0.008287126737,-0.008287126737,-0.008287126737,4,3,3,4,1,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s2_110|random|50|2000|final,random|50|2000|final,repair5g539_s2_110,random,random-32-32-20,50,2000,final,10,1,10,20,60,80,3,10,0,0,0,10,-0.003538420961,0,-0.003538420961,-0.003538420961,-0.003538420961,2,7,1,2,0,10,0,0,0,10,-0.004585089645,0,-0.004585089645,-0.004585089645,-0.004585089645,2,8,0,2,1,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s1_000|maze|50|2000|final,maze|50|2000|final,repair5g539_s1_000,maze,maze-32-32-4,50,2000,final,10,1,10,20,60,80,3,10,0,0,0,10,-0.002606047495,0,-0.002606047495,-0.002606047495,-0.002606047495,3,4,3,3,0,10,0,0,0,10,0.000233788146,0,0.000233788146,0.000233788146,0.000233788146,2,6,2,2,0,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s1_000|maze|50|1000|final,maze|50|1000|final,repair5g539_s1_000,maze,maze-32-32-4,50,1000,final,9,1,9,20,60,80,3,9,0,0,0,9,-0.00160486938,0,-0.00160486938,-0.00160486938,-0.00160486938,2,4,3,2,0,9,0,0,0,9,0.00155050355444,0,0.00155050355444,0.00155050355444,0.00155050355444,1,6,2,1,0,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s1_026|random|50|1000|final,random|50|1000|final,repair5g539_s1_026,random,random-32-32-20,50,1000,final,9,1,9,20,60,80,3,9,0,0,0,9,-0.00159936046111,0,-0.00159936046111,-0.00159936046111,-0.00159936046111,1,7,1,1,1,9,0,0,0,9,-0.00276232566556,0,-0.00276232566556,-0.00276232566556,-0.00276232566556,1,8,0,1,1,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s1_026|random|50|2000|final,random|50|2000|final,repair5g539_s1_026,random,random-32-32-20,50,2000,final,10,1,10,20,60,80,3,10,0,0,0,10,-0.001439424415,0,-0.001439424415,-0.001439424415,-0.001439424415,1,8,1,1,1,10,0,0,0,10,-0.002486093099,0,-0.002486093099,-0.002486093099,-0.002486093099,1,9,0,1,1,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s2_089|maze|50|1000|final,maze|50|1000|final,repair5g539_s2_089,maze,maze-32-32-4,50,1000,final,9,1,9,20,60,80,3,9,0,0,0,9,-0.00058928791,0,-0.00058928791,-0.00058928791,-0.00058928791,2,6,1,2,1,9,0,0,0,9,0.00256608502444,0,0.00256608502444,0.00256608502444,0.00256608502444,3,4,2,3,0,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s2_089|maze|50|2000|final,maze|50|2000|final,repair5g539_s2_089,maze,maze-32-32-4,50,2000,final,10,1,10,20,60,80,3,10,0,0,0,10,-0.000530359119,0,-0.000530359119,-0.000530359119,-0.000530359119,2,7,1,2,1,10,0,0,0,10,0.002309476522,0,0.002309476522,0.002309476522,0.002309476522,3,5,2,3,0,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s1_000|random|100|500|final,random|100|500|final,repair5g539_s1_000,random,random-32-32-20,100,500,final,10,1,10,20,60,80,3,10,0,2,1,7,0,0,0,0,-0.05,0,7,0,2,0,10,0,1,1,8,0,0,0,0,-0.025,0,8,0,1,0,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s1_026|random|100|500|final,random|100|500|final,repair5g539_s1_026,random,random-32-32-20,100,500,final,10,1,10,20,60,80,3,10,0,2,1,7,0,0,0,0,-0.05,0,7,0,2,0,10,0,1,1,8,0,0,0,0,-0.025,0,8,0,1,0,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s2_089|random|100|500|final,random|100|500|final,repair5g539_s2_089,random,random-32-32-20,100,500,final,10,1,10,20,60,80,3,10,0,2,1,7,0,0,0,0,-0.05,0,7,0,2,0,10,0,1,1,8,0,0,0,0,-0.025,0,8,0,1,0,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s2_110|random|100|500|final,random|100|500|final,repair5g539_s2_110,random,random-32-32-20,100,500,final,10,1,10,20,60,80,3,10,0,2,1,7,0,0,0,0,-0.05,0,7,0,2,0,10,0,1,1,8,0,0,0,0,-0.025,0,8,0,1,0,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s1_000|warehouse|50|2000|final,warehouse|50|2000|final,repair5g539_s1_000,warehouse,warehouse-10-20-10-2-1,50,2000,final,10,1,10,20,60,80,3,10,0,1,0,9,0,0,0,0,-0.025,0,9,0,1,0,10,0,1,0,9,0,0,0,0,-0.025,0,9,0,1,0,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
repair5g539_s2_089|warehouse|50|2000|final,warehouse|50|2000|final,repair5g539_s2_089,warehouse,warehouse-10-20-10-2-1,50,2000,final,10,1,10,20,60,80,3,10,0,1,0,9,0,0,0,0,-0.025,0,9,0,1,0,10,0,1,0,9,0,0,0,0,-0.025,0,9,0,1,0,False,False,False,False,False,boundary_underpowered_or_quality_weak,False,False,True,zero_regression_nontrivial_or_boundary_seed_block_underpowered,True
