feature_set,feature,runtime_allowed,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
F0_static_context_only,feature_map_family_maze,True,False,False,False,False,False
F1_fixed_staticflow_trace,feature_map_family_maze,True,False,False,False,False,False
F2_full_diagnostic_not_runtime,feature_map_family_maze,False,False,False,False,False,False
F0_static_context_only,feature_map_family_random,True,False,False,False,False,False
F1_fixed_staticflow_trace,feature_map_family_random,True,False,False,False,False,False
F2_full_diagnostic_not_runtime,feature_map_family_random,False,False,False,False,False,False
F0_static_context_only,feature_map_family_warehouse,True,False,False,False,False,False
F1_fixed_staticflow_trace,feature_map_family_warehouse,True,False,False,False,False,False
F2_full_diagnostic_not_runtime,feature_map_family_warehouse,False,False,False,False,False,False
F0_static_context_only,feature_agents,True,False,False,False,False,False
F1_fixed_staticflow_trace,feature_agents,True,False,False,False,False,False
F2_full_diagnostic_not_runtime,feature_agents,False,False,False,False,False,False
F0_static_context_only,feature_budget_ms,True,False,False,False,False,False
F1_fixed_staticflow_trace,feature_budget_ms,True,False,False,False,False,False
F2_full_diagnostic_not_runtime,feature_budget_ms,False,False,False,False,False,False
F0_static_context_only,feature_iteration_final,True,False,False,False,False,False
F1_fixed_staticflow_trace,feature_iteration_final,True,False,False,False,False,False
F2_full_diagnostic_not_runtime,feature_iteration_final,False,False,False,False,False,False
F0_static_context_only,feature_obstacle_ratio_proxy,True,False,False,False,False,False
F1_fixed_staticflow_trace,feature_obstacle_ratio_proxy,True,False,False,False,False,False
F2_full_diagnostic_not_runtime,feature_obstacle_ratio_proxy,False,False,False,False,False,False
F0_static_context_only,feature_corridor_proxy,True,False,False,False,False,False
F1_fixed_staticflow_trace,feature_corridor_proxy,True,False,False,False,False,False
F2_full_diagnostic_not_runtime,feature_corridor_proxy,False,False,False,False,False,False
F0_static_context_only,feature_junction_proxy,True,False,False,False,False,False
F1_fixed_staticflow_trace,feature_junction_proxy,True,False,False,False,False,False
F2_full_diagnostic_not_runtime,feature_junction_proxy,False,False,False,False,False,False
F1_fixed_staticflow_trace,feature_trace_event_count,True,False,False,False,False,False
F2_full_diagnostic_not_runtime,feature_trace_event_count,False,False,False,False,False,False
F1_fixed_staticflow_trace,feature_trace_events_per_agent,True,False,False,False,False,False
F2_full_diagnostic_not_runtime,feature_trace_events_per_agent,False,False,False,False,False,False
F1_fixed_staticflow_trace,feature_pibt_failure_audit_count,True,False,False,False,False,False
F2_full_diagnostic_not_runtime,feature_pibt_failure_audit_count,False,False,False,False,False,False
F2_full_diagnostic_not_runtime,feature_expanded_nodes,False,False,False,False,False,False
F2_full_diagnostic_not_runtime,feature_high_level_expansions,False,False,False,False,False,False
F2_full_diagnostic_not_runtime,feature_low_level_pibt_calls,False,False,False,False,False,False
F2_full_diagnostic_not_runtime,feature_expansions_per_agent,False,False,False,False,False,False
F0_static_context_only,feature_budget_per_agent,True,False,False,False,False,False
F1_fixed_staticflow_trace,feature_budget_per_agent,True,False,False,False,False,False
F2_full_diagnostic_not_runtime,feature_budget_per_agent,False,False,False,False,False,False
