f4_mean_rank,candidate_id,rows,better,equal,worse,better_minus_worse,mean_delta_ratio_vs_ltm,median_delta_ratio_vs_ltm,bootstrap_95ci_mean_delta_ratio_vs_ltm,bootstrap_probability_mean_delta_lt_0,ratio_worse_than_ltm_groups,success_worse_than_ltm_groups,success_regressions,success_improvements,worst_group,worst_group_mean_delta_ratio_vs_ltm,best_group,best_group_mean_delta_ratio_vs_ltm,is_locked_f4_candidate,is_component_candidate
1,c125_b125_w075_d095,120,35,64,21,14,-0.0028050352278249997,0.0,"[-0.005511177568133335, -0.00020073360835833054]",0.9832,0,0,0,0,warehouse-10-20-10-2-1|a100,0.0,warehouse-10-20-10-2-1|a50,-0.007206674018499992,False,False
2,c100_b125_w075_d100,120,29,69,22,7,-0.0027777015376666734,0.0,"[-0.005738442252816676, -0.00012317838025000156]",0.9798,0,0,0,0,warehouse-10-20-10-2-1|a100,0.0,warehouse-10-20-10-2-1|a50,-0.007319134656999992,False,False
3,c125_b075_w100_d090,120,28,65,27,1,-0.0017090536196500057,0.0,"[-0.004898463689191686, 0.0012389804135749972]",0.8588,1,0,0,0,maze-32-32-4|a100,0.001568879626999975,warehouse-10-20-10-2-1|a50,-0.007206674018499992,False,False
4,c100_b100_w075_d095,120,24,73,23,1,-0.00162373016304167,0.0,"[-0.004756199542591668, 0.001229784996341654]",0.8614,2,1,1,0,maze-32-32-4|a50,0.0014443016162499767,warehouse-10-20-10-2-1|a50,-0.004830561776999998,False,True
5,c125_b125_w100_d100,120,24,72,24,0,-0.0011600950418750053,0.0,"[-0.0036017544730916683, 0.0011773832766999864]",0.822,2,1,5,0,maze-32-32-4|a50,0.0012216991171499936,warehouse-10-20-10-2-1|a50,-0.003614457830999995,False,False
6,c075_b100_w100_d090,120,27,67,26,1,-0.0010022954921916664,0.0,"[-0.003973582782866675, 0.0018397381732749999]",0.7528,2,0,0,0,random-32-32-20|a100,0.0010241617619,warehouse-10-20-10-2-1|a50,-0.006655191857999998,False,False
7,c125_b100_w075_d100,120,24,71,25,-1,-0.0009600393375583373,0.0,"[-0.0037333859532333352, 0.0015804652824416723]",0.7508,3,1,3,0,random-32-32-20|a50,0.0010795664280000006,random-32-32-20|a100,-0.004130698467049998,False,False
8,c100_b075_w100_d095,120,23,71,26,-3,-0.0009105810296500011,0.0,"[-0.003755694405466664, 0.001891088291599999]",0.7302,2,1,1,0,maze-32-32-4|a100,0.004033679642999999,warehouse-10-20-10-2-1|a50,-0.007319134656999992,False,False
9,c100_b100_w100_d090,120,24,73,23,1,-0.0009088408942916709,0.0,"[-0.0033075682299250047, 0.0013899754601833217]",0.763,1,1,3,0,random-32-32-20|a50,0.0010795664280000006,warehouse-10-20-10-2-1|a50,-0.003614457830999995,False,True
10,c100_b125_w100_d100,120,19,73,28,-9,-0.0008892215745000116,0.0,"[-0.0038953147264833435, 0.0018673726995333169]",0.7132,1,1,3,0,maze-32-32-4|a100,0.0028122317449999603,random-32-32-20|a100,-0.0037387712219000167,False,False
