table_name,path,reported_rows_from_summary,actual_rows_from_committed_csv,actual_sha256,header_present,non_empty_file,sample_rows_present,row_count_matches_summary,rebuildable_from_g531_raw_or_slice_tables
phase5p5_repair5g531_context_slices.csv,outputs/tables/phase5p5_repair5g531_context_slices.csv,1200,1200,660955e5716d8ac35f831238dce5a81113c1c08220e089d713d9d7120436e468,True,True,True,True,True
phase5p5_repair5g531_edge_slices.csv,outputs/tables/phase5p5_repair5g531_edge_slices.csv,72000,72000,03ad5e5ca02499153febc02532729a8c88d01828e16757474895a08d417f7552,True,True,True,True,True
phase5p5_repair5g531_event_slices.csv,outputs/tables/phase5p5_repair5g531_event_slices.csv,9600,9600,04451383f416ec0dfb9bbc7c909b0405a542c2bb3e38f37d3acda5cba0a0cdfe,True,True,True,True,True
phase5p5_repair5g531_failure_slices.csv,outputs/tables/phase5p5_repair5g531_failure_slices.csv,1200,1200,461e4a9c77e2080927fd55ed38c95a999095396155e1bde58d98448a251b952d,True,True,True,True,True
phase5p5_repair5g531_update_slices.csv,outputs/tables/phase5p5_repair5g531_update_slices.csv,1200,1200,ae64613a9259c089bc8b8c8b2172506bdd50dc4f9a80592de5a62122aba14029,True,True,True,True,True
phase5p5_repair5g531_update_ltm_residual_labels.csv,outputs/tables/phase5p5_repair5g531_update_ltm_residual_labels.csv,72000,72000,9ba4b1951f0ad545fcc4c439299aa4bead4812a5cd8d273f3caf0359149968dd,True,True,True,True,True
phase5p5_repair5g531_risk_fallback_labels.csv,outputs/tables/phase5p5_repair5g531_risk_fallback_labels.csv,84000,84000,e4ca7535151dc55673c2e781c3cbd2870aa76730b70fa91d01bfa1242b3fa731,True,True,True,True,True
phase5p5_repair5g531_slice_residual_models_eval.csv,outputs/tables/phase5p5_repair5g531_slice_residual_models_eval.csv,11,11,3e564fa442d2e7d402a56b39b94f01ddaaf69a6d31b49157b7172f7d2c6e11d9,True,True,True,True,True
phase5p5_repair5g531_slice_risk_models_eval.csv,outputs/tables/phase5p5_repair5g531_slice_risk_models_eval.csv,10,10,6b41d1a1124472344bb15c2e836b4f779a7b4b82bf4c219c17fefd3fbeb88696,True,True,True,True,True
phase5p5_repair5g531_world_model_auxiliary_eval.csv,outputs/tables/phase5p5_repair5g531_world_model_auxiliary_eval.csv,5,5,da617a6f8478dab5f8dbdb49e9b047fb7cce09c3055315e8b2a2c17018b17500,True,True,True,True,True
