alias_row_id,candidate_id,method,method_alias,context_id,map,agents,budget_ms,materialization_status,direct_cpp_runtime_export_required,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g545_alias_00000000,repair5g545_generated_theta_00000265,repair5g518_grid_c1p5_b0p5_f1p49_w1p75_dc1p00_df0p9_beta0p00_max1p33_c0,repair5g545_generated_theta_00000265__b1000__i2,000000d752da8699,maze-32-32-4,50,1000,temporary_grid_alias_created,False,1.5,0.5,0.5,1.25,1.75,1.48822568667,1.25,1,0.9,1.34950285538,0.188204768959,0,1.3304227433,0.781941122474,8,1,0,0,False,False,False,False,False
g545_alias_00000001,repair5g545_generated_theta_00000264,repair5g518_grid_c1p5_b0p5_f1p41_w1p75_dc1p00_df0p9_beta0p00_max1p38_c0,repair5g545_generated_theta_00000264__b1000__i2,000000d752da8699,maze-32-32-4,50,1000,temporary_grid_alias_created,False,1.5,0.5,0.5,1.25,1.75,1.40803759122,1.25,1,0.9,1.2886468335,0.274298810565,0,1.37906314733,0.718376723862,8,1,0,0,False,False,False,False,False
g545_alias_00000002,repair5g545_generated_theta_00000268,repair5g518_grid_c1p5_b0p5_f1p4_w1p75_dc1p00_df0p9_beta0p00_max1p43_c0,repair5g545_generated_theta_00000268__b1000__i2,000000d752da8699,maze-32-32-4,50,1000,temporary_grid_alias_created,False,1.5,0.5,0.5,1.25,1.75,1.40322552967,1.25,1,0.9,1.33481751068,0.245449841277,0,1.43011659723,0.745999364247,8,1,0,0,False,False,False,False,False
g545_alias_00000003,repair5g545_generated_theta_00000271,repair5g518_grid_c1p5_b0p5_f1p45_w1p75_dc1p00_df0p9_beta0p00_max1p35_c0,repair5g545_generated_theta_00000271__b1000__i2,000000d752da8699,maze-32-32-4,50,1000,temporary_grid_alias_created,False,1.5,0.5,0.5,1.25,1.75,1.44930060457,1.25,1,0.9,1.26734314252,0.173743630549,0,1.34590525581,0.746710437644,8,1,0,0,False,False,False,False,False
g545_alias_00000004,repair5g545_generated_theta_00000266,repair5g518_grid_c1p5_b0p5_f1p45_w1p75_dc1p00_df0p9_beta0p00_max1p38_c0,repair5g545_generated_theta_00000266__b1000__i2,000000d752da8699,maze-32-32-4,50,1000,temporary_grid_alias_created,False,1.5,0.5,0.5,1.25,1.75,1.4536931727,1.25,1,0.9,1.32132418335,0.129138277489,0,1.38398055262,0.716278833962,8,1,0,0,False,False,False,False,False
g545_alias_00000005,repair5g545_generated_theta_00000267,repair5g518_grid_c1p5_b0p5_f1p44_w1p75_dc1p00_df0p9_beta0p00_max1p43_c0,repair5g545_generated_theta_00000267__b1000__i2,000000d752da8699,maze-32-32-4,50,1000,temporary_grid_alias_created,False,1.5,0.5,0.5,1.25,1.75,1.43636357469,1.25,1,0.9,1.31300831395,0.138543464056,0,1.43474824224,0.706588553309,8,1,0,0,False,False,False,False,False
g545_alias_00000006,repair5g545_generated_theta_00000270,repair5g518_grid_c1p5_b0p5_f1p5_w1p75_dc1p00_df0p9_beta0p05_max1p37_c0,repair5g545_generated_theta_00000270__b1000__i2,000000d752da8699,maze-32-32-4,50,1000,temporary_grid_alias_created,False,1.5,0.5,0.5,1.25,1.75,1.49967195162,1.25,1,0.9,1.32673291145,0.204824897858,0.0495276827491,1.36617293087,0.711757303242,8,1,0,0,False,False,False,False,False
g545_alias_00000007,repair5g545_generated_theta_00000269,repair5g518_grid_c1p5_b0p5_f1p5_w1p75_dc1p00_df0p9_beta0p06_max1p49_c0,repair5g545_generated_theta_00000269__b1000__i2,000000d752da8699,maze-32-32-4,50,1000,temporary_grid_alias_created,False,1.5,0.5,0.5,1.25,1.75,1.5,1.25,1,0.9,1.35699772851,0.138733235534,0.0640607724116,1.49249894383,0.706207505122,8,1,0,0,False,False,False,False,False
g545_alias_00000008,repair5g545_generated_theta_00001108,repair5g518_grid_c0p00_b0p5_f1p18_w1p75_dc1p00_df1p00_beta0p07_max1p5_c0,repair5g545_generated_theta_00001108__b2000__i2,000000e8eeaf1388,warehouse-10-20-10-2-1,50,2000,temporary_grid_alias_created,False,0,1.75,0.5,0.189780528061,1.75,1.18429547101,1.25,1,1,0.5,1.5,0.0680666784556,1.5,0.25,10.9818043953,1,0,0,False,False,False,False,False
g545_alias_00000009,repair5g545_generated_theta_00001105,repair5g518_grid_c0p00_b0p5_f1p13_w1p75_dc1p00_df1p00_beta0p08_max1p5_c0,repair5g545_generated_theta_00001105__b2000__i2,000000e8eeaf1388,warehouse-10-20-10-2-1,50,2000,temporary_grid_alias_created,False,0,1.75,0.5,0.190155259683,1.75,1.13289995535,1.25,1,1,0.5,1.5,0.0784939092764,1.5,0.25,10.8591563409,1,0,0,False,False,False,False,False
