acquisition_row_id,g560_evaluation_uid,split,map,map_family,agent_count,seed,budget_ms,positive_rows,harmful_rows,censored_rows,best_positive_quality_delta_vs_g556,worst_harmful_quality_delta_vs_g556,frontier_priority_score,targeted_design_reason,requires_new_exact_materialization,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,frontier_rank
g562_frontier_00000220,29de62718714a063cf3a42a9633fd30fd743f7d9b6de264f201d681889346f5f,train,g559-synth-loop-chain-36,irregular_bottleneck,64,7398,2000,5,59,0,-1.09617755857,193.19482120853,195.29099876709998,positive_frontier_and_boundary,True,False,False,False,False,False,1
g562_frontier_00000243,2e68e0f6394d22a416c64f628cf3eadb7784a7f0e125030945e5ae39a778745c,validation,random-32-32-20,random,256,7893,1000,30,34,0,-94.15226669747001,0.0,95.15226669747001,positive_frontier_and_boundary,True,False,False,False,False,False,2
g562_frontier_00000133,198cfd6ea5d7fac1719b75f97269902bf0dbb0d37538e3c3a143897baf915113,train,g559-synth-loop-chain-36,irregular_bottleneck,64,8358,2000,43,21,0,-5.822891566260001,87.75903614462,94.58192771088,positive_frontier_and_boundary,True,False,False,False,False,False,3
g562_frontier_00000302,3bb5d48a836a4f775a57e1373afebdf41d1ca2e5bf4ebc47165234d749c04462,validation,random-32-32-20,random,256,8277,1000,4,60,0,-0.5501714285700001,92.77965714284001,94.32982857141,positive_frontier_and_boundary,True,False,False,False,False,False,4
g562_frontier_00000321,3ed87235f6139ce770d71512dc4afcb74a7914050493937189e71394564c73db,validation,random-32-32-20,random,256,8637,1000,18,46,0,-16.19605568448,69.52761020879998,86.72366589327999,positive_frontier_and_boundary,True,False,False,False,False,False,5
g562_frontier_00000399,5100701944c81abff79bfe31f890404dc1dffcdeabec10e211a4afbfc7cf034f,train,g559-synth-loop-chain-36,irregular_bottleneck,64,8718,2000,24,40,0,-2.21752450981,68.82598039218999,72.043504902,positive_frontier_and_boundary,True,False,False,False,False,False,6
g562_frontier_00000448,5b2f5f55607cc39107504838c54d1dcf8748cb7bf73d41ea69df03eabed1b1ec,train,g559-synth-game-lak-32,game,256,8151,5000,20,44,0,-0.6459351904499999,61.3156338829,62.96156907335,positive_frontier_and_boundary,True,False,False,False,False,False,7
g562_frontier_00000257,316dfd1f4f275993e34f82d8c4fa497423797702e25638cad4ea37f1457f18eb,validation,random-32-32-20,random,256,8397,1000,2,62,0,-0.09103874495000008,60.42120275731,61.51224150226,positive_frontier_and_boundary,True,False,False,False,False,False,8
g562_frontier_00000023,04fa62e4e0e31ee4a57ebd9ae17d00d8aea47f0afd3f2d6ca28f5c6a2e34fe32,train,g559-synth-loop-chain-36,irregular_bottleneck,64,8166,2000,0,64,0,,59.399658897100004,59.399658897100004,unsafe_boundary,True,False,False,False,False,False,9
g562_frontier_00000414,5425bb1bfeb5749a0391773678da1b1e9d9e2fcff76e210f2ff3169034e9c90c,train,g559-synth-game-lak-32,game,256,7191,5000,2,62,0,-0.09002959254000009,54.07272934218,55.162758934719996,positive_frontier_and_boundary,True,False,False,False,False,False,10
g562_frontier_00000388,4ddbedf288ee04a755191133c5e9867609df89487dde41541d9d2384beb7cab5,validation,random-32-32-20,random,256,7533,1000,0,64,0,,52.74263261292,52.74263261292,unsafe_boundary,True,False,False,False,False,False,11
g562_frontier_00000297,3ae2824745bce690b48b3b1279fafd374ad5297dab524bc967be53be61527310,validation,random-32-32-20,random,256,8517,1000,11,53,0,-0.64538595473,50.41311665697,52.0585026117,positive_frontier_and_boundary,True,False,False,False,False,False,12
g562_frontier_00000206,2757519178522689bfee5808df279576065e549bd4e1e713105d74aa8e947375,validation,random-32-32-20,random,256,7917,1000,21,43,0,-2.1799670433200005,46.54872881357,49.72869585689,positive_frontier_and_boundary,True,False,False,False,False,False,13
g562_frontier_00000366,49b258b0b72fd865bb4f873e302bcc54ffcbb8c685853dceb239c5e7c869fee8,train,g559-synth-loop-chain-36,irregular_bottleneck,64,8118,2000,19,45,0,-3.4004898959,45.14574402936,49.546233925260005,positive_frontier_and_boundary,True,False,False,False,False,False,14
g562_frontier_00000385,4d6c80579b2ce74b746de0efbbcb2554b930c1600ef6cbcb67f326d0cb77aadf,validation,random-32-32-20,random,256,7413,1000,4,60,0,-0.7487064910600005,47.72401222955,49.47271872061,positive_frontier_and_boundary,True,False,False,False,False,False,15
g562_frontier_00000410,538e08294c677e1942a8a15b5bdadb906aa54eb0fe8c662cbe4be75517b88f34,validation,random-32-32-20,random,256,8037,1000,6,58,0,-0.7475978439200004,47.018982892,48.766580735919995,positive_frontier_and_boundary,True,False,False,False,False,False,16
g562_frontier_00000419,553aca53e83f15267f32a776600b323eff31d19f8ebe84203da96e9945fc6dce,validation,random-32-32-20,random,256,8613,1000,33,31,0,-4.22155342053,42.20048616735,47.42203958788,positive_frontier_and_boundary,True,False,False,False,False,False,17
g562_frontier_00000492,64372ea248d9a79e78239ff63becb314a67cedcbbdd088b78567b513eeee96d3,validation,random-32-32-20,random,256,7653,1000,4,60,0,-1.3100164589700003,44.658711497720006,46.96872795669,positive_frontier_and_boundary,True,False,False,False,False,False,18
g562_frontier_00000037,0754bdf9f89c734c263f6f29df516698bd88c834a1c6112be07d7502f1e97a4f,train,g559-synth-loop-chain-36,irregular_bottleneck,64,8526,2000,2,62,0,-0.34767836919000006,29.737259343119998,31.084937712309998,positive_frontier_and_boundary,True,False,False,False,False,False,19
g562_frontier_00000495,645f651fedcbdc2b409ab369cacc3d3836a9b4e2fec91675abe53d3ef9985e06,train,g559-synth-loop-chain-36,irregular_bottleneck,64,8382,2000,10,54,0,-2.2929975429999994,26.181818181769998,29.474815724769996,positive_frontier_and_boundary,True,False,False,False,False,False,20
g562_frontier_00000475,611cbc66c3d48a633c96fa4d82fc557379502585e4f74f8cefc5a29b789290c7,train,g559-synth-loop-chain-36,irregular_bottleneck,64,7206,2000,32,32,0,-1.2756906077299999,26.94088397787,29.2165745856,positive_frontier_and_boundary,True,False,False,False,False,False,21
g562_frontier_00000089,11247471386792bf4fee68fbdc2c7c67661251b0e42946619e990061a5522237,train,g559-synth-loop-chain-36,irregular_bottleneck,64,7086,2000,16,47,0,-0.7913544668600001,26.0783861671,27.86974063396,positive_frontier_and_boundary,True,False,False,False,False,False,22
g562_frontier_00000011,0317414a6c403897a7b3718349753ff42ff00ae3e0cfcd47028ac6f05a6691bd,train,g559-synth-loop-chain-36,irregular_bottleneck,64,8982,2000,30,34,0,-6.68472306756,14.553864881360001,22.23858794892,positive_frontier_and_boundary,True,False,False,False,False,False,23
g562_frontier_00000098,1353cabc4089f69f2a8ef5fbfeb42ba016c05222388a1ebaa92f0eceaf57ec23,train,g559-synth-loop-chain-36,irregular_bottleneck,64,8886,2000,1,63,0,-0.10284718186999986,19.65427077276,20.75711795463,positive_frontier_and_boundary,True,False,False,False,False,False,24
g562_frontier_00000275,3667855e9c325f90d986f7606a9a736c7f5e5ea4ecfc8d69565250ae5113e785,validation,random-32-32-20,random,256,8373,1000,16,48,0,-1.3000347262400003,11.81618242856,14.1162171548,positive_frontier_and_boundary,True,False,False,False,False,False,25
