artifact,path,exists,rows_or_file,sha256,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
decision_summary,C:\PROGRAMING\czr004\outputs\reports\phase5p5_repair5g553_decision_summary.json,True,1,02764595feded92684e93540ebba82b2608874cf545800ce10f820d7d0cc26eb,False,False,False,False,False
stage0_smoke_summary,C:\PROGRAMING\czr004\outputs\reports\phase5p5_repair5g553_stage0_smoke_summary.json,True,1,8e9cd8231ab60b84a1df1401b95e9e039d6987919aaee5672d5c304f0caae337,False,False,False,False,False
stage1_search_summary,C:\PROGRAMING\czr004\outputs\reports\phase5p5_repair5g553_stage1_search_summary.json,True,1,c29e63b0cc3474ed7bb1610dfe303f3f17f8a621a6951ec9f170c27af9211bff,False,False,False,False,False
current_staticflow_coefficients_summary,C:\PROGRAMING\czr004\outputs\reports\phase5p5_repair5g553_current_staticflow_coefficients_summary.json,True,1,23fb8d09df9ce833b922bc2bff17cabf862888a975f9431968f08b0105049b0c,False,False,False,False,False
global_staticflow_search_space_summary,C:\PROGRAMING\czr004\outputs\reports\phase5p5_repair5g553_global_staticflow_search_space_summary.json,True,1,3a48b0fc1d85b75f2bfeae745912981e45833d92b4bd76b7380f8a1c20c947de,False,False,False,False,False
fixed_coeff_validation_summary,C:\PROGRAMING\czr004\outputs\reports\phase5p5_repair5g553_fixed_coeff_validation_summary.json,True,1,12152b71a0065ac407d3601ba4d6aed2df31b0ddfc3b6c2191fef52e19c76f17,False,False,False,False,False
stage1_candidate_leaderboard,C:\PROGRAMING\czr004\outputs\tables\phase5p5_repair5g553_stage1_candidate_leaderboard.csv,True,1000,27ece0b629dce0fcc59a8dea644ba241adca412a4cc75e190ee57dc21d599cbc,False,False,False,False,False
stage1_candidate_by_stratum,C:\PROGRAMING\czr004\outputs\tables\phase5p5_repair5g553_stage1_candidate_by_stratum.csv,True,303,952d022af3a1092274ad66ed6f0a9d6d771f9d62ead494bcbab4e98eea8be753,False,False,False,False,False
current_staticflow_theta,C:\PROGRAMING\czr004\outputs\tables\phase5p5_repair5g553_current_staticflow_theta.csv,True,18,7f0b215cc22b72ecf01f9e83a6a45d65d51edab61149152ed71707f3c56cc950,False,False,False,False,False
