candidate_id,candidate_family,map_family,budget_ms,observed_rows,observed_success_regression_count,safe_high_margin_count,safe_gain_count,safe_equal_count,safe_worse_count,both_fail_count,quality_only_mean_delta,quality_only_median_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,blacklist_rule_id,rule_condition,blacklist_reason
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,random,500,24,2,0,2,20,0,0,0,0,False,False,False,False,False,g536_blacklist_0000,candidate_id=repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1;map_family=random;budget_ms=500,observed_success_regression_or_warehouse_wait_conservative_budget2000_risk
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,warehouse,2000,12,1,0,2,3,0,6,0,0,False,False,False,False,False,g536_blacklist_0001,candidate_id=repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1;map_family=warehouse;budget_ms=2000,observed_success_regression_or_warehouse_wait_conservative_budget2000_risk
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,random,500,24,3,0,2,19,0,0,0,0,False,False,False,False,False,g536_blacklist_0002,candidate_id=repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1;map_family=random;budget_ms=500,observed_success_regression_or_warehouse_wait_conservative_budget2000_risk
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,warehouse,2000,12,1,0,1,3,0,7,0,0,False,False,False,False,False,g536_blacklist_0003,candidate_id=repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1;map_family=warehouse;budget_ms=2000,observed_success_regression_or_warehouse_wait_conservative_budget2000_risk
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,random,500,24,1,0,2,21,0,0,0,0,False,False,False,False,False,g536_blacklist_0004,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0;map_family=random;budget_ms=500,observed_success_regression_or_warehouse_wait_conservative_budget2000_risk
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,warehouse,2000,12,1,0,2,3,0,6,0,0,False,False,False,False,False,g536_blacklist_0005,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0;map_family=warehouse;budget_ms=2000,observed_success_regression_or_warehouse_wait_conservative_budget2000_risk
repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,wait_aggressive,random,500,24,1,0,2,21,0,0,0,0,False,False,False,False,False,g536_blacklist_0006,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0;map_family=random;budget_ms=500,observed_success_regression_or_warehouse_wait_conservative_budget2000_risk
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,flow_decay,random,500,24,1,0,2,21,0,0,0,0,False,False,False,False,False,g536_blacklist_0007,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0;map_family=random;budget_ms=500,observed_success_regression_or_warehouse_wait_conservative_budget2000_risk
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,other_flow,random,500,24,1,0,2,21,0,0,0,0,False,False,False,False,False,g536_blacklist_0008,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0;map_family=random;budget_ms=500,observed_success_regression_or_warehouse_wait_conservative_budget2000_risk
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,other_flow,warehouse,2000,12,1,0,1,3,0,7,0,0,False,False,False,False,False,g536_blacklist_0009,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0;map_family=warehouse;budget_ms=2000,observed_success_regression_or_warehouse_wait_conservative_budget2000_risk
