abstain_to_static,agents,budget_sensitive,contexts,map,map_agent,no_solution_abstain,stable_high_confidence_nonstatic,stable_static,training_eligible_contexts
0,100,0,5,maze-32-32-4,maze-32-32-4|a100,0,3,2,5
0,50,0,5,maze-32-32-4,maze-32-32-4|a50,0,3,2,5
0,100,0,5,random-32-32-20,random-32-32-20|a100,0,0,5,5
0,50,0,5,random-32-32-20,random-32-32-20|a50,0,5,0,5
0,100,0,5,warehouse-10-20-10-2-1,warehouse-10-20-10-2-1|a100,5,0,0,0
0,50,5,5,warehouse-10-20-10-2-1,warehouse-10-20-10-2-1|a50,0,0,0,0
