field_path,sampled_row_count,classification,runtime_pre_choice_safe,audit_only_post_update,target_outcome,insufficient_or_ambiguous,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
aaai_ready,40,insufficient_or_ambiguous,False,False,False,True,False,False,False,False,False
agents,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
applied_updateparams_fingerprint,40,insufficient_or_ambiguous,False,False,False,True,False,False,False,False,False
applied_updateparams_hash,40,insufficient_or_ambiguous,False,False,False,True,False,False,False,False,False
best_ratio_after,40,target_outcome,False,False,True,False,False,False,False,False,False
best_ratio_before,40,insufficient_or_ambiguous,False,False,False,True,False,False,False,False,False
blocked_events,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
committed_nonprogress_events,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
committed_progress_events,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
congestion_delta_total,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
congestion_update_count,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
cost_audit_all_finite,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
cost_audit_bounds_respected,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
cost_audit_max_cost,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
cost_audit_min_cost,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
expanded_nodes_this_iteration,40,target_outcome,False,False,True,False,False,False,False,False,False
feature_names,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
feature_names[],40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
feature_values,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
feature_values[],40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
flow_delta_total,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
flow_update_count,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
forbidden_feature_audit_passed,40,insufficient_or_ambiguous,False,False,False,True,False,False,False,False,False
has_incumbent_before,40,insufficient_or_ambiguous,False,False,False,True,False,False,False,False,False
high_level_expansions_this_iteration,40,insufficient_or_ambiguous,False,False,False,True,False,False,False,False,False
iteration,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
low_level_pibt_calls_this_iteration,40,target_outcome,False,False,True,False,False,False,False,False,False
map,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
method,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
node_budget,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
phase5p5_allowed,40,insufficient_or_ambiguous,False,False,False,True,False,False,False,False,False
phase6_allowed,40,insufficient_or_ambiguous,False,False,False,True,False,False,False,False,False
replayed_traffic_after_hash_full,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
replayed_traffic_after_hash_match,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
replayed_update_stats_match,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
returned_solutions_count_so_far,40,target_outcome,False,False,True,False,False,False,False,False,False
scen,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
schema_version,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
seed,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
selected_candidate_id,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
selected_candidate_params_hash,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
selected_candidate_resolved_method,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
solution_found_this_iteration,40,target_outcome,False,False,True,False,False,False,False,False,False
sum_of_loss_ratio_this_iteration,40,target_outcome,False,False,True,False,False,False,False,False,False
time_remaining_sec,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
trace_event_count,40,insufficient_or_ambiguous,False,False,False,True,False,False,False,False,False
trace_events,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
trace_events[],40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
trace_events[].agent_id,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
trace_events[].at_goal,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
trace_events[].from_id,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
trace_events[].kind,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
trace_events[].to_id,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
traffic_after_edges,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
traffic_after_edges[],40,audit_only_post_update,False,True,False,False,False,False,False,False,False
traffic_after_edges[].c_raw,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
traffic_after_edges[].c_weight,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
traffic_after_edges[].f_raw,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
traffic_after_edges[].f_weight,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
traffic_after_edges[].from_id,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
traffic_after_edges[].to_id,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
traffic_after_full_sparse_edges,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
traffic_after_full_sparse_edges[],40,audit_only_post_update,False,True,False,False,False,False,False,False,False
traffic_after_hash,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
traffic_after_hash_full,40,audit_only_post_update,False,True,False,False,False,False,False,False,False
traffic_before_edges,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
