budget_ms,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
1000,1792,0,0,608,1184,-0.000694879765997,0,-0.000694879765997,-0.000694879765997,-0.000459116988248,111,984,89,111,27,False,False,False,False,False
2000,1888,31,31,321,1505,0.00170205299773,0,0.00170205299773,0.00170205299773,0.00135677423813,300,873,332,331,64,False,False,False,False,False
500,1760,29,61,899,771,0,0,0,0,-0.00454545454545,0,771,0,61,0,False,False,False,False,False
