feature,source,available_in_project_owned_exporter,available_in_existing_g542_light_logs,requires_external_lacam2_change,decision,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
TraceEvent.kind,project_owned_cpp_exporter,True,False,False,supported_by_full_checkpoint_export,False,False,False,False,False
TraceEvent.at_goal,project_owned_cpp_exporter,True,False,False,supported_by_full_checkpoint_export,False,False,False,False,False
TraceRankAudit.blocked_reason_category,project_owned_cpp_exporter,True,False,False,supported_by_full_checkpoint_export,False,False,False,False,False
TraceRankAudit.competing_neighbor_count,project_owned_cpp_exporter,True,False,False,supported_by_full_checkpoint_export,False,False,False,False,False
TraceRankAudit.committed_neighbor_rank_by_base_distance,project_owned_cpp_exporter,True,False,False,supported_by_full_checkpoint_export,False,False,False,False,False
TraceRankAudit.blocked_neighbor_rank_by_base_distance,project_owned_cpp_exporter,True,False,False,supported_by_full_checkpoint_export,False,False,False,False,False
TraceRankAudit.wait_neighbor_rank_by_base_distance,project_owned_cpp_exporter,True,False,False,supported_by_full_checkpoint_export,False,False,False,False,False
TraceRankAudit.goal_progress_neighbor_rank,project_owned_cpp_exporter,True,False,False,supported_by_full_checkpoint_export,False,False,False,False,False
TraceRankAudit.rank_margin_*,project_owned_cpp_exporter,True,False,False,supported_by_full_checkpoint_export,False,False,False,False,False
PibtFailureAudit,project_owned_cpp_exporter,True,False,False,supported_by_full_checkpoint_export,False,False,False,False,False
DualChannelUpdateStats,project_owned_cpp_exporter,True,True,False,supported_by_full_checkpoint_export,False,False,False,False,False
DirectedTrafficMap snapshot fields,project_owned_cpp_exporter,True,False,False,supported_by_full_checkpoint_export,False,False,False,False,False
map/agents/budget/family/seed,project_owned_cpp_exporter,True,True,False,supported_by_full_checkpoint_export,False,False,False,False,False
