registry_row_id,candidate_id,registry_label,changed_field_for_smoke_pair,materialization_family,bounded_updateparams,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g547_registry_000001,repair5g547_theta_000001,static_flow_reference_fulltheta,all_fields_reference,repair5g547_fulltheta_registry,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g547_registry_000002,repair5g547_theta_000002,lambda_flow_low,theta_lambda_flow,repair5g547_fulltheta_registry,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g547_registry_000003,repair5g547_theta_000003,lambda_flow_high,theta_lambda_flow,repair5g547_fulltheta_registry,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1.4,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g547_registry_000004,repair5g547_theta_000004,lambda_cong_low,theta_lambda_cong,repair5g547_fulltheta_registry,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.6,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g547_registry_000005,repair5g547_theta_000005,lambda_cong_high,theta_lambda_cong,repair5g547_fulltheta_registry,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.4,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g547_registry_000006,repair5g547_theta_000006,alpha_flow_wait_progress_low,theta_alpha_flow_wait_progress,repair5g547_fulltheta_registry,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g547_registry_000007,repair5g547_theta_000007,alpha_flow_wait_progress_high,theta_alpha_flow_wait_progress,repair5g547_fulltheta_registry,True,1.25,1.25,1.25,0.75,0.75,1,1.2,0.95,1,1,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g547_registry_000008,repair5g547_theta_000008,min_edge_cost_low,theta_min_edge_cost,repair5g547_fulltheta_registry,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.25,11,1,0,0,False,False,False,False,False
g547_registry_000009,repair5g547_theta_000009,min_edge_cost_high,theta_min_edge_cost,repair5g547_fulltheta_registry,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g547_registry_000010,repair5g547_theta_000010,max_edge_cost_low,theta_max_edge_cost,repair5g547_fulltheta_registry,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,8,1,0,0,False,False,False,False,False
g547_registry_000011,repair5g547_theta_000011,max_edge_cost_high,theta_max_edge_cost,repair5g547_fulltheta_registry,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,12,1,0,0,False,False,False,False,False
g547_registry_000012,repair5g547_theta_000012,goal_projection_flow_shield,goal_projection_mode,repair5g547_fulltheta_registry,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g547_registry_000013,repair5g547_theta_000013,goal_projection_agent_progress,goal_projection_mode,repair5g547_fulltheta_registry,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,0,1,0,False,False,False,False,False
g547_registry_000014,repair5g547_theta_000014,goal_projection_none,goal_projection_mode,repair5g547_fulltheta_registry,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,0,0,1,False,False,False,False,False
g547_registry_000015,repair5g547_theta_000015,alpha_cong_commit_nonprogress_low,theta_alpha_cong_commit_nonprogress,repair5g547_fulltheta_registry,True,1.25,0.5,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g547_registry_000016,repair5g547_theta_000016,alpha_cong_commit_nonprogress_high,theta_alpha_cong_commit_nonprogress,repair5g547_fulltheta_registry,True,1.25,1.75,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g547_registry_000017,repair5g547_theta_000017,flow_shield_beta_high,theta_flow_shield_beta,repair5g547_fulltheta_registry,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.75,0.75,1,11,1,0,0,False,False,False,False,False
g547_registry_000018,repair5g547_theta_000018,max_flow_shield_high,theta_max_flow_shield,repair5g547_fulltheta_registry,True,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,1.25,1,11,1,0,0,False,False,False,False,False
