map,agents,seed,scen,method,classification,success,ltm_success,success_regression,sum_of_loss_ratio,ltm_sum_of_loss_ratio,delta_ratio_vs_ltm,expanded_delta_vs_ltm,low_level_pibt_delta_vs_ltm,ttfs_delta_vs_ltm
maze-32-32-4,100,43,maze-32-32-4-random-43.scen,repair5f_static_c100_b100_w075_d090,worse,True,True,False,1.28834661355,1.27938247012,0.008964143429999849,2.0,200.0,2.0
maze-32-32-4,100,27,maze-32-32-4-random-27.scen,repair5f_static_c100_b100_w075_d090,worse,True,True,False,1.33829951194,1.32956588749,0.008733624450000033,179.0,74774.0,1.0
random-32-32-20,100,45,random-32-32-20-random-45.scen,repair5f_static_c100_b100_w075_d090,worse,True,True,False,1.21870701513,1.20999541495,0.008711600179999834,6.0,601.0,3.0
maze-32-32-4,50,41,maze-32-32-4-random-41.scen,repair5f_static_c100_b100_w075_d090,worse,True,True,False,1.17074340528,1.16258992806,0.008153477220000038,-4.0,-200.0,-2.0
random-32-32-20,50,36,random-32-32-20-random-36.scen,repair5f_static_c100_b100_w075_d090,worse,True,True,False,1.15930735931,1.15151515152,0.007792207790000116,-4.0,-249.0,-1.0
maze-32-32-4,50,43,maze-32-32-4-random-43.scen,repair5f_static_c100_b100_w075_d090,worse,True,True,False,1.17400881057,1.16685022026,0.00715859030999999,2.0,100.0,-2.0
maze-32-32-4,100,41,maze-32-32-4-random-41.scen,repair5f_static_c100_b100_w075_d090,worse,True,True,False,1.2794565472,1.273131881,0.006324666199999829,17.0,2491.0,-5.0
random-32-32-20,100,41,random-32-32-20-random-41.scen,repair5f_static_c100_b100_w075_d090,worse,True,True,False,1.30453944469,1.29969149405,0.004847950640000098,14.0,2378.0,-3.0
random-32-32-20,100,42,random-32-32-20-random-42.scen,repair5f_static_c100_b100_w075_d090,worse,True,True,False,1.22587719298,1.22192982456,0.003947368419999986,-3.0,-301.0,10.0
maze-32-32-4,50,42,maze-32-32-4-random-42.scen,repair5f_static_c100_b100_w075_d090,worse,True,True,False,1.13082352941,1.12705882353,0.0037647058799998856,-9.0,-450.0,6.0
random-32-32-20,100,30,random-32-32-20-random-30.scen,repair5f_static_c100_b100_w075_d090,worse,True,True,False,1.23263888889,1.22916666667,0.0034722222199998765,11.0,1890.0,-6.0
random-32-32-20,100,38,random-32-32-20-random-38.scen,repair5f_static_c100_b100_w075_d090,worse,True,True,False,0.735225806452,0.732129032258,0.003096774194000007,-10.0,-2776.0,10.0
maze-32-32-4,100,34,maze-32-32-4-random-34.scen,repair5f_static_c100_b100_w075_d090,worse,True,True,False,1.34920198129,1.34837644469,0.0008255366000000652,-3.0,-300.0,-2.0
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.1244870041,1.1244870041,0.0,0.0,0.0,-1.0
maze-32-32-4,50,28,maze-32-32-4-random-28.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.20773930754,1.20773930754,0.0,33.0,1653.0,-2.0
maze-32-32-4,50,32,maze-32-32-4-random-32.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.19058823529,1.19058823529,0.0,-23.0,-1150.0,-1.0
maze-32-32-4,50,34,maze-32-32-4-random-34.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.21993291806,1.21993291806,0.0,-3.0,-150.0,4.0
maze-32-32-4,50,39,maze-32-32-4-random-39.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.1679389313,1.1679389313,0.0,-3.0,-150.0,5.0
maze-32-32-4,50,45,maze-32-32-4-random-45.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,0.85776330076,0.85776330076,0.0,-1.0,-50.0,-3.0
random-32-32-20,50,26,random-32-32-20-random-26.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.10743061773,1.10743061773,0.0,-33.0,-2719.0,-7.0
random-32-32-20,50,27,random-32-32-20-random-27.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.13200379867,1.13200379867,0.0,0.0,0.0,4.0
random-32-32-20,50,28,random-32-32-20-random-28.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.12136325852,1.12136325852,0.0,-4.0,-200.0,4.0
random-32-32-20,50,29,random-32-32-20-random-29.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.16873889876,1.16873889876,0.0,-21.0,-2957.0,-1.0
random-32-32-20,50,30,random-32-32-20-random-30.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.13783269962,1.13783269962,0.0,-4.0,-200.0,2.0
random-32-32-20,50,31,random-32-32-20-random-31.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.09322033898,1.09322033898,0.0,-20.0,-1000.0,1.0
random-32-32-20,50,32,random-32-32-20-random-32.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.1320754717,1.1320754717,0.0,24.0,2164.0,4.0
random-32-32-20,50,34,random-32-32-20-random-34.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.07410795974,1.07410795974,0.0,4.0,200.0,0.0
random-32-32-20,50,35,random-32-32-20-random-35.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.1432748538,1.1432748538,0.0,-16.0,-819.0,1.0
random-32-32-20,50,37,random-32-32-20-random-37.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.13076923077,1.13076923077,0.0,-4.0,-201.0,-1.0
random-32-32-20,50,38,random-32-32-20-random-38.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,0.477297493643,0.477297493643,0.0,4.0,200.0,0.0
random-32-32-20,50,39,random-32-32-20-random-39.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.12626728111,1.12626728111,0.0,0.0,44.0,-2.0
random-32-32-20,50,40,random-32-32-20-random-40.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.16459074733,1.16459074733,0.0,-1.0,-50.0,2.0
random-32-32-20,50,41,random-32-32-20-random-41.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.0985267035,1.0985267035,0.0,4.0,200.0,-7.0
random-32-32-20,50,42,random-32-32-20-random-42.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.10410958904,1.10410958904,0.0,0.0,0.0,0.0
random-32-32-20,50,43,random-32-32-20-random-43.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.14634146341,1.14634146341,0.0,4.0,285.0,1.0
random-32-32-20,50,44,random-32-32-20-random-44.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.09055501461,1.09055501461,0.0,0.0,0.0,-2.0
random-32-32-20,50,45,random-32-32-20-random-45.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.1123388582,1.1123388582,0.0,-19.0,-991.0,0.0
random-32-32-20,100,26,random-32-32-20-random-26.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.25625274243,1.25625274243,0.0,-12.0,-1196.0,-2.0
random-32-32-20,100,27,random-32-32-20-random-27.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.30574162679,1.30574162679,0.0,-20.0,-2972.0,-5.0
random-32-32-20,100,32,random-32-32-20-random-32.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.23971149767,1.23971149767,0.0,-8.0,1769.0,4.0
random-32-32-20,100,33,random-32-32-20-random-33.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.26107127794,1.26107127794,0.0,0.0,-295.0,-11.0
warehouse-10-20-10-2-1,50,26,warehouse-10-20-10-2-1-random-26.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.09608884597,1.09608884597,0.0,0.0,0.0,42.0
warehouse-10-20-10-2-1,50,27,warehouse-10-20-10-2-1-random-27.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.12468549063,1.12468549063,0.0,0.0,0.0,-102.0
warehouse-10-20-10-2-1,50,28,warehouse-10-20-10-2-1-random-28.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.08400520156,1.08400520156,0.0,0.0,0.0,-60.0
warehouse-10-20-10-2-1,50,29,warehouse-10-20-10-2-1-random-29.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.06450734894,1.06450734894,0.0,0.0,0.0,7.0
warehouse-10-20-10-2-1,50,30,warehouse-10-20-10-2-1-random-30.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.14586894587,1.14586894587,0.0,0.0,0.0,5.0
warehouse-10-20-10-2-1,50,31,warehouse-10-20-10-2-1-random-31.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.1182328907,1.1182328907,0.0,0.0,0.0,-67.0
warehouse-10-20-10-2-1,50,32,warehouse-10-20-10-2-1-random-32.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.04164550533,1.04164550533,0.0,0.0,0.0,-57.0
warehouse-10-20-10-2-1,50,33,warehouse-10-20-10-2-1-random-33.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.11153071501,1.11153071501,0.0,0.0,0.0,33.0
warehouse-10-20-10-2-1,50,34,warehouse-10-20-10-2-1-random-34.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.0811965812,1.0811965812,0.0,0.0,0.0,-40.0
warehouse-10-20-10-2-1,50,35,warehouse-10-20-10-2-1-random-35.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.08857979502,1.08857979502,0.0,25.0,4793.0,-58.0
warehouse-10-20-10-2-1,50,36,warehouse-10-20-10-2-1-random-36.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.09292035398,1.09292035398,0.0,0.0,0.0,-31.0
warehouse-10-20-10-2-1,50,37,warehouse-10-20-10-2-1-random-37.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.04813578186,1.04813578186,0.0,0.0,0.0,36.0
warehouse-10-20-10-2-1,50,38,warehouse-10-20-10-2-1-random-38.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.08183678109,1.08183678109,0.0,0.0,0.0,-94.0
warehouse-10-20-10-2-1,50,39,warehouse-10-20-10-2-1-random-39.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.08527472527,1.08527472527,0.0,0.0,0.0,14.0
warehouse-10-20-10-2-1,50,40,warehouse-10-20-10-2-1-random-40.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.07090997096,1.07090997096,0.0,0.0,0.0,29.0
warehouse-10-20-10-2-1,50,41,warehouse-10-20-10-2-1-random-41.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.08731756417,1.08731756417,0.0,0.0,0.0,25.0
warehouse-10-20-10-2-1,50,42,warehouse-10-20-10-2-1-random-42.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.05641821946,1.05641821946,0.0,0.0,0.0,48.0
warehouse-10-20-10-2-1,50,43,warehouse-10-20-10-2-1-random-43.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.09701492537,1.09701492537,0.0,0.0,0.0,-5.0
warehouse-10-20-10-2-1,50,44,warehouse-10-20-10-2-1-random-44.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.09078498294,1.09078498294,0.0,0.0,0.0,-4.0
warehouse-10-20-10-2-1,50,45,warehouse-10-20-10-2-1-random-45.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.08197582764,1.08197582764,0.0,0.0,0.0,16.0
warehouse-10-20-10-2-1,100,26,warehouse-10-20-10-2-1-random-26.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.15067576609,1.15067576609,0.0,0.0,0.0,28.0
warehouse-10-20-10-2-1,100,27,warehouse-10-20-10-2-1-random-27.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.19629270992,1.19629270992,0.0,0.0,0.0,64.0
warehouse-10-20-10-2-1,100,28,warehouse-10-20-10-2-1-random-28.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.17033414833,1.17033414833,0.0,0.0,0.0,109.0
warehouse-10-20-10-2-1,100,29,warehouse-10-20-10-2-1-random-29.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.16962094355,1.16962094355,0.0,0.0,0.0,75.0
