candidate_id,candidate_family,candidate_context_rows,safe_materialized_rows,success_regression_count_vs_g556_c063174,success_gain_count_vs_g556_c063174,both_success_quality_pairs_vs_g556_c063174,quality_delta_mean_vs_g556_c063174,bootstrap_ci_upper,better_count_vs_g556_c063174,worse_count_vs_g556_c063174,support_topologies,support_contexts,candidate_recognized_all,fingerprint_match_all,cost_finite_all,theta_in_bounds_all,safe_label_candidate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g557_gcst_00433,,12000,11960,40,130,6126,0.00315010128365,0.0054144880152,2360,2501,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00232,,12000,11960,40,125,6126,0.00521799165162,0.0111056981954,1813,2738,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00354,,12000,11960,40,129,6126,0.00530366956935,0.00723783032686,1553,3360,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00089,,12000,11960,40,232,6126,0.00976450838848,0.0118419122417,2218,3154,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00067,,12000,11959,41,116,6125,-0.0031625008679,-0.00132433323635,2125,2099,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00221,,12000,11959,41,118,6125,-0.00148047553125,0.000274623376723,1132,1100,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00421,,12000,11959,41,122,6125,-0.00105124803131,0.000813053859354,1432,1454,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00037,,12000,11959,41,120,6125,-0.000676513309579,0.00117523354203,1998,1908,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00496,,12000,11959,41,137,6125,-0.000144856179396,0.00173441771901,2230,2050,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00180,,12000,11959,41,124,6125,-0.00010452721863,0.00204550224633,2513,1978,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00444,,12000,11959,41,124,6125,0.00074301219448,0.00270188702705,2130,2362,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00102,,12000,11959,41,117,6125,0.00122120342882,0.00314921046042,2600,2173,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00448,,12000,11959,41,125,6125,0.00144353690786,0.00345937306166,2681,2172,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00090,,12000,11959,41,117,6125,0.00363784283171,0.0057411994031,1855,2731,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00318,,12000,11959,41,115,6125,0.00431100538725,0.00666670843267,1728,3019,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00224,,12000,11959,41,123,6125,0.00484006550849,0.00724279835057,1688,2929,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00244,,12000,11959,41,129,6125,0.012509631282,0.0146479853355,2364,2832,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00042,,12000,11959,41,112,6125,0.0193973627882,0.0217721040135,2154,3103,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00087,,12000,11958,42,124,6124,-0.00455143566927,-0.00265604848812,2090,2299,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00220,,12000,11958,42,125,6124,-0.00104756635073,0.000922500729742,2238,2317,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00261,,12000,11958,42,122,6124,-0.00103300390186,0.000631702445135,1030,931,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00418,,12000,11958,42,122,6124,-0.000834257623312,0.00117746450766,2246,2118,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00477,,12000,11958,42,125,6124,-0.000437419433197,0.00136910710728,2122,1922,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00428,,12000,11958,42,121,6124,-8.4903914177e-05,0.00178692981524,2310,2263,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00335,,12000,11958,42,125,6124,-4.75126948792e-05,0.00184923249055,2520,2086,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00442,,12000,11958,42,120,6124,-2.58326077237e-05,0.00174892760227,2466,2097,33,12000,True,True,True,True,False,False,False,False,False,False
