target_rule,predicted_rule,selected_decision,count
None,additive_ltm,defer_ltm,10
None,decay_095,use_nonadditive,12
None,wait_light,use_nonadditive,1
block_heavy,additive_ltm,defer_ltm,104
block_heavy,block_heavy,use_nonadditive,10
block_heavy,commit_heavy,use_nonadditive,31
block_heavy,decay_090,use_nonadditive,3
block_heavy,decay_095,use_nonadditive,3
block_heavy,wait_light,use_nonadditive,20
block_light,additive_ltm,defer_ltm,44
block_light,block_light,use_nonadditive,1
block_light,commit_heavy,use_nonadditive,3
block_light,decay_090,use_nonadditive,3
block_light,decay_095,use_nonadditive,2
block_light,wait_light,use_nonadditive,12
commit_heavy,additive_ltm,defer_ltm,66
commit_heavy,block_heavy,use_nonadditive,8
commit_heavy,commit_heavy,use_nonadditive,69
commit_heavy,decay_090,use_nonadditive,1
commit_heavy,decay_095,use_nonadditive,6
commit_heavy,wait_light,use_nonadditive,17
decay_090,additive_ltm,defer_ltm,25
decay_090,commit_heavy,use_nonadditive,11
decay_090,wait_light,use_nonadditive,9
decay_095,additive_ltm,defer_ltm,34
decay_095,commit_heavy,use_nonadditive,12
decay_095,decay_090,use_nonadditive,2
decay_095,decay_095,use_nonadditive,1
decay_095,wait_light,use_nonadditive,20
wait_heavy,additive_ltm,defer_ltm,57
wait_heavy,block_heavy,use_nonadditive,7
wait_heavy,commit_heavy,use_nonadditive,24
wait_heavy,decay_090,use_nonadditive,1
wait_heavy,decay_095,use_nonadditive,1
wait_heavy,wait_light,use_nonadditive,14
wait_light,additive_ltm,defer_ltm,63
wait_light,block_heavy,use_nonadditive,14
wait_light,block_light,use_nonadditive,1
wait_light,commit_heavy,use_nonadditive,13
wait_light,decay_090,use_nonadditive,4
wait_light,decay_095,use_nonadditive,2
wait_light,wait_light,use_nonadditive,21
