row_type,eval_scope,policy,contexts,mean_solution_quality_delta_vs_static,solution_quality_harmful_rate,candidate_induced_no_solution_count,budget_sensitive_candidate_failure_count,avoidable_risk_rate,total_risk_rate,new_candidate_selection_count,new_candidate_helpful_selection_count,new_candidate_induced_no_solution_count,new_candidate_opportunity_contexts,new_candidate_opportunity_capture_count,new_candidate_opportunity_capture_rate,solution_quality_utility,avoidable_risk_adjusted_utility,total_risk_adjusted_utility,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,avoidable_risk_adjusted_utility_lambda_0p05,total_risk_adjusted_utility_lambda_0p05,avoidable_risk_adjusted_utility_lambda_0p10,total_risk_adjusted_utility_lambda_0p10,avoidable_risk_adjusted_utility_lambda_0p20,total_risk_adjusted_utility_lambda_0p20,group_type,group_key
group_summary,group_map_agent_group,candidate_induced_failure_guard_selector,6,-0.005610098176666667,0.0,0,0,0.0,0.0,1,0,0,6,0,0.0,-0.005610098176666667,-0.005610098176666667,-0.005610098176666667,False,False,False,False,False,-0.005610098176666667,-0.005610098176666667,-0.005610098176666667,-0.005610098176666667,-0.005610098176666667,-0.005610098176666667,map_agent_group,maze-32-32-4|a100
group_summary,group_map_agent_group,candidate_induced_failure_guard_selector,5,0.0,0.0,0,0,0.0,0.0,0,0,0,6,0,0.0,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,map_agent_group,random-32-32-20|a50
group_summary,group_map_agent_group,candidate_induced_failure_guard_selector,1,inf,0.0,0,0,0.0,1.0,0,0,0,6,0,0.0,inf,inf,inf,False,False,False,False,False,inf,inf,inf,inf,inf,inf,map_agent_group,warehouse-10-20-10-2-1|a50
group_summary,group_map_agent_group,candidate_induced_failure_guard_selector,4,0.0,0.0,0,0,0.0,0.0,0,0,0,6,0,0.0,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,map_agent_group,random-32-32-20|a100
group_summary,group_map_agent_group,candidate_induced_failure_guard_selector,5,0.0016,0.2,0,0,0.2,0.2,1,0,0,6,0,0.0,0.0016,0.021600000000000005,0.021600000000000005,False,False,False,False,False,0.011600000000000003,0.011600000000000003,0.021600000000000005,0.021600000000000005,0.041600000000000005,0.041600000000000005,map_agent_group,maze-32-32-4|a50
group_summary,group_map_family,candidate_induced_failure_guard_selector,11,-0.002332780823636364,0.09090909090909091,0,0,0.09090909090909091,0.09090909090909091,2,0,0,6,0,0.0,-0.002332780823636364,0.006758128267272729,0.006758128267272729,False,False,False,False,False,0.002212673721818182,0.002212673721818182,0.006758128267272729,0.006758128267272729,0.01584903735818182,0.01584903735818182,map_family,maze
group_summary,group_map_family,candidate_induced_failure_guard_selector,9,0.0,0.0,0,0,0.0,0.0,0,0,0,6,0,0.0,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,map_family,random
group_summary,group_map_family,candidate_induced_failure_guard_selector,1,inf,0.0,0,0,0.0,1.0,0,0,0,6,0,0.0,inf,inf,inf,False,False,False,False,False,inf,inf,inf,inf,inf,inf,map_family,warehouse
group_summary,group_candidate_family,candidate_induced_failure_guard_selector,19,0.0,0.0,0,0,0.0,0.05263157894736842,0,0,0,6,0,0.0,0.0,0.0,0.005263157894736842,False,False,False,False,False,0.0,0.002631578947368421,0.0,0.005263157894736842,0.0,0.010526315789473684,candidate_family,static
group_summary,group_candidate_family,candidate_induced_failure_guard_selector,2,-0.012830294530000001,0.5,0,0,0.5,0.5,2,0,0,6,0,0.0,-0.012830294530000001,0.03716970547,0.03716970547,False,False,False,False,False,0.01216970547,0.01216970547,0.03716970547,0.03716970547,0.08716970547,0.08716970547,candidate_family,block_heavy
group_summary,group_map_agent_group,conformal_abstention_selector,6,0.0,0.0,0,0,0.0,0.0,0,0,0,6,0,0.0,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,map_agent_group,maze-32-32-4|a100
group_summary,group_map_agent_group,conformal_abstention_selector,5,0.0,0.0,0,0,0.0,0.0,0,0,0,6,0,0.0,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,map_agent_group,random-32-32-20|a50
group_summary,group_map_agent_group,conformal_abstention_selector,1,inf,0.0,0,0,0.0,1.0,0,0,0,6,0,0.0,inf,inf,inf,False,False,False,False,False,inf,inf,inf,inf,inf,inf,map_agent_group,warehouse-10-20-10-2-1|a50
group_summary,group_map_agent_group,conformal_abstention_selector,4,0.0,0.0,0,0,0.0,0.0,0,0,0,6,0,0.0,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,map_agent_group,random-32-32-20|a100
group_summary,group_map_agent_group,conformal_abstention_selector,5,0.0,0.0,0,0,0.0,0.0,0,0,0,6,0,0.0,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,map_agent_group,maze-32-32-4|a50
group_summary,group_map_family,conformal_abstention_selector,11,0.0,0.0,0,0,0.0,0.0,0,0,0,6,0,0.0,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,map_family,maze
group_summary,group_map_family,conformal_abstention_selector,9,0.0,0.0,0,0,0.0,0.0,0,0,0,6,0,0.0,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,map_family,random
group_summary,group_map_family,conformal_abstention_selector,1,inf,0.0,0,0,0.0,1.0,0,0,0,6,0,0.0,inf,inf,inf,False,False,False,False,False,inf,inf,inf,inf,inf,inf,map_family,warehouse
