dataset_row_id,g560_evaluation_uid,g560_instance_uid,split,map,map_family,agent_count,seed,budget_ms,horizon_id,scenario_path,scenario_sha256_actual,scenario_sha256_expected,scenario_hash_match,physical_map_sha256_actual,physical_map_sha256_expected,physical_map_hash_match,node_count,directed_edge_count,node_feature_dim,edge_feature_dim,paired_od_tokens,actual_scenario_pairs_used,analytic_theta_target_used,real_solver_label_rows,safe_count,safe_improving_count,harmful_count,censored_count,best_positive_quality_delta_vs_g556,target_theta_defined_from_real_positive_safe_set,fallback_to_hard_g556_target,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g562_real_graph_000000,006e10cb3e2711f7b020ab3cb4c9e80104fa58ff8562a895050690ef14da0c81,89ca8a418e6e740c3f3a40979e38832755b3e30177f3d4ca4821c74d10892860,train,empty-8-8,empty,16,8512,500,g559_b500_i2,/root/shared-nvme/czr004_g562_real_label_graph_actor/outputs/external/phase5p5_repair5g562_g559_remote_contexts/scenarios/empty-8-8-random-8512.scen,e4e516a3579dd921364a58c55d2ddea450eeb207d4839a5baf10de20d42aef3e,e4e516a3579dd921364a58c55d2ddea450eeb207d4839a5baf10de20d42aef3e,True,8f1b5495421b4c544ca84a45b0a41cf17e44c1a5aa9241c784bfe8478dbe79b5,8f1b5495421b4c544ca84a45b0a41cf17e44c1a5aa9241c784bfe8478dbe79b5,True,64,224,9,9,16,True,False,65,65,30,33,0,-0.27536231884000006,True,False,False,False,False,False,False
g562_real_graph_000001,0074cbd50711c88a39edfea809c3ba5e47aca9215be66b6fdd5c60033f48f43f,e18a5d07f45e4b543368a2d9eec432055b710cd8f040b0cafa7ad2248dd3b89d,train,room-40-32-8,room,96,8497,1000,g559_b1000_i2,/root/shared-nvme/czr004_g562_real_label_graph_actor/outputs/external/phase5p5_repair5g562_g559_remote_contexts/scenarios/room-40-32-8-random-8497.scen,8903548ef5756674473b8a4701370d85a5219611e8749c266bfe92719cfed761,8903548ef5756674473b8a4701370d85a5219611e8749c266bfe92719cfed761,True,81fd9752b406bc567b72d22846c6720c24ee9d5a4c186f373f8729fcf70493aa,81fd9752b406bc567b72d22846c6720c24ee9d5a4c186f373f8729fcf70493aa,True,1213,4572,9,9,96,True,False,65,65,43,21,0,-0.05072046109000006,True,False,False,False,False,False,False
g562_real_graph_000002,0083e63509b964e0ca5fef571381b79520aa7e708d4ad52771372d98375bdb64,b29cb5508b79b79cc653e0da90ca6367ca157807ddf3acfb94858c52b56e9698,train,g559-synth-game-brc-32,game,32,7379,5000,g559_b5000_i3,/root/shared-nvme/czr004_g562_real_label_graph_actor/outputs/external/phase5p5_repair5g562_g559_remote_contexts/scenarios/g559-synth-game-brc-32-random-7379.scen,d64017c983b286b9cd1887f7cfa08904c49a53bc0b8f2ef2ebe5933f7f3946c1,d64017c983b286b9cd1887f7cfa08904c49a53bc0b8f2ef2ebe5933f7f3946c1,True,302e62361819ff53cd7fb6fa94a70715501e8cd760db0c448d754511df4102e1,302e62361819ff53cd7fb6fa94a70715501e8cd760db0c448d754511df4102e1,True,794,2378,9,9,32,True,False,65,65,38,26,0,-0.15163147792999987,True,False,False,False,False,False,False
g562_real_graph_000003,0099df2b84a1af7fb5a790ff7a656cf0e82bec7237ecd3de1b25d536341e5031,38e1b40ee04cfed380e677f2655fc7e01a787931d1dc3a15dcfdd3c6b4e8df5a,train,g559-synth-loop-chain-36,irregular_bottleneck,64,7614,2000,g559_b2000_i4,/root/shared-nvme/czr004_g562_real_label_graph_actor/outputs/external/phase5p5_repair5g562_g559_remote_contexts/scenarios/g559-synth-loop-chain-36-random-7614.scen,16420da50c065abee509805e472bb02b82cea58affed0fbbdc094eda3bf191a7,16420da50c065abee509805e472bb02b82cea58affed0fbbdc094eda3bf191a7,True,705cdf48a35a0295bf5a8e5af285b169482d88764daa4b987519558109fa0dc3,705cdf48a35a0295bf5a8e5af285b169482d88764daa4b987519558109fa0dc3,True,371,1236,9,9,64,True,False,65,65,1,63,0,-0.010843373489999975,True,False,False,False,False,False,False
g562_real_graph_000004,00b3f456f77df0e1a35ae679fc5ee3616299ac4996db13f9b1b0e5bddd57b292,9c3a1d4f960a321682172e15050378cba07762efbdfa26b76d143ed7a01b68bf,train,random-8-8-20,random,32,7987,5000,g559_b5000_i2,/root/shared-nvme/czr004_g562_real_label_graph_actor/outputs/external/phase5p5_repair5g562_g559_remote_contexts/scenarios/random-8-8-20-random-7987.scen,aaae4553c14a9ad1d90b7eb3273e47edf7f8004d9422d7a36f88c0a2befa03df,aaae4553c14a9ad1d90b7eb3273e47edf7f8004d9422d7a36f88c0a2befa03df,True,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,True,51,142,9,9,32,True,False,65,65,0,0,64,,False,False,False,False,False,False,False
g562_real_graph_000005,00c473d161a66342da243eed1da54c488835e7efecb0bd7c33f49e7a8240e62c,d95225a4a10a341fc2794b84b3b49ff52d61188ac0d60f194d34fbf2f505d5ef,validation,g559-synth-city-berlin-32,city,64,7428,500,g559_b500_i4,/root/shared-nvme/czr004_g562_real_label_graph_actor/outputs/external/phase5p5_repair5g562_g559_remote_contexts/scenarios/g559-synth-city-berlin-32-random-7428.scen,a4f04530cf4182e733211384b49df56dc99c0411654cd09a831a37656c65f571,a4f04530cf4182e733211384b49df56dc99c0411654cd09a831a37656c65f571,True,6c5e61c0c3a3dd7fa4b0b1dce70e9ad0b8a0cd1517c854bf0f707b66ca835f1a,6c5e61c0c3a3dd7fa4b0b1dce70e9ad0b8a0cd1517c854bf0f707b66ca835f1a,True,795,2392,9,9,64,True,False,65,65,0,0,64,,False,False,False,False,False,False,False
g562_real_graph_000006,0150337045443a5c17ab8679ab0612707e5f82757fdb7674f6e55ea149bd8712,bb69052451f683302280ac95ff1f89b98203b2aa2648e0ef325f075de2457ef2,train,empty-8-8,empty,16,8344,500,g559_b500_i2,/root/shared-nvme/czr004_g562_real_label_graph_actor/outputs/external/phase5p5_repair5g562_g559_remote_contexts/scenarios/empty-8-8-random-8344.scen,50bfb4076506718ef69194c89187c09d9dc864e1466ed6065971d1249e099fd6,50bfb4076506718ef69194c89187c09d9dc864e1466ed6065971d1249e099fd6,True,8f1b5495421b4c544ca84a45b0a41cf17e44c1a5aa9241c784bfe8478dbe79b5,8f1b5495421b4c544ca84a45b0a41cf17e44c1a5aa9241c784bfe8478dbe79b5,True,64,224,9,9,16,True,False,65,65,34,29,0,-0.4722222222199999,True,False,False,False,False,False,False
g562_real_graph_000007,01739cdeba8188a1cd12a891c8731c54bdcb345754ece202e6f31adba94625ff,2334ac1766b19d62673f6798604642ef80984f487e302594bbc1d4bc4cf5b4ee,validation,g559-synth-warehouse-a-32,warehouse,128,7514,2000,g559_b2000_i3,/root/shared-nvme/czr004_g562_real_label_graph_actor/outputs/external/phase5p5_repair5g562_g559_remote_contexts/scenarios/g559-synth-warehouse-a-32-random-7514.scen,888ecca87a1d7957f2d8f3ee6e58aaf05f0b37134d26a810111a023f356450b4,888ecca87a1d7957f2d8f3ee6e58aaf05f0b37134d26a810111a023f356450b4,True,7ef6c3d699f085e83aae4a74af4d3a80e228e2acd4a8d94abfbc6ba844e7a611,7ef6c3d699f085e83aae4a74af4d3a80e228e2acd4a8d94abfbc6ba844e7a611,True,640,2144,9,9,128,True,False,65,65,0,0,64,,False,False,False,False,False,False,False
g562_real_graph_000008,017610f413a531d5661e25631f2768b1af12b81cb1f84ce44c9df17a645b7a0a,7926f66ee6c531299c62301e7f85bcbb4d9f075fb24b931acc1beac8cbf0d10f,heldout,g559-synth-string-40,irregular_bottleneck,128,8240,500,g559_b500_i3,/root/shared-nvme/czr004_g562_real_label_graph_actor/outputs/external/phase5p5_repair5g562_g559_remote_contexts/scenarios/g559-synth-string-40-random-8240.scen,c5349f2f97d57bd06f2ce7eba7187dfb733f32254f0a00b228873d00d32d0590,c5349f2f97d57bd06f2ce7eba7187dfb733f32254f0a00b228873d00d32d0590,True,fb119aacaf305ebcce9e07dd0659ab15f993a9486d1697355aeabc66dac86ab0,fb119aacaf305ebcce9e07dd0659ab15f993a9486d1697355aeabc66dac86ab0,True,397,1320,9,9,128,True,False,65,65,47,17,0,-0.14232673266999996,True,False,False,False,False,False,False
g562_real_graph_000009,01aec451146f62e2ae6a035fb24c66aa16f1d70b384e141ea2ae2205b51a5e41,4b87876bbda81f875368e4873037f803b0c72da2041c36bbf92dbf9cd55500f8,train,random-8-8-20,random,32,7195,5000,g559_b5000_i2,/root/shared-nvme/czr004_g562_real_label_graph_actor/outputs/external/phase5p5_repair5g562_g559_remote_contexts/scenarios/random-8-8-20-random-7195.scen,867e2c6de6cd10455c4f33dc40d16dbbff2685b7428c998d6f29f0b9f60a5cb1,867e2c6de6cd10455c4f33dc40d16dbbff2685b7428c998d6f29f0b9f60a5cb1,True,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,True,51,142,9,9,32,True,False,65,65,5,59,0,-0.2931034482800001,True,False,False,False,False,False,False
