agents,baseline_method,baseline_ratio,baseline_success,better_vs_ltm,candidate_id,component,contender_method,delta_ratio_vs_ltm,equal_vs_ltm,ltm_iteration_budget,map,repair5g2_selected_source_method,repair5g3_synthetic_source_method,scen,seed,success,sum_of_loss_ratio,time_budget_sec,worse_vs_ltm
50,lacam_star_ltm,1.19855920756,True,False,always_additive_defer,control,always_additive_defer,0.0,True,2,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,laur_disable,control,laur_disable,0.0,True,2,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,2,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,2,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,flow_shield,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.0009004952700000235,False,2,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19765871229,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,flow_shield,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,0.0,True,2,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,flow_shield,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0.0,True,2,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,repair5g2_best_frozen_static_candidate,frozen_static,repair5g2_best_frozen_static_candidate,0.0,True,2,maze-32-32-4,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,repair5g2_c_equiv_best_frozen_baseline,c_equiv_baseline,repair5g2_c_equiv_best_frozen_baseline,0.0,True,2,maze-32-32-4,repair5g_dual_c_equiv_c100_b100_w075_d100,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,repair5g2_frozen_static_or_selector,frozen_selector,repair5g2_frozen_static_or_selector,0.0,True,2,maze-32-32-4,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,repair5g2_g1_top_diagnostic_candidate,flow_shield,repair5g2_g1_top_diagnostic_candidate,0.0,True,2,maze-32-32-4,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,repair5g4_random_flow_shield_diagnostic_seed0,diagnostic,repair5g4_random_flow_shield_diagnostic_seed0,0.0,True,2,maze-32-32-4,,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,repair5g4_shuffled_flow_shield_diagnostic_seed0,diagnostic,repair5g4_shuffled_flow_shield_diagnostic_seed0,0.0,True,2,maze-32-32-4,,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,2,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,2,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,repair5g_dual_c_equiv_c100_b100_w075_d095,c_equiv_baseline,repair5g_dual_c_equiv_c100_b100_w075_d095,0.0,True,2,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,repair5g_dual_c_equiv_c100_b100_w075_d100,c_equiv_baseline,repair5g_dual_c_equiv_c100_b100_w075_d100,0.0,True,2,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,always_additive_defer,control,always_additive_defer,0.0,True,4,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,laur_disable,control,laur_disable,0.0,True,4,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,4,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,4,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19855920756,1.0,False
50,lacam_star_ltm,1.19855920756,True,True,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,flow_shield,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,-0.0009004952700000235,False,4,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19765871229,1.0,False
50,lacam_star_ltm,1.19855920756,True,True,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,flow_shield,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,-0.007203962179999968,False,4,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.19135524538,1.0,False
50,lacam_star_ltm,1.19855920756,True,True,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,flow_shield,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.032417829799999964,False,4,maze-32-32-4,,,maze-32-32-4-random-126.scen,126,True,1.16614137776,1.0,False
50,lacam_star_ltm,1.19855920756,True,True,repair5g2_best_frozen_static_candidate,frozen_static,repair5g2_best_frozen_static_candidate,-0.032417829799999964,False,4,maze-32-32-4,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,maze-32-32-4-random-126.scen,126,True,1.16614137776,1.0,False
50,lacam_star_ltm,1.19855920756,True,True,repair5g2_c_equiv_best_frozen_baseline,c_equiv_baseline,repair5g2_c_equiv_best_frozen_baseline,-0.019360648349999954,False,4,maze-32-32-4,repair5g_dual_c_equiv_c100_b100_w075_d100,,maze-32-32-4-random-126.scen,126,True,1.17919855921,1.0,False
50,lacam_star_ltm,1.19855920756,True,True,repair5g2_frozen_static_or_selector,frozen_selector,repair5g2_frozen_static_or_selector,-0.032417829799999964,False,4,maze-32-32-4,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,maze-32-32-4-random-126.scen,126,True,1.16614137776,1.0,False
