agents,better,bootstrap,equal,map,mean_delta_ratio_vs_ltm,median_delta_ratio_vs_ltm,method,ratio_worse_than_ltm_groups,rows,success_worse_than_ltm_groups,worse
50,33,"{'mean': -0.019468380028124992, 'ci_low': -0.026321780902999976, 'ci_high': -0.011881108932699988, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.019468380028124992,-0.01986765722599998,repair5g2_best_frozen_static_candidate,0,40,0,6
50,18,"{'mean': -0.0002033818711749874, 'ci_low': -0.006370768583624978, 'ci_high': 0.0057003462111750195, 'prob_mean_lt_0': 0.5125, 'samples': 2000}",5,maze-32-32-4,-0.0002033818711749874,0.0,repair5g2_c_equiv_best_frozen_baseline,0,40,0,17
50,33,"{'mean': -0.019468380028124992, 'ci_low': -0.026321780902999976, 'ci_high': -0.011881108932699988, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.019468380028124992,-0.01986765722599998,repair5g2_frozen_static_or_selector,0,40,0,6
100,22,"{'mean': -0.0025872929867500173, 'ci_low': -0.009667828144000001, 'ci_high': 0.004397080114249963, 'prob_mean_lt_0': 0.7635, 'samples': 2000}",0,maze-32-32-4,-0.0025872929867500173,-0.003554038305000007,repair5g2_best_frozen_static_candidate,0,40,0,18
100,14,"{'mean': 0.0065231667907500014, 'ci_low': 0.00019845250675000757, 'ci_high': 0.013379055525250021, 'prob_mean_lt_0': 0.022, 'samples': 2000}",0,maze-32-32-4,0.0065231667907500014,0.008290921740000012,repair5g2_c_equiv_best_frozen_baseline,1,40,0,26
100,23,"{'mean': -0.007398325083750013, 'ci_low': -0.015146875541499988, 'ci_high': 4.601030425000485e-05, 'prob_mean_lt_0': 0.9735, 'samples': 2000}",0,maze-32-32-4,-0.007398325083750013,-0.007517369960000075,repair5g2_frozen_static_or_selector,0,40,0,17
50,29,"{'mean': -0.023404587835500028, 'ci_low': -0.03185680121925007, 'ci_high': -0.014520095338750044, 'prob_mean_lt_0': 1.0, 'samples': 2000}",9,random-32-32-20,-0.023404587835500028,-0.01605725898999988,repair5g2_best_frozen_static_candidate,0,40,0,2
50,3,"{'mean': 0.000307660616499994, 'ci_low': -0.0015586720867500127, 'ci_high': 0.0026564574522499828, 'prob_mean_lt_0': 0.4005, 'samples': 2000}",30,random-32-32-20,0.000307660616499994,0.0,repair5g2_c_equiv_best_frozen_baseline,1,40,0,7
50,29,"{'mean': -0.023404587835500028, 'ci_low': -0.03185680121925007, 'ci_high': -0.014520095338750044, 'prob_mean_lt_0': 1.0, 'samples': 2000}",9,random-32-32-20,-0.023404587835500028,-0.01605725898999988,repair5g2_frozen_static_or_selector,0,40,0,2
100,38,"{'mean': -0.05715068956600001, 'ci_low': -0.0677568346375, 'ci_high': -0.047153316192750004, 'prob_mean_lt_0': 1.0, 'samples': 2000}",0,random-32-32-20,-0.05715068956600001,-0.059028267800000145,repair5g2_best_frozen_static_candidate,0,40,0,2
100,16,"{'mean': -0.00946163284374999, 'ci_low': -0.01658263619675, 'ci_high': -0.002446960011499977, 'prob_mean_lt_0': 0.9975, 'samples': 2000}",16,random-32-32-20,-0.00946163284374999,0.0,repair5g2_c_equiv_best_frozen_baseline,0,40,0,8
100,38,"{'mean': -0.06098449979549999, 'ci_low': -0.070919086499, 'ci_high': -0.05035856065424999, 'prob_mean_lt_0': 1.0, 'samples': 2000}",0,random-32-32-20,-0.06098449979549999,-0.06860163363500005,repair5g2_frozen_static_or_selector,0,40,0,2
50,0,"{'mean': 0.004970420572749995, 'ci_low': 0.0017278395542499937, 'ci_high': 0.008967013321999995, 'prob_mean_lt_0': 0.0, 'samples': 2000}",30,warehouse-10-20-10-2-1,0.004970420572749995,0.0,repair5g2_best_frozen_static_candidate,1,40,0,10
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",40,warehouse-10-20-10-2-1,0.0,0.0,repair5g2_c_equiv_best_frozen_baseline,0,40,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",40,warehouse-10-20-10-2-1,0.0,0.0,repair5g2_frozen_static_or_selector,0,40,0,0
100,1,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",38,warehouse-10-20-10-2-1,0.0,0.0,repair5g2_best_frozen_static_candidate,0,40,0,1
100,1,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",38,warehouse-10-20-10-2-1,0.0,0.0,repair5g2_c_equiv_best_frozen_baseline,0,40,0,1
100,1,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",39,warehouse-10-20-10-2-1,0.0,0.0,repair5g2_frozen_static_or_selector,0,40,0,0
