map,agents,seed,scen,split_bucket,candidate_id,alpha_commit,alpha_block,alpha_wait_spillover,rho_decay,force_additive,construction,old_equivalent_rule,success,sum_of_loss_ratio,delta_ratio_vs_ltm,delta_ratio_vs_repair5e5,expanded_delta_vs_ltm,low_level_pibt_delta_vs_ltm,ttfs_delta_vs_ltm,better_vs_ltm,equal_vs_ltm,worse_vs_ltm
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,additive_ltm,1.0,1.0,1.0,1.0,True,exact_additive_anchor,additive_ltm,True,1.1244870041,0.0,,0.0,0.0,-11.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c050_b100_w100_d100,0.5,1.0,1.0,1.0,False,one_axis_alpha_commit,,True,1.1244870041,0.0,,0.0,0.0,-15.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c075_b075_w100_d100,0.75,0.75,1.0,1.0,False,two_axis_alpha_commit_alpha_block,,True,1.1244870041,0.0,,2.0,100.0,5.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c075_b075_w125_d095,0.75,0.75,1.25,0.95,False,conservative_decay_combo,,True,1.1244870041,0.0,,2.0,100.0,-22.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c075_b100_w075_d100,0.75,1.0,0.75,1.0,False,two_axis_alpha_commit_alpha_wait_spillover,,True,1.1244870041,0.0,,0.0,0.0,-8.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c075_b100_w100_d090,0.75,1.0,1.0,0.9,False,decay_interaction_alpha_commit,,True,1.1244870041,0.0,,2.0,100.0,-23.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c075_b100_w100_d095,0.75,1.0,1.0,0.95,False,decay_interaction_alpha_commit,,True,1.1244870041,0.0,,4.0,200.0,-18.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c075_b100_w100_d100,0.75,1.0,1.0,1.0,False,one_axis_alpha_commit,,True,1.1244870041,0.0,,2.0,100.0,-2.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c075_b100_w125_d090,0.75,1.0,1.25,0.9,False,conservative_decay_combo,,True,1.1244870041,0.0,,4.0,200.0,-4.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c075_b100_w125_d100,0.75,1.0,1.25,1.0,False,two_axis_alpha_commit_alpha_wait_spillover,,True,1.1244870041,0.0,,0.0,0.0,1.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c075_b125_w100_d090,0.75,1.25,1.0,0.9,False,conservative_decay_combo,,True,1.1244870041,0.0,,2.0,100.0,-13.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c075_b125_w100_d100,0.75,1.25,1.0,1.0,False,two_axis_alpha_commit_alpha_block,,True,1.1244870041,0.0,,2.0,100.0,-3.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c075_b125_w125_d095,0.75,1.25,1.25,0.95,False,conservative_decay_combo,,True,1.1244870041,0.0,,0.0,0.0,-25.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c100_b050_w100_d100,1.0,0.5,1.0,1.0,False,one_axis_alpha_block,block_light,True,1.1244870041,0.0,,4.0,200.0,-8.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c100_b075_w075_d100,1.0,0.75,0.75,1.0,False,two_axis_alpha_block_alpha_wait_spillover,,True,1.1244870041,0.0,,0.0,0.0,-3.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c100_b075_w100_d090,1.0,0.75,1.0,0.9,False,decay_interaction_alpha_block,,True,1.1244870041,0.0,,4.0,200.0,-14.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c100_b075_w100_d095,1.0,0.75,1.0,0.95,False,decay_interaction_alpha_block,,True,1.1244870041,0.0,,0.0,0.0,-20.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c100_b075_w100_d100,1.0,0.75,1.0,1.0,False,one_axis_alpha_block,,True,1.1244870041,0.0,,4.0,200.0,-22.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c100_b075_w125_d090,1.0,0.75,1.25,0.9,False,conservative_decay_combo,,True,1.1244870041,0.0,,2.0,100.0,-10.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c100_b075_w125_d100,1.0,0.75,1.25,1.0,False,two_axis_alpha_block_alpha_wait_spillover,,True,1.1244870041,0.0,,4.0,200.0,-6.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c100_b100_w050_d100,1.0,1.0,0.5,1.0,False,one_axis_alpha_wait_spillover,wait_light,True,1.1244870041,0.0,,2.0,100.0,1.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c100_b100_w075_d090,1.0,1.0,0.75,0.9,False,decay_interaction_alpha_wait_spillover,,True,1.1244870041,0.0,,0.0,0.0,5.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c100_b100_w075_d095,1.0,1.0,0.75,0.95,False,decay_interaction_alpha_wait_spillover,,True,1.1244870041,0.0,,2.0,100.0,-13.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c100_b100_w075_d100,1.0,1.0,0.75,1.0,False,one_axis_alpha_wait_spillover,,True,1.1244870041,0.0,,4.0,200.0,-3.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c100_b100_w100_d090,1.0,1.0,1.0,0.9,False,one_axis_rho_decay,decay_090,True,1.1244870041,0.0,,2.0,100.0,-17.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c100_b100_w100_d095,1.0,1.0,1.0,0.95,False,one_axis_rho_decay,decay_095,True,1.1244870041,0.0,,2.0,100.0,-11.0,False,True,False
maze-32-32-4,50,26,maze-32-32-4-random-26.scen,support_train,c100_b100_w125_d090,1.0,1.0,1.25,0.9,False,decay_interaction_alpha_wait_spillover,,True,1.1244870041,0.0,,0.0,0.0,-19.0,False,True,False
