agents,better,bootstrap,equal,map,mean_delta_ratio_vs_ltm,median_delta_ratio_vs_ltm,method,ratio_worse_than_ltm_groups,rows,success_worse_than_ltm_groups,worse
50,10,"{'mean': -0.029180804233000002, 'ci_low': -0.03448532125600003, 'ci_high': -0.024201046374000022, 'prob_mean_lt_0': 1.0, 'samples': 2000}",0,maze-32-32-4,-0.029180804233000002,-0.030644373870000075,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,0,10,0,0
50,8,"{'mean': -0.014977129384000022, 'ci_low': -0.025069206859000027, 'ci_high': -0.005489227542000053, 'prob_mean_lt_0': 1.0, 'samples': 2000}",0,maze-32-32-4,-0.014977129384000022,-0.014958207065000062,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,0,10,0,2
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0,10,0,0
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g2_best_frozen_static_candidate,0,10,0,0
50,2,"{'mean': 0.005349554307000015, 'ci_low': -0.006348727960000034, 'ci_high': 0.01576021266800003, 'prob_mean_lt_0': 0.1725, 'samples': 2000}",1,maze-32-32-4,0.005349554307000015,0.008052729695000038,repair5g2_c_equiv_best_frozen_baseline,1,10,0,7
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g2_frozen_static_or_selector,0,10,0,0
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g2_g1_top_diagnostic_candidate,0,10,0,0
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g53_runtime_always_map_agent_minimal_hook,0,10,0,0
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g53_runtime_always_static_minimal_hook,0,10,0,0
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g53_runtime_static_shadow_noop_minimal,0,10,0,0
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g53_shadow_static_deferred_log,0,10,0,0
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g53_shadow_static_full_log,0,10,0,0
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g53_static_hook_cost_audit_only,0,10,0,0
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g53_static_hook_features_no_cost_audit,0,10,0,0
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g53_static_hook_full_features_jsonl,0,10,0,0
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g53_static_hook_full_features_no_jsonl,0,10,0,0
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g53_static_hook_jsonl_log_only,0,10,0,0
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g53_static_hook_memory_counter,0,10,0,0
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g53_static_hook_minimal,0,10,0,0
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g53_static_hook_params_hash_only,0,10,0,0
50,9,"{'mean': -0.021046354585999995, 'ci_low': -0.031746212728000024, 'ci_high': -0.011431386280000021, 'prob_mean_lt_0': 1.0, 'samples': 2000}",1,maze-32-32-4,-0.021046354585999995,-0.016457569509999992,repair5g53_static_hook_traffic_hash_only,0,10,0,0
50,0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",10,maze-32-32-4,0.0,0.0,repair5g_dual_c_equiv_additive,0,10,0,0
50,2,"{'mean': 0.0009265099219999851, 'ci_low': -0.008524380376000052, 'ci_high': 0.009245876144999988, 'prob_mean_lt_0': 0.4, 'samples': 2000}",1,maze-32-32-4,0.0009265099219999851,0.002609401175000081,repair5g_dual_c_equiv_c100_b100_w075_d095,1,10,0,7
