candidate_id,candidate_family,support_rows,candidate_families,mean_delta_vs_static_flow,mean_delta_vs_primary_static,static_flow_better_or_equal_count,static_relative_gain_count,static_regression_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,182,c_only,0.000704591550421,0.00146760410332,179,0,3,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,185,c_only,0.000704591550421,0.00148094595881,180,0,5,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,189,wait_conservative,0.000413282940284,0.00116281228127,186,1,2,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,wait_aggressive,184,wait_aggressive,0.000281775348661,0.00104625019981,182,1,1,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,flow_decay,185,flow_decay,0.000331951323769,0.00109171241187,183,0,2,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,other_flow,185,other_flow,0.000170699441028,0.000952951349225,181,1,3,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,high_beta,189,high_beta,0.000271963330231,0.00103437875433,185,2,2,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,high_beta,188,high_beta,0.000341995880972,0.00110131251964,184,1,3,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,high_beta,187,high_beta,-0.000831292618036,-3.44686702632e-05,183,4,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,190,high_beta,2.67498924679e-05,0.000793232437307,189,0,1,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,552,high_beta,-0.000165864897562,0.000565738431368,522,26,4,False,False,False,False,False
repair5g59_additive_fallback,additive,742,additive,0.00430173360989,0.00607552335137,709,21,12,False,False,False,False,False
repair5g59_block_heavy_flow_guard,block_heavy,372,block_heavy,0.000201797788169,0.00191141792364,363,4,5,False,False,False,False,False
repair5g59_c_only_f_disabled,c_only,371,c_only,0.00684762380506,0.00897497945654,359,6,6,False,False,False,False,False
repair5g59_commit_heavy_flow_guard,commit_heavy,365,commit_heavy,0.000437308006833,0.00238390166736,356,2,7,False,False,False,False,False
repair5g59_flow_decay,flow_decay,729,flow_decay,-0.000214923891762,0.00102147827176,716,6,7,False,False,False,False,False
repair5g59_high_beta_cap_safe,high_beta,724,high_beta,-0.00031007551141,0.000949310147747,714,0,10,False,False,False,False,False
repair5g59_light_cong_light_flow,other_flow,369,other_flow,0.00404554916359,0.00618706341093,362,1,6,False,False,False,False,False
repair5g59_low_beta_high_cap,low_beta,371,low_beta,3.66952012656e-05,0.00166405907899,363,4,4,False,False,False,False,False
repair5g59_static_flow_shield,static_flow_shield,737,static_flow_shield,0,0.00124037150405,726,0,11,False,False,False,False,False
repair5g59_wait_aggressive,wait_aggressive,371,wait_aggressive,0.000311771678124,0.00200726346235,364,3,4,False,False,False,False,False
repair5g59_wait_conservative,wait_conservative,731,wait_conservative,-0.000303963652526,0.000920585972939,707,20,4,False,False,False,False,False
