size,seed,rich_final_validation_loss,scalar_final_validation_loss,rich_minus_scalar_final_validation_loss,rich_beats_scalar
16,564,0.10969045013189316,0.19201141595840454,-0.08232096582651138,True
16,565,0.10968439280986786,0.18812832236289978,-0.07844392955303192,True
32,564,0.10909660905599594,0.19224143028259277,-0.08314482122659683,True
32,565,0.10937610268592834,0.18838286399841309,-0.07900676131248474,True
34,564,0.10899828374385834,0.19230544567108154,-0.0833071619272232,True
34,565,0.10939949005842209,0.18833722174167633,-0.07893773168325424,True
