budget_ms,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
1000,2432,0,0,912,1520,0,0,0,0,0,0,1520,0,False,False,False,False,False
2000,2831,14,0,551,2266,0.00217996221921,0,0.00217996221921,0.00217996221921,0.00298120607161,140,1907,219,False,False,False,False,False
500,2280,46,38,1140,1056,0,0,0,0,0.000877192982456,0,1056,0,False,False,False,False,False
