context_horizon_key,context_id,map_family,agents,seed,nominal_budget_ms,horizon_id,route,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
random-32-32-20|50|1848|2000|iteration_label_expansion_failure_short2000_t100_i2,random-32-32-20|a50|s1848|it0|g551_iteration_label_expansion_random_32_32_20_a50_s1848_hiteration_label_expansion_failure_short2000_t100_i2_b2000,random,50,1848,2000,iteration_label_expansion_failure_short2000_t100_i2,B_targeted_failure_exact,False,False,False,False,False
random-32-32-20|50|1848|2000|iteration_label_expansion_failure_short1000_t050_i2,random-32-32-20|a50|s1848|it0|g551_iteration_label_expansion_random_32_32_20_a50_s1848_hiteration_label_expansion_failure_short1000_t050_i2_b2000,random,50,1848,2000,iteration_label_expansion_failure_short1000_t050_i2,B_targeted_failure_exact,False,False,False,False,False
random-32-32-20|50|1860|2000|iteration_label_expansion_failure_short2000_t050_i2,random-32-32-20|a50|s1860|it0|g551_iteration_label_expansion_random_32_32_20_a50_s1860_hiteration_label_expansion_failure_short2000_t050_i2_b2000,random,50,1860,2000,iteration_label_expansion_failure_short2000_t050_i2,B_targeted_failure_exact,False,False,False,False,False
random-32-32-20|50|1848|2000|iteration_label_expansion_failure_short2000_t050_i2,random-32-32-20|a50|s1848|it0|g551_iteration_label_expansion_random_32_32_20_a50_s1848_hiteration_label_expansion_failure_short2000_t050_i2_b2000,random,50,1848,2000,iteration_label_expansion_failure_short2000_t050_i2,B_targeted_failure_exact,False,False,False,False,False
random-32-32-20|50|1860|2000|iteration_label_expansion_failure_short1000_t050_i2,random-32-32-20|a50|s1860|it0|g551_iteration_label_expansion_random_32_32_20_a50_s1860_hiteration_label_expansion_failure_short1000_t050_i2_b2000,random,50,1860,2000,iteration_label_expansion_failure_short1000_t050_i2,B_targeted_failure_exact,False,False,False,False,False
random-32-32-20|50|1860|2000|iteration_label_expansion_failure_short2000_t100_i2,random-32-32-20|a50|s1860|it0|g551_iteration_label_expansion_random_32_32_20_a50_s1860_hiteration_label_expansion_failure_short2000_t100_i2_b2000,random,50,1860,2000,iteration_label_expansion_failure_short2000_t100_i2,B_targeted_failure_exact,False,False,False,False,False
random-32-32-20|50|1880|2000|iteration_label_expansion_failure_short1000_t050_i2,random-32-32-20|a50|s1880|it0|g551_iteration_label_expansion_random_32_32_20_a50_s1880_hiteration_label_expansion_failure_short1000_t050_i2_b2000,random,50,1880,2000,iteration_label_expansion_failure_short1000_t050_i2,B_targeted_failure_exact,False,False,False,False,False
random-32-32-20|50|1880|2000|iteration_label_expansion_failure_short2000_t100_i2,random-32-32-20|a50|s1880|it0|g551_iteration_label_expansion_random_32_32_20_a50_s1880_hiteration_label_expansion_failure_short2000_t100_i2_b2000,random,50,1880,2000,iteration_label_expansion_failure_short2000_t100_i2,B_targeted_failure_exact,False,False,False,False,False
random-32-32-20|50|1880|2000|iteration_label_expansion_failure_short2000_t050_i2,random-32-32-20|a50|s1880|it0|g551_iteration_label_expansion_random_32_32_20_a50_s1880_hiteration_label_expansion_failure_short2000_t050_i2_b2000,random,50,1880,2000,iteration_label_expansion_failure_short2000_t050_i2,B_targeted_failure_exact,False,False,False,False,False
random-32-32-20|50|2240|2000|iteration_label_expansion_failure_short2000_t100_i2,random-32-32-20|a50|s2240|it0|g551_iteration_label_expansion_random_32_32_20_a50_s2240_hiteration_label_expansion_failure_short2000_t100_i2_b2000,random,50,2240,2000,iteration_label_expansion_failure_short2000_t100_i2,B_targeted_failure_analog,False,False,False,False,False
random-32-32-20|50|2240|2000|iteration_label_expansion_failure_short1000_t050_i2,random-32-32-20|a50|s2240|it0|g551_iteration_label_expansion_random_32_32_20_a50_s2240_hiteration_label_expansion_failure_short1000_t050_i2_b2000,random,50,2240,2000,iteration_label_expansion_failure_short1000_t050_i2,B_targeted_failure_analog,False,False,False,False,False
random-32-32-20|50|2240|2000|iteration_label_expansion_failure_short2000_t050_i2,random-32-32-20|a50|s2240|it0|g551_iteration_label_expansion_random_32_32_20_a50_s2240_hiteration_label_expansion_failure_short2000_t050_i2_b2000,random,50,2240,2000,iteration_label_expansion_failure_short2000_t050_i2,B_targeted_failure_analog,False,False,False,False,False
random-32-32-20|50|2240|2000|iteration_label_expansion_short2000_t100_i2,random-32-32-20|a50|s2240|it0|g551_iteration_label_expansion_random_32_32_20_a50_s2240_hiteration_label_expansion_short2000_t100_i2_b2000,random,50,2240,2000,iteration_label_expansion_short2000_t100_i2,A_core_calibrated_evaluable,False,False,False,False,False
random-32-32-20|50|2240|2000|iteration_label_expansion_short5000_t050_i2,random-32-32-20|a50|s2240|it0|g551_iteration_label_expansion_random_32_32_20_a50_s2240_hiteration_label_expansion_short5000_t050_i2_b2000,random,50,2240,2000,iteration_label_expansion_short5000_t050_i2,A_core_calibrated_evaluable,False,False,False,False,False
random-32-32-20|50|2240|2000|iteration_label_expansion_short1000_t050_i2,random-32-32-20|a50|s2240|it0|g551_iteration_label_expansion_random_32_32_20_a50_s2240_hiteration_label_expansion_short1000_t050_i2_b2000,random,50,2240,2000,iteration_label_expansion_short1000_t050_i2,A_core_calibrated_evaluable,False,False,False,False,False
random-32-32-20|50|2240|2000|iteration_label_expansion_short2000_t050_i2,random-32-32-20|a50|s2240|it0|g551_iteration_label_expansion_random_32_32_20_a50_s2240_hiteration_label_expansion_short2000_t050_i2_b2000,random,50,2240,2000,iteration_label_expansion_short2000_t050_i2,A_core_calibrated_evaluable,False,False,False,False,False
random-32-32-20|50|2241|2000|iteration_label_expansion_failure_short1000_t050_i2,random-32-32-20|a50|s2241|it0|g551_iteration_label_expansion_random_32_32_20_a50_s2241_hiteration_label_expansion_failure_short1000_t050_i2_b2000,random,50,2241,2000,iteration_label_expansion_failure_short1000_t050_i2,B_targeted_failure_analog,False,False,False,False,False
random-32-32-20|50|2240|2000|iteration_label_expansion_short5000_t100_i4,random-32-32-20|a50|s2240|it0|g551_iteration_label_expansion_random_32_32_20_a50_s2240_hiteration_label_expansion_short5000_t100_i4_b2000,random,50,2240,2000,iteration_label_expansion_short5000_t100_i4,A_core_calibrated_evaluable,False,False,False,False,False
random-32-32-20|50|2241|2000|iteration_label_expansion_short2000_t100_i2,random-32-32-20|a50|s2241|it0|g551_iteration_label_expansion_random_32_32_20_a50_s2241_hiteration_label_expansion_short2000_t100_i2_b2000,random,50,2241,2000,iteration_label_expansion_short2000_t100_i2,A_core_calibrated_evaluable,False,False,False,False,False
random-32-32-20|50|2241|2000|iteration_label_expansion_short2000_t050_i2,random-32-32-20|a50|s2241|it0|g551_iteration_label_expansion_random_32_32_20_a50_s2241_hiteration_label_expansion_short2000_t050_i2_b2000,random,50,2241,2000,iteration_label_expansion_short2000_t050_i2,A_core_calibrated_evaluable,False,False,False,False,False
random-32-32-20|50|2241|2000|iteration_label_expansion_short1000_t050_i2,random-32-32-20|a50|s2241|it0|g551_iteration_label_expansion_random_32_32_20_a50_s2241_hiteration_label_expansion_short1000_t050_i2_b2000,random,50,2241,2000,iteration_label_expansion_short1000_t050_i2,A_core_calibrated_evaluable,False,False,False,False,False
random-32-32-20|50|2241|2000|iteration_label_expansion_short5000_t050_i2,random-32-32-20|a50|s2241|it0|g551_iteration_label_expansion_random_32_32_20_a50_s2241_hiteration_label_expansion_short5000_t050_i2_b2000,random,50,2241,2000,iteration_label_expansion_short5000_t050_i2,A_core_calibrated_evaluable,False,False,False,False,False
random-32-32-20|50|2241|2000|iteration_label_expansion_failure_short2000_t050_i2,random-32-32-20|a50|s2241|it0|g551_iteration_label_expansion_random_32_32_20_a50_s2241_hiteration_label_expansion_failure_short2000_t050_i2_b2000,random,50,2241,2000,iteration_label_expansion_failure_short2000_t050_i2,B_targeted_failure_analog,False,False,False,False,False
random-32-32-20|50|2241|2000|iteration_label_expansion_short5000_t100_i4,random-32-32-20|a50|s2241|it0|g551_iteration_label_expansion_random_32_32_20_a50_s2241_hiteration_label_expansion_short5000_t100_i4_b2000,random,50,2241,2000,iteration_label_expansion_short5000_t100_i4,A_core_calibrated_evaluable,False,False,False,False,False
random-32-32-20|50|2241|2000|iteration_label_expansion_failure_short2000_t100_i2,random-32-32-20|a50|s2241|it0|g551_iteration_label_expansion_random_32_32_20_a50_s2241_hiteration_label_expansion_failure_short2000_t100_i2_b2000,random,50,2241,2000,iteration_label_expansion_failure_short2000_t100_i2,B_targeted_failure_analog,False,False,False,False,False
