acquisition_family,candidate_count,safe_count,positive_count,harmful_count,median_delta_vs_additive,median_delta_vs_static_flow,best_delta_vs_additive,best_delta_vs_static_flow,contexts_where_family_supplies_oracle_best_vs_additive,contexts_where_family_supplies_oracle_best_vs_static_flow
group,22491,22491,1554,3738,-0.0090293453800001,-0.00072241871999995,-55.48601493065,-55.48601493065,912,912
global_g556_anchor,14994,14994,1016,2534,-0.0090293453800001,-0.0006688963200001,-62.684644582,-62.684644582,576,576
global_static_anchor,12495,12495,702,2207,-0.0075597045100000496,0.0,-55.45952364022,-55.45952364022,774,774
actor_direct,2499,2499,175,427,-0.00867768603999995,-0.00044657589999995,-55.34174191252001,-55.34174191252001,76,76
G4_decay_ONLY_ALPHA_1p0,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,0,0
G4_decay_ONLY_ALPHA_1p5,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,0,0
G556_GLOBAL_ALPHA_0p0,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,0,0
G556_GLOBAL_ALPHA_0p25,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,0,0
G1_congestion_commit_block_ONLY_ALPHA_1p0,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,1,1
G1_congestion_commit_block_ONLY_ALPHA_1p5,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,0,0
G3_goal_flow_ONLY_ALPHA_1p5,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,0,0
G4_decay_ONLY_ALPHA_0p5,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,0,0
G556_GLOBAL_ALPHA_1p5,1,1,0,0,0.0,-0.0028328611899999,0.0,-0.0028328611899999,0,0
G556_GLOBAL_ALPHA_1p25,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,0,0
G556_GLOBAL_ALPHA_0p75,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,0,0
G556_GLOBAL_ALPHA_0p5,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,0,0
G5_channel_weights_ONLY_ALPHA_0p5,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,0,0
G5_channel_weights_ONLY_ALPHA_1p0,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,0,0
G5_channel_weights_ONLY_ALPHA_1p5,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,0,0
G6_shield_bounds_ONLY_ALPHA_0p5,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,0,0
STATIC_GLOBAL_ALPHA_0p25,1,1,0,0,0.0,-0.0028328611899999,0.0,-0.0028328611899999,0,0
SELECTED_ACTOR_PRIMARY_30S_EXACT,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,0,0
G6_shield_bounds_ONLY_ALPHA_1p5,1,1,0,0,-0.00566572238,-0.0084985835699999,-0.00566572238,-0.0084985835699999,0,0
G6_shield_bounds_ONLY_ALPHA_1p0,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,0,0
STATIC_GLOBAL_ALPHA_1p25,1,1,0,0,0.0,-0.0028328611899999,0.0,-0.0028328611899999,0,0
STATIC_GLOBAL_ALPHA_1p0,1,1,0,0,-0.0084985835699999,-0.0113314447599999,-0.0084985835699999,-0.0113314447599999,0,0
STATIC_GLOBAL_ALPHA_0p75,1,1,0,0,-0.00566572238,-0.0084985835699999,-0.00566572238,-0.0084985835699999,0,0
STATIC_GLOBAL_ALPHA_0p5,1,1,0,0,-0.0028328611900001,-0.00566572238,-0.0028328611900001,-0.00566572238,0,0
