stage,candidate_id,candidate_group,event_condition,edge_class,method,support_pairs,seed_block_support,context_support,vs_pareto_lattice_pairs,vs_pareto_lattice_success_regression_count,vs_pareto_lattice_success_gain_count,vs_pareto_lattice_both_fail_count,vs_pareto_lattice_quality_only_pairs,vs_pareto_lattice_quality_only_mean_delta,vs_pareto_lattice_quality_only_median_delta,vs_pareto_lattice_quality_ci_low,vs_pareto_lattice_quality_ci_high,vs_pareto_lattice_mean_corrected_delta,vs_pareto_lattice_better_count,vs_pareto_lattice_equal_count,vs_pareto_lattice_worse_count,vs_pareto_lattice_safe_high_margin_count,vs_pareto_lattice_safe_low_margin_count,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,vs_family_static_pairs,vs_family_static_success_regression_count,vs_family_static_success_gain_count,vs_family_static_both_fail_count,vs_family_static_quality_only_pairs,vs_family_static_quality_only_mean_delta,vs_family_static_quality_only_median_delta,vs_family_static_quality_ci_low,vs_family_static_quality_ci_high,vs_family_static_mean_corrected_delta,vs_family_static_better_count,vs_family_static_equal_count,vs_family_static_worse_count,vs_family_static_safe_high_margin_count,vs_family_static_safe_low_margin_count,vs_additive_pairs,vs_additive_success_regression_count,vs_additive_success_gain_count,vs_additive_both_fail_count,vs_additive_quality_only_pairs,vs_additive_quality_only_mean_delta,vs_additive_quality_only_median_delta,vs_additive_quality_ci_low,vs_additive_quality_ci_high,vs_additive_mean_corrected_delta,vs_additive_better_count,vs_additive_equal_count,vs_additive_worse_count,vs_additive_safe_high_margin_count,vs_additive_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,region_status
stage1,repair5g543_evt_blocked_bneck_suppress_001,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,repair5g518_grid_c0p85_b0p65_f1p00_w0p45_dc0p92_df1p00_beta0p2_max0p35_c0,40,3,40,40,0,0,0,40,0.0230521674573,0.0108722472815,0.0230521674573,0.0230521674573,0.0230521674573,0,17,23,0,0,40,0,0,0,40,0.0230521674573,0.0108722472815,0.0230521674573,0.0230521674573,0.0230521674573,0,17,23,0,0,40,0,0,0,40,0.0215951368412,0.00599468622,0.0215951368412,0.0215951368412,0.0215951368412,1,18,21,1,0,40,0,0,0,40,-0.00314121150378,0,-0.00314121150378,-0.00314121150378,-0.00314121150378,4,36,0,4,3,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_blocked_bneck_suppress_002,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,repair5g518_grid_c0p85_b0p65_f1p00_w0p45_dc0p92_df1p00_beta0p2_max0p6_c0,40,3,40,40,0,0,0,40,0.019555948064,0.006976202245,0.019555948064,0.019555948064,0.019555948064,0,18,22,0,0,40,0,0,0,40,0.019555948064,0.006976202245,0.019555948064,0.019555948064,0.019555948064,0,18,22,0,0,40,0,0,0,40,0.0180989174479,0.00646527446,0.0180989174479,0.0180989174479,0.0180989174479,2,17,21,2,0,40,0,0,0,40,-0.00663743089707,0,-0.00663743089707,-0.00663743089707,-0.00663743089707,8,32,0,8,1,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_blocked_bneck_suppress_003,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,repair5g518_grid_c0p85_b0p65_f1p00_w0p45_dc0p92_df1p00_beta0p35_max0p35_c0,40,3,40,40,0,0,0,40,0.0247087541664,0.013536386885,0.0247087541664,0.0247087541664,0.0247087541664,0,17,23,0,0,40,0,0,0,40,0.0247087541664,0.013536386885,0.0247087541664,0.0247087541664,0.0247087541664,0,17,23,0,0,40,0,0,0,40,0.0232517235503,0.007532196311,0.0232517235503,0.0232517235503,0.0232517235503,0,18,22,0,0,40,0,0,0,40,-0.00148462479467,0,-0.00148462479467,-0.00148462479467,-0.00148462479467,4,36,0,4,0,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_blocked_bneck_suppress_004,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,repair5g518_grid_c0p85_b0p65_f1p00_w0p45_dc0p92_df1p00_beta0p35_max0p6_c0,40,3,40,40,0,0,0,40,0.0166518748609,0.00526510823,0.0166518748609,0.0166518748609,0.0166518748609,1,19,20,1,2,40,0,0,0,40,0.0166518748609,0.00526510823,0.0166518748609,0.0166518748609,0.0166518748609,1,19,20,1,2,40,0,0,0,40,0.0151948442449,0.001740341107,0.0151948442449,0.0151948442449,0.0151948442449,3,18,19,3,0,40,0,0,0,40,-0.00954150410015,0,-0.00954150410015,-0.00954150410015,-0.00954150410015,11,29,0,11,2,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_blocked_bneck_suppress_005,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,repair5g518_grid_c0p85_b0p65_f1p00_w0p45_dc0p95_df1p00_beta0p2_max0p35_c0,40,3,40,40,0,0,0,40,0.0230521674573,0.0108722472815,0.0230521674573,0.0230521674573,0.0230521674573,0,17,23,0,0,40,0,0,0,40,0.0230521674573,0.0108722472815,0.0230521674573,0.0230521674573,0.0230521674573,0,17,23,0,0,40,0,0,0,40,0.0215951368412,0.00599468622,0.0215951368412,0.0215951368412,0.0215951368412,1,18,21,1,0,40,0,0,0,40,-0.00314121150378,0,-0.00314121150378,-0.00314121150378,-0.00314121150378,4,36,0,4,3,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_blocked_bneck_suppress_006,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,repair5g518_grid_c0p85_b0p65_f1p00_w0p45_dc0p95_df1p00_beta0p2_max0p6_c0,40,3,40,40,0,0,0,40,0.019555948064,0.006976202245,0.019555948064,0.019555948064,0.019555948064,0,18,22,0,0,40,0,0,0,40,0.019555948064,0.006976202245,0.019555948064,0.019555948064,0.019555948064,0,18,22,0,0,40,0,0,0,40,0.0180989174479,0.00646527446,0.0180989174479,0.0180989174479,0.0180989174479,2,17,21,2,0,40,0,0,0,40,-0.00663743089707,0,-0.00663743089707,-0.00663743089707,-0.00663743089707,8,32,0,8,1,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_blocked_bneck_suppress_007,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,repair5g518_grid_c0p85_b0p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p35_c0,40,3,40,40,0,0,0,40,0.0247087541664,0.013536386885,0.0247087541664,0.0247087541664,0.0247087541664,0,17,23,0,0,40,0,0,0,40,0.0247087541664,0.013536386885,0.0247087541664,0.0247087541664,0.0247087541664,0,17,23,0,0,40,0,0,0,40,0.0232517235503,0.007532196311,0.0232517235503,0.0232517235503,0.0232517235503,0,18,22,0,0,40,0,0,0,40,-0.00148462479467,0,-0.00148462479467,-0.00148462479467,-0.00148462479467,4,36,0,4,0,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_blocked_bneck_suppress_008,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,repair5g518_grid_c0p85_b0p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p6_c0,40,3,40,40,0,0,0,40,0.0166518748609,0.00526510823,0.0166518748609,0.0166518748609,0.0166518748609,1,19,20,1,2,40,0,0,0,40,0.0166518748609,0.00526510823,0.0166518748609,0.0166518748609,0.0166518748609,1,19,20,1,2,40,0,0,0,40,0.0151948442449,0.001740341107,0.0151948442449,0.0151948442449,0.0151948442449,3,18,19,3,0,40,0,0,0,40,-0.00954150410015,0,-0.00954150410015,-0.00954150410015,-0.00954150410015,11,29,0,11,2,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_blocked_bneck_suppress_009,blocked_bottleneck_suppressors,blocked_bottleneck,bottleneck,repair5g518_grid_c0p85_b0p65_f1p00_w0p6_dc0p92_df1p00_beta0p2_max0p35_c0,40,3,40,40,0,0,0,40,0.0241537154264,0.01207969109,0.0241537154264,0.0241537154264,0.0241537154264,0,17,23,0,0,40,0,0,0,40,0.0241537154264,0.01207969109,0.0241537154264,0.0241537154264,0.0241537154264,0,17,23,0,0,40,0,0,0,40,0.0226966848103,0.00646527446,0.0226966848103,0.0226966848103,0.0226966848103,1,18,21,1,0,40,0,0,0,40,-0.0020396635347,0,-0.0020396635347,-0.0020396635347,-0.0020396635347,2,38,0,2,1,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_blocked_open_penalize_001,blocked_open_area_penalizers,blocked_open_area,junction,repair5g518_grid_c1p1_b1p35_f1p00_w0p75_dc0p95_df1p00_beta0p25_max0p5_c0,40,3,40,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,False,False,False,False,False,boundary_or_quality_weak
