split,sample_count,non_neutral_count,harmful_update_count,feature_count,rule_vocab,rule_class_distribution,best_rule_histogram
all,320,250,100,36,"[""additive_ltm"", ""commit_heavy"", ""block_heavy"", ""block_light"", ""wait_light"", ""wait_heavy"", ""decay_095"", ""decay_090"", ""neutral_additive""]","{""block_heavy"": 65, ""block_light"": 21, ""commit_heavy"": 63, ""decay_090"": 23, ""decay_095"": 13, ""neutral_additive"": 70, ""wait_heavy"": 38, ""wait_light"": 27}","{""additive_ltm"": 29, ""block_heavy"": 72, ""block_light"": 24, ""commit_heavy"": 67, ""decay_090"": 26, ""decay_095"": 20, ""wait_heavy"": 50, ""wait_light"": 32}"
train,240,192,72,36,"[""additive_ltm"", ""commit_heavy"", ""block_heavy"", ""block_light"", ""wait_light"", ""wait_heavy"", ""decay_095"", ""decay_090"", ""neutral_additive""]","{""block_heavy"": 54, ""block_light"": 16, ""commit_heavy"": 47, ""decay_090"": 18, ""decay_095"": 8, ""neutral_additive"": 48, ""wait_heavy"": 29, ""wait_light"": 20}","{""additive_ltm"": 19, ""block_heavy"": 60, ""block_light"": 17, ""commit_heavy"": 49, ""decay_090"": 18, ""decay_095"": 15, ""wait_heavy"": 38, ""wait_light"": 24}"
validation,80,58,28,36,"[""additive_ltm"", ""commit_heavy"", ""block_heavy"", ""block_light"", ""wait_light"", ""wait_heavy"", ""decay_095"", ""decay_090"", ""neutral_additive""]","{""block_heavy"": 11, ""block_light"": 5, ""commit_heavy"": 16, ""decay_090"": 5, ""decay_095"": 5, ""neutral_additive"": 22, ""wait_heavy"": 9, ""wait_light"": 7}","{""additive_ltm"": 10, ""block_heavy"": 12, ""block_light"": 7, ""commit_heavy"": 18, ""decay_090"": 8, ""decay_095"": 5, ""wait_heavy"": 12, ""wait_light"": 8}"
