agents,hook_mode,map,method,repair5g53_alias_resolve_ms,repair5g53_alias_resolve_per_update_ms,repair5g53_candidate_select_ms,repair5g53_candidate_select_per_update_ms,repair5g53_cost_audit_ms,repair5g53_cost_audit_per_update_ms,repair5g53_feature_build_ms,repair5g53_feature_build_per_update_ms,repair5g53_json_write_ms,repair5g53_json_write_per_update_ms,repair5g53_params_hash_ms,repair5g53_params_hash_per_update_ms,repair5g53_traffic_hash_ms,repair5g53_traffic_hash_per_update_ms,repair5g53_update_apply_ms,repair5g53_update_apply_per_update_ms,repair5g53_update_policy_total_ms,repair5g53_update_policy_total_per_update_ms,runtime_audit_mode,seed,update_policy_calls
50,runtime_always_static_minimal_hook,random-32-32-20,repair5g53_runtime_always_static_minimal_hook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0359,12.508975,0.007,0.00175,perf,146,4
50,runtime_always_map_agent_minimal_hook,random-32-32-20,repair5g53_runtime_always_map_agent_minimal_hook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8455,11.961375,0.0076,0.0019,perf,146,4
50,runtime_static_shadow_noop_minimal,random-32-32-20,repair5g53_runtime_static_shadow_noop_minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.6646,11.41615,0.0081,0.002025,perf,146,4
50,static_hook_minimal,random-32-32-20,repair5g53_static_hook_minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0432,11.2608,0.0081,0.002025,perf,146,4
50,static_hook_memory_counter,random-32-32-20,repair5g53_static_hook_memory_counter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.7069,10.926725,0.0172,0.0043,perf,146,4
50,static_hook_params_hash_only,random-32-32-20,repair5g53_static_hook_params_hash_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7489,0.187225,0.0,0.0,50.6104,12.6526,0.7593,0.189825,perf,146,4
50,static_hook_jsonl_log_only,random-32-32-20,repair5g53_static_hook_jsonl_log_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9245,1.731125,0.0,0.0,0.0,0.0,46.8651,11.716275,6.9481,1.737025,perf,146,4
50,static_hook_traffic_hash_only,random-32-32-20,repair5g53_static_hook_traffic_hash_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.8097,39.952425,50.716,12.679,159.8217,39.955425,perf,146,4
50,static_hook_cost_audit_only,random-32-32-20,repair5g53_static_hook_cost_audit_only,0.0,0.0,0.0,0.0,649.565,162.39125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3239,11.080975,649.5811,162.395275,audit,146,4
50,static_hook_features_no_cost_audit,random-32-32-20,repair5g53_static_hook_features_no_cost_audit,0.0,0.0,0.0,0.0,0.0,0.0,0.3087,0.077175,0.0,0.0,0.0,0.0,0.0,0.0,48.4368,12.1092,0.3205,0.080125,audit,146,4
