plan_row_id,replay_phase,context_id,g566_dataset_row_id,g566_instance_uid,g566_evaluation_uid,g566_identity_digest,g566_scenario_sha256,g566_physical_map_sha256,g566_assignment_sha256,split,map,map_family,agents,agent_count,seed,budget_ms,nominal_budget_ms,short_budget_ms,base_time_limit_sec,ltm_max_iterations,horizon_id,role,candidate_id,theta_id,materialized_method,generated_theta_uid,sampling_policy,model_path,variant_id,actor_training_seed,expected_updateparams_fingerprint,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none
g566_three_tier_smoke_00000000,three_tier_smoke,g566_valid_000000,g566_valid_000000,1676a9fabc4854c0b92afc6594b5785e17a7ff55b33260d02aaec5bff903ea61,b96baa8fa4a86272b2f222dbde26ffcfe386bf6acb97b5265ceee697fdb1b77d,f2c3cfd494aa0758cec71a1d9c5cdcf150460c8222a649b7a3ee169a7a4c55e9,1d0f52b7dfcc6d60e997fa527b223ab7c2a0c25ca08f16b794ae03bbda7746c5,d0003ec4c7385c60f4f3cc3e6758bc7475d52fb410751c12ff6cb08e24d49b56,4a142ea0813667fde0fc11658f6fa7919b323a3092a21b829289307c36433cba,TRAIN,g566-maze-24x24-a-v1,maze,8,8,566000001,750,750,750,0.75,2,budget750_ltm2,tierA_additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,force_additive=1|enable_dual_channel=0,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g566_three_tier_smoke_00000001,three_tier_smoke,g566_valid_000000,g566_valid_000000,1676a9fabc4854c0b92afc6594b5785e17a7ff55b33260d02aaec5bff903ea61,b96baa8fa4a86272b2f222dbde26ffcfe386bf6acb97b5265ceee697fdb1b77d,99ec04cdb4df7e17ba30ba593b0ea30edca6e84cd62a30f61e73fe748fb78544,1d0f52b7dfcc6d60e997fa527b223ab7c2a0c25ca08f16b794ae03bbda7746c5,d0003ec4c7385c60f4f3cc3e6758bc7475d52fb410751c12ff6cb08e24d49b56,4a142ea0813667fde0fc11658f6fa7919b323a3092a21b829289307c36433cba,TRAIN,g566-maze-24x24-a-v1,maze,8,8,566000001,750,750,750,0.75,2,budget750_ltm2,tierB_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,eca4d79c4aaeeed93f7841fa269b419c13e9732b6b41f7a7018f6322362c1b0d,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,,,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.95|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.0|alpha_flow_wait_progress=1.0|rho_cong_decay=0.95|rho_flow_decay=1.0|lambda_cong=1.0|lambda_flow=1.0|min_edge_cost=1.0|max_edge_cost=11.0|goal_projection_mode=flow_shield|flow_shield_beta=0.35|max_flow_shield=0.75,False,False,False,False,False,1.25,1.25,1.25,0.75,0.75,1.0,1.0,0.95,1.0,1.0,1.0,0.35,0.75,1.0,11.0,1,0,0
g566_three_tier_smoke_00000002,three_tier_smoke,g566_valid_000000,g566_valid_000000,1676a9fabc4854c0b92afc6594b5785e17a7ff55b33260d02aaec5bff903ea61,b96baa8fa4a86272b2f222dbde26ffcfe386bf6acb97b5265ceee697fdb1b77d,97e7e985a5167312793dd308243273a011356e1c4e875e1d273a3c5c991ea53c,1d0f52b7dfcc6d60e997fa527b223ab7c2a0c25ca08f16b794ae03bbda7746c5,d0003ec4c7385c60f4f3cc3e6758bc7475d52fb410751c12ff6cb08e24d49b56,4a142ea0813667fde0fc11658f6fa7919b323a3092a21b829289307c36433cba,TRAIN,g566-maze-24x24-a-v1,maze,8,8,566000001,750,750,750,0.75,2,budget750_ltm2,tierC_g556,g556_c063174,g556_c063174,g556_c063174,3c9d5a24c558ce8535605701fa5419202f45f598e25eeb1c09eb6b3c4109b173,g556_c063174,,,,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0
g566_three_tier_smoke_00000003,three_tier_smoke,g566_valid_000001,g566_valid_000001,6a372283051e4fcdec75d7cf9e956dcf7c05cc0ea0ec0fe99e22f64745935b91,3694d156d760440f835c4d218814c29ebc0d77acf6dfb7b5ce2a7ac1da1a04f9,ac958d7c2807e01cc4ecbb0e95aaee5db62d7db95ca4e63c29196ffde483e86e,f1c8233a0eb8b82d3b2e4bc1ed1e3d19cb5f1b472729220543dededb79b9852e,71362299176d059895d682a8467b6013807bdc5fdd11c76168ce855dc2cc7164,3355b34f6ae0428827b2f400c63d1eb6c795b8d437ed4b8c74e19609af867747,TRAIN,g566-maze-64x32-b-v2,maze,12,12,566000002,1500,1500,1500,1.5,3,budget1500_ltm3,tierA_additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,force_additive=1|enable_dual_channel=0,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g566_three_tier_smoke_00000004,three_tier_smoke,g566_valid_000001,g566_valid_000001,6a372283051e4fcdec75d7cf9e956dcf7c05cc0ea0ec0fe99e22f64745935b91,3694d156d760440f835c4d218814c29ebc0d77acf6dfb7b5ce2a7ac1da1a04f9,2ffa3cc0909a1727911baa287667964ce4a2c0854aa9f68a0f0eadc6bb9d2b4a,f1c8233a0eb8b82d3b2e4bc1ed1e3d19cb5f1b472729220543dededb79b9852e,71362299176d059895d682a8467b6013807bdc5fdd11c76168ce855dc2cc7164,3355b34f6ae0428827b2f400c63d1eb6c795b8d437ed4b8c74e19609af867747,TRAIN,g566-maze-64x32-b-v2,maze,12,12,566000002,1500,1500,1500,1.5,3,budget1500_ltm3,tierB_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,5849d147370f7ad5e2067756372a392931f380df57e5b96ec989580eab2ee9eb,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,,,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.95|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.0|alpha_flow_wait_progress=1.0|rho_cong_decay=0.95|rho_flow_decay=1.0|lambda_cong=1.0|lambda_flow=1.0|min_edge_cost=1.0|max_edge_cost=11.0|goal_projection_mode=flow_shield|flow_shield_beta=0.35|max_flow_shield=0.75,False,False,False,False,False,1.25,1.25,1.25,0.75,0.75,1.0,1.0,0.95,1.0,1.0,1.0,0.35,0.75,1.0,11.0,1,0,0
g566_three_tier_smoke_00000005,three_tier_smoke,g566_valid_000001,g566_valid_000001,6a372283051e4fcdec75d7cf9e956dcf7c05cc0ea0ec0fe99e22f64745935b91,3694d156d760440f835c4d218814c29ebc0d77acf6dfb7b5ce2a7ac1da1a04f9,e3259c879dd29a0313f5f32eb1cd6f61f636bf15a1a14a59d91d065dc6c019bd,f1c8233a0eb8b82d3b2e4bc1ed1e3d19cb5f1b472729220543dededb79b9852e,71362299176d059895d682a8467b6013807bdc5fdd11c76168ce855dc2cc7164,3355b34f6ae0428827b2f400c63d1eb6c795b8d437ed4b8c74e19609af867747,TRAIN,g566-maze-64x32-b-v2,maze,12,12,566000002,1500,1500,1500,1.5,3,budget1500_ltm3,tierC_g556,g556_c063174,g556_c063174,g556_c063174,211e265b4935344feb0534ad1382f383d45d167037197209ca235d2af8261549,g556_c063174,,,,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0
g566_three_tier_smoke_00000006,three_tier_smoke,g566_valid_000002,g566_valid_000002,8c0b2665d736db96cfa92b8f6a13e7e9e1bdb9373dabc66c1559b472fbab1929,dc17c05964f1d2c5ef658ba4bf5d9a93f6fd06dc0a3802582bb914fca158ed04,9dc6884ddab15f94ec169c43dd3305e8d231745988ffa0af5c663f5b1b818574,7c1578491e1269254c5e2bdaa32221deb080ac9936bd399a9e891fb9d4f060fd,801cf14e87154972412e366a8b6e17e1dcf74feb8d43cee5ea8834c7a206076b,923a3685c76865264999fff0625d1c269ca979869a16003dc90a1f8475514d37,TRAIN,g566-room-48x48-a-v3,room,16,16,566000003,3000,3000,3000,3.0,4,budget3000_ltm4,tierA_additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,force_additive=1|enable_dual_channel=0,False,False,False,False,False,,,,,,,,,,,,,,,,,,
g566_three_tier_smoke_00000007,three_tier_smoke,g566_valid_000002,g566_valid_000002,8c0b2665d736db96cfa92b8f6a13e7e9e1bdb9373dabc66c1559b472fbab1929,dc17c05964f1d2c5ef658ba4bf5d9a93f6fd06dc0a3802582bb914fca158ed04,d52214769e1e4286e5a64672d3e5ecc30cb95a5287324f533cd4744f7f6f2b35,7c1578491e1269254c5e2bdaa32221deb080ac9936bd399a9e891fb9d4f060fd,801cf14e87154972412e366a8b6e17e1dcf74feb8d43cee5ea8834c7a206076b,923a3685c76865264999fff0625d1c269ca979869a16003dc90a1f8475514d37,TRAIN,g566-room-48x48-a-v3,room,16,16,566000003,3000,3000,3000,3.0,4,budget3000_ltm4,tierB_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,c0d4aee7e6c6992550395546500ebc946bd9a6fdaa3620e248f4e398db71a493,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,,,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.95|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.0|alpha_flow_wait_progress=1.0|rho_cong_decay=0.95|rho_flow_decay=1.0|lambda_cong=1.0|lambda_flow=1.0|min_edge_cost=1.0|max_edge_cost=11.0|goal_projection_mode=flow_shield|flow_shield_beta=0.35|max_flow_shield=0.75,False,False,False,False,False,1.25,1.25,1.25,0.75,0.75,1.0,1.0,0.95,1.0,1.0,1.0,0.35,0.75,1.0,11.0,1,0,0
g566_three_tier_smoke_00000008,three_tier_smoke,g566_valid_000002,g566_valid_000002,8c0b2665d736db96cfa92b8f6a13e7e9e1bdb9373dabc66c1559b472fbab1929,dc17c05964f1d2c5ef658ba4bf5d9a93f6fd06dc0a3802582bb914fca158ed04,ceaae00195b04709f722cb3f06546a84b500034d5ac7468f30103004ae6e53cf,7c1578491e1269254c5e2bdaa32221deb080ac9936bd399a9e891fb9d4f060fd,801cf14e87154972412e366a8b6e17e1dcf74feb8d43cee5ea8834c7a206076b,923a3685c76865264999fff0625d1c269ca979869a16003dc90a1f8475514d37,TRAIN,g566-room-48x48-a-v3,room,16,16,566000003,3000,3000,3000,3.0,4,budget3000_ltm4,tierC_g556,g556_c063174,g556_c063174,g556_c063174,2e155f55e743c6799d04a86b69f77080a71d7ff5b3ddddce4f6a9746a36b8ed1,g556_c063174,,,,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0
g566_three_tier_smoke_00000009,three_tier_smoke,g566_valid_000003,g566_valid_000003,98a02a229ec3727a9d431f2ef1f467c2333cabcdf1e0e16965b4e9b0f3efd81a,9f46569ffb6b95d6baafe1cafceaa9c540831fd3f322a6d543da00d8467cd80f,7e5767665d9040c7f80bec07eac5e34933cbbde62b8262889ae63bf945e70d4c,e0603561b3bfcafb804a53b0cfa59970054984ff3085891dc864c7a47c37d1dd,8f9329efb8df034c1c68c88e87221ea4952a36b3dcad382ebc6d941c647ce2f0,aa80d37d0731201285f2d57ce77fa105dd811b2c149604accef8d0408c30be5a,TRAIN,g566-warehouse-20x10-a-v0,warehouse,24,24,566000004,8000,8000,8000,8.0,8,budget8000_ltm8,tierA_additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_faithful_additive_ltm,,,,force_additive=1|enable_dual_channel=0,False,False,False,False,False,,,,,,,,,,,,,,,,,,
