replay_phase,map,agents,seed,budget_ms,horizon_id,g561_instance_uid,g561_evaluation_uid,g561_identity_digest,g561_scenario_sha256,theta_id,method,model_path,baseline_id,candidate_success,baseline_success,success_regression,success_gain,both_success,both_fail,quality_delta_vs_g556,quality_delta_vs_additive,candidate_recognized,fingerprint_match,scenario_hash_match,identity_retained,cost_finite,candidate_runtime_ms,baseline_runtime_ms,runtime_overhead_ms,candidate_expanded_nodes,baseline_expanded_nodes,candidate_low_level_pibt_calls,baseline_low_level_pibt_calls,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
architecture_replay,maze-32-32-4,64,9140,500,g561_replay_maze_a64_b500_i2,829ba71cfa738c45b22b385c4887a09b1a6d02a1d10fc82e823a9f135fa4a03e,c0527aadaecd924318e611f86cb4b92a876a034a1487472c7825debb43b46077,b63751676827dc3e7d413694581114033c2297e76a31586332b1f265f59b4536,1205045a98507d8250fd3fd71320d531026d9d448beef26108f0d5bf1f720a2f,g561_f6_full_goal_aware_dual_channel_actor_7964106d3ea6,F6_full_goal_aware_dual_channel_actor,artifacts/models/gcst/g561_f6_full_goal_aware_dual_channel_actor_seed561.pt,g556_c063174,True,True,False,False,True,False,0.041601255889999855,-0.050627943490000105,True,True,True,True,True,7.992795,14.095398,-6.102602999999999,92,92,5824,5824,1.249830961227417,1.1580561399459839,1.3569309711456299,0.7500074505805969,0.7501763105392456,0.7980465888977051,1.0080163478851318,0.9501047134399414,1.0,0.9460613131523132,0.6500292420387268,0.57462078332901,1.2317135334014893,1.0,10.793111801147461,False,False,False,False,False
architecture_replay,maze-32-32-4,64,9140,500,g561_replay_maze_a64_b500_i2,829ba71cfa738c45b22b385c4887a09b1a6d02a1d10fc82e823a9f135fa4a03e,9bd0f0fbe8cb21ff66968c7ad8896d68496411cab9eeb419143e6f3ee9ac9a20,cad4cb65845cef50ec1562835cc039d3ef010e91d2c3ab12045fa8b39a03062e,1205045a98507d8250fd3fd71320d531026d9d448beef26108f0d5bf1f720a2f,g561_f7_full_goal_aware_actor_training_critic_ae76a464b2d9,F7_full_goal_aware_actor_training_critic,artifacts/models/gcst/g561_f7_full_goal_aware_actor_training_critic_seed561.pt,g556_c063174,True,True,False,False,True,False,0.1295133438,0.037284144420000054,True,True,True,True,True,8.481612,14.095398,-5.613785999999999,129,92,8192,5824,1.2498574256896973,1.157944679260254,1.2952467203140259,0.7499852180480957,0.7501662969589233,0.802084743976593,1.0654209852218628,0.9450736045837402,1.0,0.9279083013534546,0.6501337289810181,0.6141911745071411,1.2893707752227783,1.0,10.793121337890625,False,False,False,False,False
architecture_replay,maze-32-32-4,64,9149,1000,g561_replay_maze_a64_b1000_i3,681169013d3842d1c1478c3e8c80c434d78f455d49efceb96c4671544c059eae,4aeb855f07fb8544b3eae0e0b89db8b20a8948a8b931d6398faf60b03a4a523f,041e1a24dde06ddedef412c7e7908e67478baf1a24d7a50e28827f275bce0c9f,41d0dbe615bd8298512bdc13e737cff010292b3941401dc6bb90f9cbc5747b76,g561_f1_scalar_conservative_actor_6ecc833abc45,F1_scalar_conservative_actor,artifacts/models/gcst/g561_f1_scalar_conservative_actor_seed561.pt,g556_c063174,True,True,False,False,True,False,0.08248299320000019,-0.036139455779999885,True,True,True,True,True,11.657232,8.934948,2.722284,99,124,6272,7872,1.2499492168426514,1.1580148935317993,1.3269333839416504,0.7500751614570618,0.7500095367431641,0.8014572858810425,1.0325281620025635,0.950041651725769,1.0,0.9303710460662842,0.6500155925750732,0.5741053819656372,1.231497883796692,1.0,10.793135643005371,False,False,False,False,False
architecture_replay,maze-32-32-4,64,9149,1000,g561_replay_maze_a64_b1000_i3,681169013d3842d1c1478c3e8c80c434d78f455d49efceb96c4671544c059eae,0047d39d7dbf607dfe4d87d5209b0d7752beb1eb5a22940518b45c7b106a24a1,3a6383253b7f7e8bf8f0216db9df0409185c8c6ed9b367c270a918dce7c81412,41d0dbe615bd8298512bdc13e737cff010292b3941401dc6bb90f9cbc5747b76,g561_f4_graph_paired_od_actor_082fdd93568c,F4_graph_paired_od_actor,artifacts/models/gcst/g561_f4_graph_paired_od_actor_seed561.pt,g556_c063174,True,True,False,False,True,False,0.11181972789000016,-0.006802721089999908,True,True,True,True,True,8.609098,8.934948,-0.32585000000000086,123,124,7808,7872,1.250084400177002,1.1580331325531006,1.3860526084899902,0.7497920989990234,0.7501850724220276,0.7865933179855347,1.0264570713043213,0.9500828385353088,1.0,0.924811601638794,0.6500645875930786,0.5741838216781616,1.2306058406829834,1.0,10.793314933776855,False,False,False,False,False
architecture_replay,maze-32-32-4,64,9149,1000,g561_replay_maze_a64_b1000_i3,681169013d3842d1c1478c3e8c80c434d78f455d49efceb96c4671544c059eae,f2d071a2e22f3dc6995b96105cdc2796ccf73fcaa7d3bc7b53b6cff1b3ef9946,b95b3d7245df500e3492862fc41057be70993cf3dd37620e0aa5ad6389feb845,41d0dbe615bd8298512bdc13e737cff010292b3941401dc6bb90f9cbc5747b76,g561_f6_full_goal_aware_dual_channel_actor_c79c459ed1f5,F6_full_goal_aware_dual_channel_actor,artifacts/models/gcst/g561_f6_full_goal_aware_dual_channel_actor_seed561.pt,g556_c063174,True,True,False,False,True,False,0.09651360543999998,-0.02210884354000009,True,True,True,True,True,8.609307,8.934948,-0.32564100000000096,119,124,7552,7872,1.2498188018798828,1.1580485105514526,1.34401273727417,0.7500102519989014,0.7501798272132874,0.7979163527488708,1.0133171081542969,0.9500923752784729,1.0,0.9412360191345215,0.6500211358070374,0.5746827125549316,1.2318074703216553,1.0,10.793074607849121,False,False,False,False,False
architecture_replay,maze-32-32-4,64,9149,1000,g561_replay_maze_a64_b1000_i3,681169013d3842d1c1478c3e8c80c434d78f455d49efceb96c4671544c059eae,4ac3358cea7c4d16af399144bab9749119ecf5020a5217b677f77096b5009c18,0167fb16120132a5db11a44278ce812a17f3789ee4cf54e0ca4c61baf91af402,41d0dbe615bd8298512bdc13e737cff010292b3941401dc6bb90f9cbc5747b76,g561_f7_full_goal_aware_actor_training_critic_6648a22b5388,F7_full_goal_aware_actor_training_critic,artifacts/models/gcst/g561_f7_full_goal_aware_actor_training_critic_seed561.pt,g556_c063174,True,True,False,False,True,False,0.09863945578000011,-0.019982993199999965,True,True,True,True,True,8.068284,8.934948,-0.8666640000000001,90,124,5696,7872,1.2498260736465454,1.1579747200012207,1.2575511932373047,0.7499629259109497,0.7501899600028992,0.8022438287734985,1.0792895555496216,0.945083498954773,1.0,0.8897932767868042,0.6501646637916565,0.6141259670257568,1.2883758544921875,1.0,10.793095588684082,False,False,False,False,False
architecture_replay,maze-32-32-4,64,9158,2000,g561_replay_maze_a64_b2000_i4,6918e0f4eab041e2311be6fbfb86c7f4851c3cc60e8843db517375d1ac1a9046,944c10854d063aaa57b94d16040395a11f37fd6f7f5dd507c07a60871fea5074,b44249dd0004fa5b0d75813fb899e7e2f0ce380cb7c018bfe7181560624a93f9,a0ae9868c62462f2b4b53872263db7b16367af4efe6b346551a77ecaadffd696,g561_f1_scalar_conservative_actor_b0886a60ecec,F1_scalar_conservative_actor,artifacts/models/gcst/g561_f1_scalar_conservative_actor_seed561.pt,g556_c063174,True,True,False,False,True,False,0.019792016110000032,-0.10197920161000007,True,True,True,True,True,8.209179,8.894481,-0.6853020000000001,103,98,6528,6208,1.2499442100524902,1.1580196619033813,1.326021671295166,0.7500665783882141,0.7500150799751282,0.8013661503791809,1.032611608505249,0.9500414729118347,1.0,0.9304662942886353,0.6500173807144165,0.574106752872467,1.2315012216567993,1.0,10.79311752319336,False,False,False,False,False
architecture_replay,maze-32-32-4,64,9158,2000,g561_replay_maze_a64_b2000_i4,6918e0f4eab041e2311be6fbfb86c7f4851c3cc60e8843db517375d1ac1a9046,decc44a31c7d74e9715ffa05fd8583b5cf117a79eb5bd92c22c0418e319d954f,9424bb02ce5af5eb0de362151d0562fdaa1ccf402b48962d48bd1264a6ec223a,a0ae9868c62462f2b4b53872263db7b16367af4efe6b346551a77ecaadffd696,g561_f4_graph_paired_od_actor_aa1042029848,F4_graph_paired_od_actor,artifacts/models/gcst/g561_f4_graph_paired_od_actor_seed561.pt,g556_c063174,True,True,False,False,True,False,0.031533042610000006,-0.0902381751100001,True,True,True,True,True,8.082963,8.894481,-0.8115180000000013,99,98,6272,6208,1.2500821352005005,1.1580545902252197,1.3894702196121216,0.7498020529747009,0.7501751780509949,0.7871622443199158,1.0261101722717285,0.9500841498374939,1.0,0.9255473613739014,0.6500692367553711,0.574170708656311,1.2305512428283691,1.0,10.793371200561523,False,False,False,False,False
architecture_replay,maze-32-32-4,64,9158,2000,g561_replay_maze_a64_b2000_i4,6918e0f4eab041e2311be6fbfb86c7f4851c3cc60e8843db517375d1ac1a9046,2f74cb2e6ae1689078a27a9c9aff1e172b33f41e74e72749f20310decb9eb3ff,eac99e7fbe0692fb76795f99726f67c38f662889b3e6e479a35836f2ba2e84f3,a0ae9868c62462f2b4b53872263db7b16367af4efe6b346551a77ecaadffd696,g561_f6_full_goal_aware_dual_channel_actor_e5d1f0d4df51,F6_full_goal_aware_dual_channel_actor,artifacts/models/gcst/g561_f6_full_goal_aware_dual_channel_actor_seed561.pt,g556_c063174,True,True,False,False,True,False,0.013418316010000098,-0.10835290171,True,True,True,True,True,8.404939,8.894481,-0.48954200000000014,96,98,6080,6208,1.249824047088623,1.1580626964569092,1.3712570667266846,0.7500015497207642,0.7501422762870789,0.7985104322433472,1.0005513429641724,0.9501201510429382,1.0,0.9510524272918701,0.6500293016433716,0.5745320916175842,1.2315888404846191,1.0,10.79313850402832,False,False,False,False,False
architecture_replay,maze-32-32-4,64,9158,2000,g561_replay_maze_a64_b2000_i4,6918e0f4eab041e2311be6fbfb86c7f4851c3cc60e8843db517375d1ac1a9046,ad1021d8b93d91df4ff97a70b6e563e558e11607500c33fee5e335a7f177d4d1,f91bcd548577d475c3b582ea435110873a127987bbbb12e651f2c4b277356e25,a0ae9868c62462f2b4b53872263db7b16367af4efe6b346551a77ecaadffd696,g561_f7_full_goal_aware_actor_training_critic_f51b21f084bb,F7_full_goal_aware_actor_training_critic,artifacts/models/gcst/g561_f7_full_goal_aware_actor_training_critic_seed561.pt,g556_c063174,True,True,False,False,True,False,0.03924857431000017,-0.08252264340999993,True,True,True,True,True,8.861031,8.894481,-0.0334500000000002,97,98,6144,6208,1.249864935874939,1.15792715549469,1.307059407234192,0.749977707862854,0.7501516342163086,0.8027563095092773,1.060420036315918,0.9450716972351074,1.0,0.9368340969085693,0.6501261591911316,0.6141987442970276,1.2895854711532593,1.0,10.793143272399902,False,False,False,False,False
