negative_control,should_fail,passed_negative_control,status,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
shuffled_label,True,False,not_used_for_selection,False,False,False,False,False
random_feature,True,False,not_used_for_selection,False,False,False,False,False
