candidate_id,map_family,agents,nominal_budget_ms,horizon_id,rows,success_regression_count_vs_g554_c00051,both_success_quality_pairs_vs_g554_c00051,quality_delta_mean_vs_g554_c00051,better_count_vs_g554_c00051,worse_count_vs_g554_c00051,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g556_c000930,random,50,500,stage1_short1000_t100_i4,4,0,4,-0.0233486913125,4,0,False,False,False,False,False
g556_c000984,random,100,1000,stage1_short1000_t050_i2,4,0,4,-0.01724575731,3,1,False,False,False,False,False
g556_c000984,random,100,1000,stage1_short1000_t050_i4,4,0,4,0.006927172645,2,2,False,False,False,False,False
g556_c000984,random,100,1000,stage1_short1000_t100_i2,6,0,6,-0.003220048525,3,2,False,False,False,False,False
g556_c000984,random,100,1000,stage1_short1000_t100_i4,3,0,3,-0.00539117173333,2,0,False,False,False,False,False
g556_c000984,random,100,2000,stage1_short1000_t050_i2,4,0,4,-0.0013853403675,2,1,False,False,False,False,False
g556_c000984,random,100,2000,stage1_short1000_t050_i4,3,0,3,0.00583380878667,1,2,False,False,False,False,False
g556_c000984,random,100,2000,stage1_short1000_t100_i2,2,0,2,0.00320350373,1,1,False,False,False,False,False
g556_c000984,random,100,2000,stage1_short1000_t100_i4,7,0,7,-0.00626423246571,2,3,False,False,False,False,False
g556_c000984,random,100,500,stage1_short1000_t050_i2,2,0,2,0.003754455585,1,1,False,False,False,False,False
g556_c000984,random,100,500,stage1_short1000_t050_i4,5,0,5,-0.016986872556,3,2,False,False,False,False,False
g556_c000984,random,100,500,stage1_short1000_t100_i2,5,0,5,-0.01623042933,3,1,False,False,False,False,False
g556_c000984,random,100,500,stage1_short1000_t100_i4,5,0,5,-0.013409536938,3,1,False,False,False,False,False
g556_c000984,random,50,1000,stage1_short1000_t050_i2,4,0,4,-0.0140007869425,3,1,False,False,False,False,False
g556_c000984,random,50,1000,stage1_short1000_t050_i4,5,0,5,-0.010177475908,4,1,False,False,False,False,False
g556_c000984,random,50,1000,stage1_short1000_t100_i2,4,0,4,-0.001965173265,2,2,False,False,False,False,False
g556_c000984,random,50,1000,stage1_short1000_t100_i4,3,0,3,9.815698e-05,2,1,False,False,False,False,False
g556_c000984,random,50,2000,stage1_short1000_t050_i2,7,0,7,0.00137549900286,2,4,False,False,False,False,False
