theta_field,old_actor_lower,old_actor_upper,canonical_lower,canonical_upper,canonical_baseline,bounds_changed,cpp_parser_name,registry_column_name,fingerprint_key,tolerance
theta_alpha_cong_commit_progress,0.0,2.0,0.0,1.5,1.25,True,alpha_cong_commit_progress,theta_alpha_cong_commit_progress,alpha_cong_commit_progress,1e-06
theta_alpha_cong_commit_nonprogress,0.0,2.0,0.5,1.75,1.1580041646957397,True,alpha_cong_commit_nonprogress,theta_alpha_cong_commit_nonprogress,alpha_cong_commit_nonprogress,1e-06
theta_alpha_cong_block,0.0,2.0,0.5,2.25,1.25,True,alpha_cong_block,theta_alpha_cong_block,alpha_cong_block,1e-06
theta_alpha_cong_wait_progress,0.0,2.0,0.0,1.25,0.75,True,alpha_cong_wait_progress,theta_alpha_cong_wait_progress,alpha_cong_wait_progress,1e-06
theta_alpha_cong_wait_nonprogress,0.0,2.0,0.0,1.75,0.75,True,alpha_cong_wait_nonprogress,theta_alpha_cong_wait_nonprogress,alpha_cong_wait_nonprogress,1e-06
theta_alpha_flow_commit_progress,0.0,2.0,0.0,1.5,1.040339708328247,True,alpha_flow_commit_progress,theta_alpha_flow_commit_progress,alpha_flow_commit_progress,1e-06
theta_alpha_flow_wait_progress,0.0,2.0,0.0,1.25,0.6932658553123474,True,alpha_flow_wait_progress,theta_alpha_flow_wait_progress,alpha_flow_wait_progress,1e-06
theta_rho_cong_decay,0.7,1.0,0.9,1.0,0.9799358248710632,True,rho_cong_decay,theta_rho_cong_decay,rho_cong_decay,1e-06
theta_rho_flow_decay,0.7,1.0,0.9,1.0,1.0,True,rho_flow_decay,theta_rho_flow_decay,rho_flow_decay,1e-06
theta_lambda_cong,0.0,2.0,0.5,1.5,0.6841553449630737,True,lambda_cong,theta_lambda_cong,lambda_cong,1e-06
theta_lambda_flow,0.0,2.0,0.0,1.5,0.6499999761581421,True,lambda_flow,theta_lambda_flow,lambda_flow,1e-06
theta_flow_shield_beta,0.0,1.0,0.0,0.8,0.3355112671852112,True,flow_shield_beta,theta_flow_shield_beta,flow_shield_beta,1e-06
theta_max_flow_shield,0.25,1.5,0.25,1.5,0.8590060472488403,False,max_flow_shield,theta_max_flow_shield,max_flow_shield,1e-06
theta_min_edge_cost,0.0,5.0,0.25,1.0,1.0,True,min_edge_cost,theta_min_edge_cost,min_edge_cost,1e-06
theta_max_edge_cost,1.0,12.0,8.0,12.0,10.79326343536377,True,max_edge_cost,theta_max_edge_cost,max_edge_cost,1e-06
theta_goal_projection_mode_flow_shield,0.0,1.0,0.0,1.0,1.0,False,goal_projection_mode,theta_goal_projection_mode_flow_shield,goal_projection_mode,1e-06
theta_goal_projection_mode_agent_progress,0.0,1.0,0.0,1.0,0.0,False,goal_projection_mode,theta_goal_projection_mode_agent_progress,goal_projection_mode,1e-06
theta_goal_projection_mode_none,0.0,1.0,0.0,1.0,0.0,False,goal_projection_mode,theta_goal_projection_mode_none,goal_projection_mode,1e-06
