map_family,candidate_id,paired_groups,better_count,equal_count,worse_count,mean_delta_ratio,median_delta_ratio,bootstrap_ci_low,bootstrap_ci_high,success_regression_count,actual_success_regression_count,candidate_harmful_count,expanded_node_regression_count,ttfs_regression,winner_stability_score,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze,repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,60,0,60,0,0,0,0,0,0,0,2,2,reported_if_available,0,False,False,False,False,False
maze,repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,60,0,60,0,0,0,0,0,0,0,2,2,reported_if_available,0,False,False,False,False,False
maze,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,60,1,59,0,-0.0002807017544,0,-0.000826273133516,0.000264869624716,0,0,2,2,reported_if_available,0.0166666666667,False,False,False,False,False
maze,repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,60,1,59,0,-0.00045543641185,0,-0.00134062172836,0.000429748904657,0,0,0,0,reported_if_available,0.0166666666667,False,False,False,False,False
maze,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,60,1,59,0,-0.0003545952123,0,-0.00102681381086,0.000317623386264,0,0,1,1,reported_if_available,0.0166666666667,False,False,False,False,False
maze,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,61,3,58,0,-0.00132867803166,0,-0.00287611232383,0.000218756260521,0,0,2,2,reported_if_available,0.0491803278689,False,False,False,False,False
maze,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,62,3,58,1,-0.000440130240403,0,-0.00180494982404,0.000924689343237,0,0,1,0,reported_if_available,0.0483870967742,False,False,False,False,False
maze,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,60,1,59,0,-0.0003408990095,0,-0.000938565631178,0.000256767612178,1,1,2,1,reported_if_available,0.0166666666667,False,False,False,False,False
maze,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,61,2,59,0,-0.000780053177361,0,-0.001850540934,0.000290434579276,0,0,1,1,reported_if_available,0.0327868852459,False,False,False,False,False
maze,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,60,1,59,0,-0.0002421307506,0,-0.000712735602407,0.000228474101207,0,0,1,1,reported_if_available,0.0166666666667,False,False,False,False,False
maze,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,233,17,215,1,-0.00179140563638,0,-0.00275886909692,-0.000823942175845,0,0,7,7,reported_if_available,0.0729613733906,False,False,False,False,False
maze,repair5g59_additive_fallback,318,0,318,0,0,0,0,0,0,0,0,0,reported_if_available,0,False,False,False,False,False
maze,repair5g59_block_heavy_flow_guard,131,9,122,0,-0.00350447935664,0,-0.00587320351835,-0.00113575519493,1,1,3,2,reported_if_available,0.0687022900763,False,False,False,False,False
maze,repair5g59_c_only_f_disabled,134,5,126,3,-0.000204920877239,0,-0.00159203805318,0.00118219629871,0,0,2,1,reported_if_available,0.0373134328358,False,False,False,False,False
maze,repair5g59_commit_heavy_flow_guard,131,10,121,0,-0.00365705395528,0,-0.00615959606726,-0.0011545118433,2,2,5,3,reported_if_available,0.0763358778626,False,False,False,False,False
maze,repair5g59_flow_decay,301,28,273,0,-0.00390963024865,0,-0.00563651981994,-0.00218274067735,0,0,5,5,reported_if_available,0.093023255814,False,False,False,False,False
maze,repair5g59_high_beta_cap_safe,300,21,279,0,-0.00325370040457,0,-0.00483798955051,-0.00166941125863,1,1,6,5,reported_if_available,0.07,False,False,False,False,False
maze,repair5g59_light_cong_light_flow,132,8,123,1,-0.00146196409621,0,-0.00274615388828,-0.000177774304148,0,0,1,1,reported_if_available,0.0606060606061,False,False,False,False,False
maze,repair5g59_low_beta_high_cap,131,9,121,1,-0.00479757889321,0,-0.00821886000368,-0.00137629778273,1,1,3,2,reported_if_available,0.0687022900763,False,False,False,False,False
maze,repair5g59_static_flow_shield,304,26,278,0,-0.00313122959816,0,-0.00448866012371,-0.00177379907261,1,1,5,4,reported_if_available,0.0855263157895,False,False,False,False,False
maze,repair5g59_wait_aggressive,133,11,122,0,-0.0035795854788,0,-0.00595765327595,-0.00120151768164,2,2,3,1,reported_if_available,0.0827067669173,False,False,False,False,False
maze,repair5g59_wait_conservative,301,26,275,0,-0.00351635745071,0,-0.00504586641717,-0.00198684848426,0,0,5,5,reported_if_available,0.0863787375415,False,False,False,False,False
random,repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,62,0,62,0,0,0,0,0,2,2,5,3,reported_if_available,0,False,False,False,False,False
random,repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,65,0,64,1,0.00279381635308,0,-0.00263977827809,0.00822741098424,3,3,6,2,reported_if_available,0,False,False,False,False,False
random,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,69,2,66,1,-0.00120097556145,0,-0.00406274004448,0.00166078892158,1,1,2,0,reported_if_available,0.0289855072464,False,False,False,False,False
random,repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,64,1,63,0,-0.000271118721563,0,-0.000798343565638,0.000256106122513,1,1,3,2,reported_if_available,0.015625,False,False,False,False,False
random,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,65,2,63,0,-0.00214117898523,0,-0.00579157129396,0.00150921332349,1,1,3,2,reported_if_available,0.0307692307692,False,False,False,False,False
random,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,64,1,63,0,-0.000253150315,0,-0.000745433306689,0.000239132676689,1,1,2,1,reported_if_available,0.015625,False,False,False,False,False
random,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,67,2,65,0,-0.00212707394134,0,-0.0056839207796,0.00142977289691,0,0,1,1,reported_if_available,0.0298507462687,False,False,False,False,False
random,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,68,3,65,0,-0.00296593546206,0,-0.00685148614117,0.00091961521705,1,1,1,0,reported_if_available,0.0441176470588,False,False,False,False,False
random,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,66,3,63,0,-0.00180682181909,0,-0.00396298739599,0.000349343757813,0,0,2,2,reported_if_available,0.0454545454545,False,False,False,False,False
random,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,70,3,67,0,-0.00255513580614,0,-0.00608539252214,0.00097512090985,0,0,2,2,reported_if_available,0.0428571428571,False,False,False,False,False
random,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,258,14,243,1,-0.00170980398913,0,-0.00294966262192,-0.000469945356339,6,6,11,5,reported_if_available,0.0542635658915,False,False,False,False,False
random,repair5g59_additive_fallback,339,0,339,0,0,0,0,0,0,0,0,0,reported_if_available,0,False,False,False,False,False
