instance_uid,physical_map_sha256,map,map_family,split,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
8d5f976985460083476b657ef8ada278e3a0cadf4498ba10556f481f751d184e,fb119aacaf305ebcce9e07dd0659ab15f993a9486d1697355aeabc66dac86ab0,g559-synth-string-40,irregular_bottleneck,heldout,False,False,False,False,False
ef809d20a19bdccee1a43d83e6691de9e1231a1dfc88e1f76ff9e39e85f507a3,457bd56b8871e489dbd82a0563cc4509b2ab2ac2cc3d21ee44f9fc87add3bc4f,g559-synth-tunnel-38,irregular_bottleneck,train,False,False,False,False,False
d690a367656b0931b81bea41d31ca3a7a20391b01a9da80728907cd5b08e90e8,81fd9752b406bc567b72d22846c6720c24ee9d5a4c186f373f8729fcf70493aa,room-40-32-8,room,train,False,False,False,False,False
9c3a1d4f960a321682172e15050378cba07762efbdfa26b76d143ed7a01b68bf,2185f788d0e510a82194855d7ac44ffd2ef0c59ad334345e4dd6a29c52a569cc,random-8-8-20,random,train,False,False,False,False,False
8e6cac9e1605008b88ed2c046f629adf12f308442f99e7342cdcefa87be19961,a239412a61015e89d0a73526ad7fa1e554931ce6416e2a2e037c8552a5438927,g559-synth-game-den-32,game,validation,False,False,False,False,False
f6687e90a969bce165bd97f3ee3aade46c9f937830fe241e20b532a6f4dfdc80,1a385655eefa597ff90a1b67c4953fe9452091ff2b8a377cef7c505f6be9b673,maze-36-32-4,maze,validation,False,False,False,False,False
7926f66ee6c531299c62301e7f85bcbb4d9f075fb24b931acc1beac8cbf0d10f,fb119aacaf305ebcce9e07dd0659ab15f993a9486d1697355aeabc66dac86ab0,g559-synth-string-40,irregular_bottleneck,heldout,False,False,False,False,False
8894c845ef3cb87a6a651c7f5e4838c4f534d968ce3fdee9ab8d3dd59161adac,726bdb48f5e308daa9df7017c3497369e61e39c16da3ed88a77a4665c29a4557,random-32-32-20,random,validation,False,False,False,False,False
cdbfe2fba25f023080bd45453c474b5d37d77a4dae0164f2a1c111a68452b720,705cdf48a35a0295bf5a8e5af285b169482d88764daa4b987519558109fa0dc3,g559-synth-loop-chain-36,irregular_bottleneck,train,False,False,False,False,False
83f9592ee2ca9c152d1e2ae4bb43a4f5ad8c5190a3ad5c4c19d775cbc679bf5c,fb119aacaf305ebcce9e07dd0659ab15f993a9486d1697355aeabc66dac86ab0,g559-synth-string-40,irregular_bottleneck,heldout,False,False,False,False,False
3b8585ad363af7b07caa70b5d91595ba57038235337487cffded4220da2890c5,5254a343a7522f22640390a6fa1428d1f6ca6c9523a15c311ab0b8a3c275d855,maze-32-32-2,maze,validation,False,False,False,False,False
c9a738e41fad0fb2ab420cda6d0ed203ff954aa7e4cedcd5998030c293744abc,a239412a61015e89d0a73526ad7fa1e554931ce6416e2a2e037c8552a5438927,g559-synth-game-den-32,game,validation,False,False,False,False,False
583c669bced5b19bfe3680b8947207096db559c84a27e159a0974b85c92573b4,3d8211e6194a40724c7ffe8c552d48777ac9d2b767bf94623ae9f0c376a447f4,g559-synth-game-lak-32,game,train,False,False,False,False,False
c57affd60ef0176bef7c595c46e64b100197a7ee4d2dd2e0d34912cc7318d2fe,a239412a61015e89d0a73526ad7fa1e554931ce6416e2a2e037c8552a5438927,g559-synth-game-den-32,game,validation,False,False,False,False,False
e20d4240aea5262db75bbf00dfe9fb316e9edf9a904896706b9d66d052e3bffb,1c1b857d15592c2c961bfed474b7064f6987b3b7a20765061cd9d2210a727c6c,empty-16-16,empty,validation,False,False,False,False,False
