group_type,group_value,threshold,sample_count,harmful_count,predicted_harmful_count,tp,fp,fn,precision,recall,f1,fallback_rate,mean_delta_no_gate,mean_delta_after_gate,mean_delta_loss_from_gate
all,all,0.0,2985,1427,2985,1427,1558,0,0.47805695142378557,1.0,0.6468721668177697,1.0,0.02464643390567516,0.0,0.02464643390567516
all,all,0.05,2985,1427,2898,1424,1474,3,0.4913733609385783,0.9978976874562018,0.6584971098265896,0.9708542713567839,0.02464643390567516,0.0010908761337245527,0.023555557771950605
all,all,0.1,2985,1427,2781,1414,1367,13,0.5084501977705861,0.9908899789768746,0.6720532319391633,0.9316582914572864,0.02464643390567516,0.0016883751404080426,0.022958058765267117
all,all,0.15,2985,1427,2641,1394,1247,33,0.5278303672851192,0.9768745620182201,0.6853490658800393,0.8847571189279732,0.02464643390567516,0.0028666270271381065,0.02177980687853705
all,all,0.2,2985,1427,2521,1376,1145,51,0.5458151527171757,0.964260686755431,0.6970618034447822,0.8445561139028476,0.02464643390567516,0.004591807929447854,0.020054625976227307
all,all,0.25,2985,1427,2360,1343,1017,84,0.5690677966101695,0.9411352487736511,0.7092685503036705,0.7906197654941374,0.02464643390567516,0.0051768143812827945,0.019469619524392363
all,all,0.3,2985,1427,2188,1294,894,133,0.5914076782449725,0.9067974772249474,0.715905947441217,0.732998324958124,0.02464643390567516,0.006011432816766764,0.018635001088908393
all,all,0.35,2985,1427,2014,1243,771,184,0.6171797418073486,0.8710581639803784,0.7224643998837549,0.6747068676716917,0.02464643390567516,0.007095756457088859,0.0175506774485863
all,all,0.4,2985,1427,1841,1175,666,252,0.6382400869092885,0.8234057463209531,0.7190942472460221,0.616750418760469,0.02464643390567516,0.0066436884862684994,0.01800274541940666
all,all,0.45,2985,1427,1624,1082,542,345,0.666256157635468,0.7582340574632095,0.7092756473287447,0.5440536013400336,0.02464643390567516,0.009354836230104644,0.015291597675570515
all,all,0.5,2985,1427,1445,1008,437,419,0.6975778546712803,0.7063770147161879,0.701949860724234,0.48408710217755446,0.02464643390567516,0.012074332094982222,0.012572101810692937
all,all,0.55,2985,1427,1254,911,343,516,0.726475279106858,0.6384022424667134,0.679597165236852,0.4201005025125628,0.02464643390567516,0.013636621452624368,0.01100981245305079
all,all,0.6,2985,1427,1089,804,285,623,0.7382920110192838,0.5634197617379118,0.6391096979332274,0.36482412060301506,0.02464643390567516,0.015474004536292125,0.009172429369383034
all,all,0.65,2985,1427,922,705,217,722,0.764642082429501,0.4940434477925718,0.6002554278416348,0.3088777219430486,0.02464643390567516,0.016843239462475342,0.0078031944431998165
all,all,0.7,2985,1427,754,591,163,836,0.7838196286472149,0.4141555711282411,0.5419532324621733,0.2525963149078727,0.02464643390567516,0.01869620984729285,0.00595022405838231
