feature,comparison,train_n,other_n,train_mean,other_mean,train_std,other_std,standardized_mean_diff,train_q10,other_q10,train_q50,other_q50,train_q90,other_q90
agents,validation_all,2526,459,177.90973871733968,177.77777777777777,129.03405588202784,128.95873698994617,0.0010229815528519286,50.0,50.0,100.0,100.0,400.0,400.0
agents,validation_map:empty-48-48,2526,240,177.90973871733968,187.5,129.03405588202784,134.0475661845451,0.07289388185039058,50.0,50.0,100.0,150.0,400.0,400.0
agents,validation_map:maze-32-32-4,2526,219,177.90973871733968,167.12328767123287,129.03405588202784,122.25595710117965,0.08581741227389802,50.0,50.0,100.0,100.0,400.0,400.0
free_cells,validation_all,2526,459,3921.210213776722,1581.6339869281046,6068.7239860806585,756.207304215889,0.54101471691925,666.0,790.0,1024.0,2304.0,5699.0,2304.0
free_cells,validation_map:empty-48-48,2526,240,3921.210213776722,2304.0,6068.7239860806585,0.0,0.3768635091622266,666.0,2304.0,1024.0,2304.0,5699.0,2304.0
free_cells,validation_map:maze-32-32-4,2526,219,3921.210213776722,790.0,6068.7239860806585,0.0,0.7296756222759188,666.0,790.0,1024.0,790.0,5699.0,790.0
density,validation_all,2526,459,0.15419380954677253,0.14348663164281175,0.17815913572758635,0.13199846839216195,0.06829127238103218,0.013561160835367507,0.021701388888888888,0.07507507507507508,0.08680555555555555,0.43383947939262474,0.25316455696202533
density,validation_map:empty-48-48,2526,240,0.15419380954677253,0.08138020833333347,0.17815913572758635,0.058180367267597795,0.5494338728983462,0.013561160835367507,0.021701388888888888,0.07507507507507508,0.06510416666666666,0.43383947939262474,0.1736111111111111
density,validation_map:maze-32-32-4,2526,219,0.15419380954677253,0.21154846540662386,0.17815913572758635,0.15475437607744255,0.3437135457698567,0.013561160835367507,0.06329113924050633,0.07507507507507508,0.12658227848101267,0.43383947939262474,0.5063291139240507
map_width,validation_all,2526,459,77.97980997624703,40.36601307189542,84.95050016538316,7.991622765821819,0.6234231949533926,32.0,32.0,32.0,48.0,161.0,48.0
map_width,validation_map:empty-48-48,2526,240,77.97980997624703,48.0,84.95050016538316,0.0,0.4990889257065686,32.0,48.0,32.0,48.0,161.0,48.0
map_width,validation_map:maze-32-32-4,2526,219,77.97980997624703,32.0,84.95050016538316,0.0,0.7654489465883534,32.0,32.0,32.0,32.0,161.0,32.0
map_height,validation_all,2526,459,51.03206650831354,40.36601307189542,27.87156951834615,7.991622765821819,0.5202363611110866,32.0,32.0,32.0,48.0,64.0,48.0
map_height,validation_map:empty-48-48,2526,240,51.03206650831354,48.0,27.87156951834615,0.0,0.15384815610228633,32.0,48.0,32.0,48.0,64.0,48.0
