replay_phase,plan_row_id,context_id,candidate_id,agent_count,budget_role,solver_internal_time_limit_sec,process_hard_timeout_sec,expected_process_hard_timeout_sec,explicit_internal_budget,explicit_hard_timeout,uniform_30s_budget_contract_met,large_agent_30s_budget_contract_met,row_budget_audit_decision,row_budget_audit_failures,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000000,g567_gate3a_a5_00000,repair5g59_additive_fallback,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000001,g567_gate3a_a5_00000,repair5g59_static_flow_shield,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000002,g567_gate3a_a5_00000,g556_c063174,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000003,g567_gate3a_a5_00001,repair5g59_additive_fallback,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000004,g567_gate3a_a5_00001,repair5g59_static_flow_shield,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000005,g567_gate3a_a5_00001,g556_c063174,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000006,g567_gate3a_a5_00002,repair5g59_additive_fallback,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000007,g567_gate3a_a5_00002,repair5g59_static_flow_shield,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000008,g567_gate3a_a5_00002,g556_c063174,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000009,g567_gate3a_a5_00003,repair5g59_additive_fallback,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000010,g567_gate3a_a5_00003,repair5g59_static_flow_shield,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000011,g567_gate3a_a5_00003,g556_c063174,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000012,g567_gate3a_a5_00004,repair5g59_additive_fallback,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000013,g567_gate3a_a5_00004,repair5g59_static_flow_shield,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000014,g567_gate3a_a5_00004,g556_c063174,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000015,g567_gate3a_a5_00005,repair5g59_additive_fallback,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000016,g567_gate3a_a5_00005,repair5g59_static_flow_shield,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000017,g567_gate3a_a5_00005,g556_c063174,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000018,g567_gate3a_a5_00006,repair5g59_additive_fallback,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000019,g567_gate3a_a5_00006,repair5g59_static_flow_shield,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000020,g567_gate3a_a5_00006,g556_c063174,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000021,g567_gate3a_a5_00007,repair5g59_additive_fallback,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000022,g567_gate3a_a5_00007,repair5g59_static_flow_shield,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000023,g567_gate3a_a5_00007,g556_c063174,32,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000024,g567_gate3a_a5_00008,repair5g59_additive_fallback,256,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000025,g567_gate3a_a5_00008,repair5g59_static_flow_shield,256,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000026,g567_gate3a_a5_00008,g556_c063174,256,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000027,g567_gate3a_a5_00009,repair5g59_additive_fallback,256,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000028,g567_gate3a_a5_00009,repair5g59_static_flow_shield,256,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
gate3a_true_a5_checkpoint_smoke,g567_gate3a_true_a5_checkpoint_smoke_00000029,g567_gate3a_a5_00009,g556_c063174,256,uniform_30s_all_agent_tiers_primary_exact,30.0,60.0,60.0,True,True,True,True,pass,,False,False,False,False,False
