group_type,group_value,target_rule,predicted_rule,target_family,predicted_family,correct_rule,correct_family,count
agents,200,block_heavy,decay_090,block,decay,0,0,1
agents,200,commit_heavy,decay_090,commit,decay,0,0,1
agents,200,decay_095,block_heavy,decay,block,0,0,1
agents,200,decay_095,decay_095,decay,decay,1,1,1
agents,200,neutral_additive,decay_090,additive_or_neutral,decay,0,0,1
agents,200,neutral_additive,decay_095,additive_or_neutral,decay,0,0,1
agents,200,neutral_additive,wait_heavy,additive_or_neutral,wait,0,0,1
agents,200,wait_heavy,block_light,wait,block,0,0,1
agents,200,wait_light,decay_090,wait,decay,0,0,1
agents,200,wait_light,decay_095,wait,decay,0,0,1
agents,400,neutral_additive,neutral_additive,additive_or_neutral,additive_or_neutral,1,1,124
agents,400,wait_light,wait_light,wait,wait,1,1,84
agents,400,commit_heavy,commit_heavy,commit,commit,1,1,65
agents,400,block_heavy,block_heavy,block,block,1,1,39
agents,400,neutral_additive,wait_light,additive_or_neutral,wait,0,0,32
agents,400,neutral_additive,commit_heavy,additive_or_neutral,commit,0,0,30
agents,400,block_heavy,neutral_additive,block,additive_or_neutral,0,0,25
agents,400,commit_heavy,neutral_additive,commit,additive_or_neutral,0,0,23
agents,400,block_heavy,wait_light,block,wait,0,0,21
agents,400,commit_heavy,wait_light,commit,wait,0,0,18
agents,400,wait_light,neutral_additive,wait,additive_or_neutral,0,0,18
agents,400,neutral_additive,block_heavy,additive_or_neutral,block,0,0,13
agents,400,block_light,wait_light,block,wait,0,0,12
agents,400,block_light,block_light,block,block,1,1,11
agents,400,commit_heavy,block_heavy,commit,block,0,0,11
agents,400,block_heavy,commit_heavy,block,commit,0,0,9
agents,400,block_light,neutral_additive,block,additive_or_neutral,0,0,9
agents,400,decay_090,wait_light,decay,wait,0,0,8
agents,400,wait_heavy,wait_heavy,wait,wait,1,1,8
agents,400,decay_090,commit_heavy,decay,commit,0,0,6
agents,400,decay_090,decay_090,decay,decay,1,1,6
agents,400,decay_095,wait_light,decay,wait,0,0,6
agents,400,neutral_additive,block_light,additive_or_neutral,block,0,0,6
agents,400,wait_heavy,commit_heavy,wait,commit,0,0,6
agents,400,wait_light,commit_heavy,wait,commit,0,0,6
agents,400,commit_heavy,block_light,commit,block,0,0,5
agents,400,wait_light,block_light,wait,block,0,0,5
agents,400,block_light,commit_heavy,block,commit,0,0,4
agents,400,wait_heavy,wait_light,wait,wait,0,1,4
agents,400,wait_light,block_heavy,wait,block,0,0,4
agents,400,commit_heavy,decay_090,commit,decay,0,0,3
agents,400,decay_095,neutral_additive,decay,additive_or_neutral,0,0,3
agents,400,block_light,block_heavy,block,block,0,1,2
agents,400,decay_095,block_heavy,decay,block,0,0,2
agents,400,decay_095,commit_heavy,decay,commit,0,0,2
agents,400,wait_heavy,block_heavy,wait,block,0,0,2
agents,400,block_heavy,block_light,block,block,0,1,1
agents,400,block_heavy,decay_090,block,decay,0,0,1
agents,400,block_heavy,wait_heavy,block,wait,0,0,1
agents,400,block_light,wait_heavy,block,wait,0,0,1
agents,400,commit_heavy,wait_heavy,commit,wait,0,0,1
agents,400,decay_090,neutral_additive,decay,additive_or_neutral,0,0,1
agents,400,decay_095,block_light,decay,block,0,0,1
agents,400,decay_095,decay_090,decay,decay,0,1,1
agents,400,decay_095,decay_095,decay,decay,1,1,1
agents,400,neutral_additive,decay_090,additive_or_neutral,decay,0,0,1
agents,400,neutral_additive,wait_heavy,additive_or_neutral,wait,0,0,1
agents,400,wait_heavy,block_light,wait,block,0,0,1
agents,400,wait_heavy,neutral_additive,wait,additive_or_neutral,0,0,1
agents,50,neutral_additive,neutral_additive,additive_or_neutral,additive_or_neutral,1,1,180
agents,50,commit_heavy,commit_heavy,commit,commit,1,1,129
agents,50,block_heavy,block_heavy,block,block,1,1,66
agents,50,neutral_additive,commit_heavy,additive_or_neutral,commit,0,0,56
agents,50,block_heavy,neutral_additive,block,additive_or_neutral,0,0,55
agents,50,commit_heavy,neutral_additive,commit,additive_or_neutral,0,0,55
agents,50,wait_light,neutral_additive,wait,additive_or_neutral,0,0,30
agents,50,block_heavy,commit_heavy,block,commit,0,0,29
agents,50,neutral_additive,block_heavy,additive_or_neutral,block,0,0,28
agents,50,wait_heavy,neutral_additive,wait,additive_or_neutral,0,0,16
agents,50,commit_heavy,block_heavy,commit,block,0,0,14
agents,50,wait_heavy,commit_heavy,wait,commit,0,0,14
agents,50,wait_heavy,block_heavy,wait,block,0,0,12
agents,50,wait_light,block_heavy,wait,block,0,0,12
agents,50,wait_light,wait_light,wait,wait,1,1,12
agents,50,block_light,neutral_additive,block,additive_or_neutral,0,0,9
agents,50,decay_095,neutral_additive,decay,additive_or_neutral,0,0,9
agents,50,wait_light,commit_heavy,wait,commit,0,0,8
agents,50,commit_heavy,wait_light,commit,wait,0,0,6
agents,50,decay_090,commit_heavy,decay,commit,0,0,5
agents,50,block_light,commit_heavy,block,commit,0,0,4
agents,50,decay_095,commit_heavy,decay,commit,0,0,4
agents,50,commit_heavy,decay_095,commit,decay,0,0,3
agents,50,decay_095,decay_095,decay,decay,1,1,3
agents,50,decay_095,wait_light,decay,wait,0,0,3
agents,50,neutral_additive,decay_095,additive_or_neutral,decay,0,0,3
agents,50,neutral_additive,wait_light,additive_or_neutral,wait,0,0,3
agents,50,wait_heavy,wait_light,wait,wait,0,1,3
agents,50,block_heavy,wait_light,block,wait,0,0,2
agents,50,block_light,wait_light,block,wait,0,0,2
