group_type,group_value,threshold,sample_count,harmful_count,predicted_harmful_count,tp,fp,fn,precision,recall,f1,fallback_rate,mean_delta_no_gate,mean_delta_after_gate,mean_delta_loss_from_gate
all,all,0.0,2985,1427,2985,1427,1558,0,0.47805695142378557,1.0,0.6468721668177697,1.0,0.024572441312171237,0.0,0.024572441312171237
all,all,0.05,2985,1427,2908,1427,1481,0,0.4907152682255846,1.0,0.6583621683967704,0.9742043551088777,0.024572441312171237,0.0018157641483351758,0.022756677163836062
all,all,0.1,2985,1427,2810,1417,1393,10,0.504270462633452,0.9929922915206727,0.6688694831248526,0.9413735343383585,0.024572441312171237,0.0029230632060177324,0.021649378106153506
all,all,0.15,2985,1427,2677,1401,1276,26,0.5233470302577512,0.9817799579537492,0.6827485380116959,0.8968174204355109,0.024572441312171237,0.003127732802009305,0.021444708510161933
all,all,0.2,2985,1427,2536,1377,1159,50,0.542981072555205,0.9649614576033637,0.6949280847842544,0.8495812395309883,0.024572441312171237,0.0038523792886193727,0.020720062023551866
all,all,0.25,2985,1427,2387,1340,1047,87,0.5613741097612065,0.9390329362298528,0.7026743576297849,0.7996649916247907,0.024572441312171237,0.004126907692171443,0.020445533619999793
all,all,0.3,2985,1427,2212,1295,917,132,0.5854430379746836,0.9074982480728802,0.71173399285518,0.7410385259631491,0.024572441312171237,0.005806398292365484,0.018766043019805754
all,all,0.35,2985,1427,2020,1238,782,189,0.6128712871287129,0.8675543097407148,0.7183057731360605,0.6767169179229481,0.024572441312171237,0.005705413887289759,0.01886702742488148
all,all,0.4,2985,1427,1835,1165,670,262,0.6348773841961853,0.8163980378416258,0.7142857142857143,0.6147403685092128,0.024572441312171237,0.008033021590368407,0.016539419721802832
all,all,0.45,2985,1427,1643,1092,551,335,0.664637857577602,0.7652417659425368,0.7114006514657981,0.5504187604690117,0.024572441312171237,0.006672054904437391,0.017900386407733847
all,all,0.5,2985,1427,1436,996,440,431,0.6935933147632312,0.6979677645409951,0.6957736639888229,0.48107202680067,0.024572441312171237,0.010662552712549534,0.013909888599621703
all,all,0.55,2985,1427,1252,900,352,527,0.7188498402555911,0.6306937631394534,0.671892497200448,0.41943048576214403,0.024572441312171237,0.01334566554948312,0.011226775762688117
all,all,0.6,2985,1427,1075,794,281,633,0.7386046511627907,0.5564120532585844,0.6346922462030375,0.3601340033500838,0.024572441312171237,0.01425130518442614,0.010321136127745097
all,all,0.65,2985,1427,915,696,219,731,0.760655737704918,0.4877365101611773,0.5943637916310844,0.3065326633165829,0.024572441312171237,0.016501557416329513,0.008070883895841725
all,all,0.7,2985,1427,753,592,161,835,0.7861885790172642,0.41485634197617377,0.5431192660550459,0.2522613065326633,0.024572441312171237,0.017446335224407104,0.007126106087764133
all,all,0.75,2985,1427,575,467,108,960,0.8121739130434783,0.32725998598458306,0.4665334665334666,0.19262981574539365,0.024572441312171237,0.020090885968214088,0.004481555343957149
all,all,0.8,2985,1427,375,319,56,1108,0.8506666666666667,0.2235459004905396,0.3540510543840178,0.12562814070351758,0.024572441312171237,0.021793538425701975,0.0027789028864692623
all,all,0.85,2985,1427,145,129,16,1298,0.8896551724137931,0.09039943938332165,0.16412213740458015,0.048576214405360134,0.024572441312171237,0.023978235166624652,0.0005942061455465851
all,all,0.9,2985,1427,39,35,4,1392,0.8974358974358975,0.02452697967764541,0.047748976807639835,0.01306532663316583,0.024572441312171237,0.023637493954629493,0.0009349473575417447
all,all,0.95,2985,1427,8,8,0,1419,1.0,0.005606166783461808,0.011149825783972125,0.002680067001675042,0.024572441312171237,0.0244760026801765,9.643863199473857e-05
all,all,1.0,2985,1427,0,0,0,1427,0.0,0.0,0.0,0.0,0.024572441312171237,0.024572441312171237,0.0
map,empty-16-16,0.0,180,133,180,133,47,0,0.7388888888888889,1.0,0.8498402555910544,1.0,0.0741223284942977,0.0,0.0741223284942977
map,empty-16-16,0.05,180,133,180,133,47,0,0.7388888888888889,1.0,0.8498402555910544,1.0,0.0741223284942977,0.0,0.0741223284942977
map,empty-16-16,0.1,180,133,180,133,47,0,0.7388888888888889,1.0,0.8498402555910544,1.0,0.0741223284942977,0.0,0.0741223284942977
map,empty-16-16,0.15,180,133,180,133,47,0,0.7388888888888889,1.0,0.8498402555910544,1.0,0.0741223284942977,0.0,0.0741223284942977
map,empty-16-16,0.2,180,133,180,133,47,0,0.7388888888888889,1.0,0.8498402555910544,1.0,0.0741223284942977,0.0,0.0741223284942977
map,empty-16-16,0.25,180,133,180,133,47,0,0.7388888888888889,1.0,0.8498402555910544,1.0,0.0741223284942977,0.0,0.0741223284942977
map,empty-16-16,0.3,180,133,180,133,47,0,0.7388888888888889,1.0,0.8498402555910544,1.0,0.0741223284942977,0.0,0.0741223284942977
map,empty-16-16,0.35,180,133,180,133,47,0,0.7388888888888889,1.0,0.8498402555910544,1.0,0.0741223284942977,0.0,0.0741223284942977
map,empty-16-16,0.4,180,133,179,132,47,1,0.7374301675977654,0.9924812030075187,0.846153846153846,0.9944444444444445,0.0741223284942977,4.3233895374000004e-05,0.0740790945989237
