agents,best_delta,best_minus_second,best_minus_target,best_probe_rule,candidate_count,checkpoint_id,harmful_candidate_count,iteration,map_name,second_delta,second_probe_rule,seed,split,target_delta,target_in_tie_eps_0_001,target_in_tie_eps_0_0025,target_in_tie_eps_0_005,target_in_tie_eps_0_01,target_in_tie_eps_0_02,target_rule_executable,target_rule_original,tie_count_eps_0_001,tie_count_eps_0_0025,tie_count_eps_0_005,tie_count_eps_0_01,tie_count_eps_0_02
50,0.077519379845,0.0348837209303,0.0,wait_light,8,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter0,0,0,empty-16-16,0.0426356589147,block_heavy,1,train,0.077519379845,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
50,0.244186046512,0.02906976744199999,0.0,wait_heavy,8,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter1,0,1,empty-16-16,0.21511627907,block_heavy,1,train,0.244186046512,1,1,1,1,1,wait_heavy,wait_heavy,1,1,1,1,1
50,0.0968992248062,0.0,0.0,wait_light,8,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter2,1,2,empty-16-16,0.0968992248062,block_light,1,train,0.0968992248062,1,1,1,1,1,block_light,block_light,2,2,2,2,4
50,0.0077519379845,0.0019379844961300002,0.0,block_heavy,8,empty-16-16__a50__i1__phase4_phase4-full-repair1__iter3,4,3,empty-16-16,0.00581395348837,wait_light,1,train,0.0077519379845,1,1,1,1,1,block_heavy,block_heavy,1,2,2,3,3
100,0.0951923076923,0.0951923076923,0.0,wait_light,8,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter0,2,0,empty-16-16,0.0,decay_095,1,train,0.0951923076923,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
100,0.0346153846154,0.0028846153845999978,0.0,block_heavy,8,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter1,1,1,empty-16-16,0.0317307692308,wait_light,1,train,0.0346153846154,1,1,1,1,1,block_heavy,block_heavy,1,1,2,3,3
100,0.128846153846,0.010576923077000006,0.0,decay_095,8,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter2,0,2,empty-16-16,0.118269230769,wait_light,1,train,0.128846153846,1,1,1,1,1,decay_095,decay_095,1,1,1,1,2
100,0.0471153846154,0.031730769230799996,0.0,decay_090,8,empty-16-16__a100__i1__phase4_phase4-full-repair1__iter3,4,3,empty-16-16,0.0153846153846,wait_light,1,train,0.0471153846154,1,1,1,1,1,decay_090,decay_090,1,1,1,1,1
200,1.14440611138,0.01922129126999983,0.0,commit_heavy,8,empty-16-16__a200__i1__phase4_phase4-full-repair1__iter0,1,0,empty-16-16,1.12518482011,wait_light,1,train,1.14440611138,1,1,1,1,1,commit_heavy,commit_heavy,1,1,1,1,2
200,0.203548546082,0.05174963035999999,0.0,block_light,8,empty-16-16__a200__i1__phase4_phase4-full-repair1__iter1,3,1,empty-16-16,0.151798915722,wait_light,1,train,0.203548546082,1,1,1,1,1,block_light,block_light,1,1,1,1,1
200,0.459832429768,0.149334647609,0.0,commit_heavy,8,empty-16-16__a200__i1__phase4_phase4-full-repair1__iter2,1,2,empty-16-16,0.310497782159,wait_light,1,train,0.459832429768,1,1,1,1,1,commit_heavy,commit_heavy,1,1,1,1,1
200,0.0,0.147856086742,0.0,additive_ltm,8,empty-16-16__a200__i1__phase4_phase4-full-repair1__iter3,7,3,empty-16-16,-0.147856086742,wait_heavy,1,train,0.0,1,1,1,1,1,additive_ltm,neutral_additive,1,1,1,1,1
50,0.0,0.0,0.0,decay_095,8,empty-16-16__a50__i2__phase4_phase4-full-repair1__iter0,2,0,empty-16-16,0.0,decay_090,2,train,0.0,1,1,1,1,1,additive_ltm,neutral_additive,4,4,4,5,6
