feature_name,mean,std,median,mad,p01,p05,p95,p99,min,max,rows_non_missing,rows_nonzero,required,observed_constant,std_was_floored,std_floor_reason
agents,73.97590361445783,24.9790157250665,50.0,0.0,50.0,50.0,100.0,100.0,50.0,100.0,1660,1660,True,False,False,
free_cells,1924.9277108433735,2056.3893833559578,819.0,29.0,790.0,790.0,5699.0,5699.0,790.0,5699.0,1660,1660,True,False,False,
density,0.07474104318000266,0.043663195436014525,0.0632911392405,0.05451767021085001,0.00877346902965,0.00877346902965,0.126582278481,0.126582278481,0.00877346902965,0.126582278481,1660,1660,True,False,False,
map_width,61.53012048192771,54.19739409318042,32.0,0.0,32.0,32.0,161.0,161.0,32.0,161.0,1660,1660,True,False,False,
map_height,39.096385542168676,13.024179975880568,32.0,0.0,32.0,32.0,63.0,63.0,32.0,63.0,1660,1660,True,False,False,
obstacle_ratio,0.2655820338438554,0.09483611759793557,0.228515625,0.0283203125,0.2001953125,0.2001953125,0.43813467416,0.43813467416000007,0.2001953125,0.43813467416,1660,1660,True,False,False,
iteration,1.3277108433734939,1.088196612839644,1.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,1660,1180,True,False,False,
has_solution_before,0.7108433734939759,0.45337078848739226,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1660,1180,True,False,False,
best_ratio_before,0.8601356551120422,0.5545368093874147,1.13793103448,0.13070400908000002,0.0,0.0,1.36974590359,1.41479820628,0.0,1.47818585161,1660,1180,True,False,False,
improved_last_iteration,0.4572289156626506,0.4981672754653876,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1660,759,True,False,False,
returned_solutions_count_so_far,0.9981927710843373,0.042473083703788723,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1660,1657,True,False,False,
committed_count,8351.385542168675,11542.055939441143,5500.0,3050.0,0.0,0.0,19600.0,54400.0,0.0,126300.0,1660,1520,True,False,False,
blocked_count,571.1,525.3255051732613,424.5,283.5,0.0,0.0,1638.9499999999991,2258.0700000000024,0.0,2646.0,1660,1520,True,False,False,
wait_event_count,255.3277108433735,242.4221943561408,197.5,134.5,0.0,0.0,714.0,1057.0,0.0,1659.0,1660,1520,True,False,False,
goal_wait_ignored_count,5087.671686746988,10401.51431642242,2799.5,1566.0,0.0,0.0,10586.0,50104.0,0.0,117237.0,1660,1520,True,False,False,
blocked_per_committed,0.06784505141397681,0.0405778372962465,0.061568627451,0.026469901167999996,0.0,0.0,0.133703703704,0.167415730337,0.0,0.170185185185,1660,1520,True,False,False,
wait_per_committed,0.029769232107450923,0.018196430717749422,0.0270833333333,0.01201293796205,0.0,0.0,0.0605185185185,0.0751685393258,0.0,0.0835185185185,1660,1520,True,False,False,
blocked_per_agent,6.9351686746987955,4.943366033648852,5.94,3.2700000000000005,0.0,0.0,16.38949999999999,22.58070000000002,0.0,26.46,1660,1520,True,False,False,
committed_per_agent,109.30602409638554,118.19441952598167,93.0,38.0,0.0,0.0,224.0,544.0,0.0,1263.0,1660,1520,True,False,False,
nonzero_edges_before,1598.5036144578314,1595.2370966615742,1482.0,626.0,0.0,0.0,5768.0,6162.0,0.0,6704.0,1660,1180,True,False,False,
max_raw_before,33.55185090361446,59.04304188277135,16.0,16.0,0.0,0.0,114.45999999999995,267.16500000000053,0.0,607.5,1660,1180,True,False,False,
entropy_edge_usage,6.2739109448161505,1.9762926614876826,6.63276224406,0.22380714445999939,0.0,0.0,8.10219070748,8.41755938831,0.0,8.458208474,1660,1520,True,False,False,
weight_entropy,5.116400659797439,3.299339126223828,6.87537437704,0.45405821468999985,0.0,0.0,8.39489185392,8.4948193885928,0.0,8.56758438773,1660,1180,True,False,False,
